time,x1,x2
0.000000000000000000e+00,2.999999999999999334e-01,2.999999999999999334e-01
1.005025125628140753e-01,3.028961668266648699e-01,3.028961668266649809e-01
2.010050251256281506e-01,3.055640275251855775e-01,3.055640275251856885e-01
3.015075376884422398e-01,3.080175846365237891e-01,3.080175846365239001e-01
4.020100502512563012e-01,3.102707138537059706e-01,3.102707138537060816e-01
5.025125628140704181e-01,3.123369765091075778e-01,3.123369765091076888e-01
6.030150753768844796e-01,3.142295341433699596e-01,3.142295341433700706e-01
7.035175879396985410e-01,3.159609873391479029e-01,3.159609873391480139e-01
8.040201005025126024e-01,3.175433949977151671e-01,3.175433949977152781e-01
9.045226130653266639e-01,3.189882092787653667e-01,3.189882092787654777e-01
1.005025125628140836e+00,3.203062437217062963e-01,3.203062437217063518e-01
1.105527638190954898e+00,3.215076664956823538e-01,3.215076664956824093e-01
1.206030150753768959e+00,3.226020005236328037e-01,3.226020005236328592e-01
1.306532663316583021e+00,3.235981326672015546e-01,3.235981326672016101e-01
1.407035175879397082e+00,3.245043299575878226e-01,3.245043299575878781e-01
1.507537688442211143e+00,3.253282610605102154e-01,3.253282610605102709e-01
1.608040201005025205e+00,3.260770207993063940e-01,3.260770207993064496e-01
1.708542713567839266e+00,3.267571603531819746e-01,3.267571603531820301e-01
1.809045226130653328e+00,3.273747150875246925e-01,3.273747150875247480e-01
1.909547738693467389e+00,3.279352346039854371e-01,3.279352346039854926e-01
2.010050251256281673e+00,3.284438142762139967e-01,3.284438142762140522e-01
2.110552763819095734e+00,3.289051253364470018e-01,3.289051253364470573e-01
2.211055276381909795e+00,3.293234444772333847e-01,3.293234444772334402e-01
2.311557788944723857e+00,3.297026825114509063e-01,3.297026825114509618e-01
2.412060301507537918e+00,3.300464118198602748e-01,3.300464118198603303e-01
2.512562814070351980e+00,3.303578924770547709e-01,3.303578924770547709e-01
2.613065326633166041e+00,3.306400969539653456e-01,3.306400969539652901e-01
2.713567839195980103e+00,3.308957333540288870e-01,3.308957333540288870e-01
