time,1->1,2->1,1->2,2->2
0.0,-0.5000019999874816,-0.2999999999947489,-0.3000000000086267,-0.5000019999874816
0.10050251256281408,-0.5144828341199781,-0.30289616681847265,-0.3028961668358199,-0.5144828341199781
0.20100502512562815,-0.5278221376116277,-0.30556402751819034,-0.3055640275008431,-0.5278221376116277
0.30150753768844224,-0.5400899231698675,-0.3080175846291444,-0.30801758460832773,-0.540089923166398
0.4020100502512563,-0.5513555692525374,-0.31027071384706617,-0.3102707138262495,-0.5513555692525374
0.5025125628140704,-0.5616868825331078,-0.3123369765010986,-0.31233697651844583,-0.5616868825331078
0.6030150753768845,-0.571149670700738,-0.31422953413254295,-0.31422953415335964,-0.571149670700738
0.7035175879396985,-0.5798069366777514,-0.31596098732863953,-0.3159609873494562,-0.5798069366812209
0.8040201005025126,-0.5877189749731171,-0.31754339498840656,-0.3175433950074885,-0.5877189749731171
0.9045226130653267,-0.5949430463784294,-0.31898820927050986,-0.3189882092878571,-0.5949430463766947
1.0050251256281408,-0.6015332185919237,-0.3203062437125148,-0.3203062436951676,-0.6015332185919237
1.105527638190955,-0.607540332460757,-0.3215076664862815,-0.32150766646893425,-0.6075403324624917
1.206030150753769,-0.6130120026020397,-0.3226020005141911,-0.32260200053327304,-0.6130120026020397
1.306532663316583,-0.6179926633192306,-0.3235981326579762,-0.32359813267532345,-0.6179926633192306
1.407035175879397,-0.6225236497715836,-0.32450432995052847,-0.3245043299314465,-0.6225236497715836
1.5075376884422111,-0.6266433052858761,-0.3253282610526931,-0.3253282610700403,-0.6266433052867435
1.6080402010050252,-0.6303871039796752,-0.3260770207900651,-0.3260770207727179,-0.6303871039796752
1.7085427135678393,-0.6337878017490667,-0.3267571603441169,-0.32675716032676966,-0.6337878017490667
1.8090452261306533,-0.6368755754212335,-0.3273747150788972,-0.3273747150971118,-0.6368755754203662
1.9095477386934674,-0.6396781730023254,-0.3279352345951156,-0.327935234576901,-0.6396781730023254
2.0100502512562817,-0.642221071363823,-0.3284438142674151,-0.3284438142492005,-0.642221071363823
2.1105527638190957,-0.6445276266647468,-0.3289051253279468,-0.3289051253097322,-0.6445276266656141
2.21105527638191,-0.6466192223695405,-0.3293234444685586,-0.3293234444867732,-0.6466192223686732
2.311557788944724,-0.6485154125401329,-0.3297026825027638,-0.3297026825209784,-0.6485154125396991
2.412060301507538,-0.6502340590820548,-0.33004641181123495,-0.33004641179258665,-0.6502340590820548
2.512562814070352,-0.6517914623678165,-0.3303578924680403,-0.3303578924862549,-0.6517914623678165
2.613065326633166,-0.6532024847522543,-0.33064009694527485,-0.33064009692662655,-0.6532024847522543
2.71356783919598,-0.6544806667526001,-0.330895733345344,-0.3308957333635586,-0.6544806667526001
2.814070351758794,-0.6556383358403626,-0.3311272671626363,-0.33112726718128455,-0.6556383358403626
2.9145728643216082,-0.6566867079135439,-0.3313369415776195,-0.3313369415589712,-0.6566867079135439
3.0150753768844223,-0.6576359816185419,-0.33152679631848897,-0.33152679633692045,-0.6576359816185419
3.1155778894472363,-0.6584954257648178,-0.3316986851476141,-0.3316986851660455,-0.6584954257648178
3.2160804020100504,-0.6592734601237622,-0.331854292019403,-0.3318542920009715,-0.6592734601237622
3.3165829145728645,-0.6599777299433081,-0.33199514598331215,-0.33199514600174357,-0.6599777299433081
3.4170854271356785,-0.6606151745202488,-0.3321226348985702,-0.3321226348801387,-0.6606151745202488
3.5175879396984926,-0.6611920901991066,-0.3322380180343417,-0.3322380180161271,-0.6611920901993235
3.6180904522613067,-0.6617141881473145,-0.33234243762407006,-0.3323424376056386,-0.6617141881473145
3.7185929648241207,-0.6621866472708962,-0.33243692944880804,-0.33243692946734793,-0.6621866472708962
3.819095477386935,-0.6626141626149855,-0.3325224325176259,-0.33252243253605734,-0.662614162614877
3.919597989949749,-0.6630009895836628,-0.3325997979113397,-0.3325997978929083,-0.6630009895836628
4.020100502512563,-0.6633509842998144,-0.3326697968546134,-0.3326697968730448,-0.6633509842998144
