time,x1,x2,x3,x4
5.125628140703518021e+00,1.069925712833858095e-01,9.245664813215247468e-01,1.966588194268664436e-01,8.495942673513333029e-03
5.226130653266332082e+00,1.080948033333629238e-01,8.962470841491060325e-01,1.889283962269364958e-01,7.849777643910045566e-03
5.326633165829146144e+00,1.095175144332292544e-01,8.690594936161841755e-01,1.815338959612274039e-01,7.259565234167052877e-03
5.427135678391960205e+00,1.112601602921779037e-01,8.429800132681714020e-01,1.744644746581289207e-01,6.719978029284939640e-03
5.527638190954774267e+00,1.133245661346985594e-01,8.179844898076078508e-01,1.677093930753627560e-01,6.226240936427028874e-03
5.628140703517588328e+00,1.157147838553766045e-01,7.940486894030968079e-01,1.612580740984415340e-01,5.774070538680003452e-03
5.728643216080402389e+00,1.184369778090461622e-01,7.711486137503954508e-01,1.551001494464828712e-01,5.359621251117934783e-03
5.829145728643216451e+00,1.214993346856595852e-01,7.492607671390398849e-01,1.492254975585278198e-01,4.979437550984261440e-03
5.929648241206030512e+00,1.249119934582005181e-01,7.283623840540272010e-01,1.436242742247112736e-01,4.630411615162342148e-03
6.030150753768844574e+00,1.286869918051048445e-01,7.084316254240963229e-01,1.382869372733612212e-01,4.309745760035736846e-03
6.130653266331658635e+00,1.328382257080863438e-01,6.894477504691693959e-01,1.332042664174026558e-01,4.014919138974148635e-03
6.231155778894472697e+00,1.373814191213810487e-01,6.713912701602507971e-01,1.283673791931568275e-01,3.743658209563655893e-03
6.331658291457286758e+00,1.423341007059656382e-01,6.542440875528734434e-01,1.237677437851313622e-01,3.493910535522250487e-03
6.432160804020100819e+00,1.477155846264489591e-01,6.379896296631659691e-01,1.193971894162765557e-01,3.263821536635936292e-03
6.532663316582914881e+00,1.535469523208528309e-01,6.226129751018849579e-01,1.152479148900354272e-01,3.051713843938609703e-03
6.633165829145728942e+00,1.598510319738470353e-01,6.081009813485849236e-01,1.113124957947251997e-01,2.856068956850775064e-03
6.733668341708543004e+00,1.666523721494558852e-01,5.944424153213586637e-01,1.075838908193981064e-01,2.675510934312419400e-03
6.834170854271357065e+00,1.739772056649969145e-01,5.816280907660635879e-01,1.040554475808706941e-01,2.508791883383007602e-03
6.934673366834171127e+00,1.818533993072600496e-01,5.696510159438280541e-01,1.007209083220172996e-01,2.354779036655230487e-03
7.035175879396985188e+00,1.903103843960674002e-01,5.585065551299580600e-01,9.757441580989609231e-02,2.212443234464850448e-03
7.135678391959799249e+00,1.993790624791147437e-01,5.481926075454199854e-01,9.461051973721580632e-02,2.080848649594739704e-03
7.236180904522613311e+00,2.090916795837875763e-01,5.387098075188020418e-01,9.182418391054121554e-02,1.959143611268122052e-03
7.336683417085427372e+00,2.194816614439926150e-01,5.300617499168802649e-01,8.921079449196170352e-02,1.846552401982912671e-03
7.437185929648241434e+00,2.305834009502973347e-01,5.222552451793470718e-01,8.676616954607858923e-02,1.742367915409672200e-03
