time,A_1_1,A_1_2,A_1_3,A_1_4,A_2_1,A_2_2,A_2_3,A_2_4,A_3_1,A_3_2,A_3_3,A_3_4,A_4_1,A_4_2,A_4_3,A_4_4
3.6180904522613067,0.0,0.16817247250469325,0.14014372708724437,0.1121149816697955,1.3418470816806969,0.0,0.0,0.4472823605602323,0.14365789418785183,0.07182894709392591,0.0,0.0,0.006254651444933782,0.0,0.025018605779735126,0.0
3.7185929648241207,0.0,0.1604401390708702,0.13370011589239184,0.10696009271391348,1.3011768609169667,0.0,0.0,0.43372562030565553,0.13817712080897157,0.06908856040448579,0.0,0.0,0.005695954869079964,0.0,0.022783819476319855,0.0
3.819095477386935,0.0,0.15377698482008875,0.12814748735007397,0.10251798988005918,1.2611706267308735,0.0,0.0,0.42039020891029116,0.13285382966448644,0.06642691483224322,0.0,0.0,0.005191679842162523,0.0,0.020766719368650093,0.0
3.919597989949749,0.0,0.14806372080628638,0.12338643400523865,0.09870914720419093,1.221957385622866,0.0,0.0,0.4073191285409553,0.12769413708751043,0.06384706854375521,0.0,0.0,0.004736372971526584,0.0,0.018945491886106336,0.0
4.020100502512563,0.0,0.14319862072071676,0.11933218393393065,0.09546574714714452,1.1836370105748004,0.0,0.0,0.3945456701916001,0.12270190885265336,0.06135095442632668,0.0,0.0,0.00432508193000178,0.0,0.01730032772000712,0.0
4.120603015075377,0.0,0.13909514903064232,0.11591262419220194,0.09273009935376156,1.1462851742415383,0.0,0.0,0.38209505808051275,0.11787918069971091,0.05893959034985546,0.0,0.0,0.003953329887752772,0.0,0.015813319551011087,0.0
4.2211055276381915,0.0,0.1356798953607924,0.113066579467327,0.0904532635738616,1.1099575426981751,0.0,0.0,0.3699858475660584,0.11322650774439756,0.05661325387219878,0.0,0.0,0.0036170839747486972,0.0,0.014468335898994789,0.0
4.3216080402010055,0.0,0.13289079102155368,0.11074232585129475,0.08859386068103581,1.0746933229156173,0.0,0.0,0.35823110763853905,0.10874325420563893,0.05437162710281947,0.0,0.0,0.0033127208320034122,0.0,0.013250883328013649,0.0
4.42211055276382,0.0,0.13067558106753216,0.10889631755627681,0.08711705404502146,1.040518249534334,0.0,0.0,0.3468394165114446,0.10442783314731818,0.05221391657365909,0.0,0.0,0.0030369913944394786,0.0,0.012147965577757915,0.0
4.522613065326634,0.0,0.12899052229579028,0.10749210191315857,0.08599368153052686,1.0074470910386542,0.0,0.0,0.33581569701288466,0.10027790460288376,0.05013895230144188,0.0,0.0,0.0027869863221258173,0.0,0.01114794528850327,0.0
4.623115577889448,0.0,0.12779927888399722,0.1064993990699977,0.08519951925599817,0.9754857472220786,0.0,0.0,0.3251619157406928,0.09629053916382052,0.04814526958191026,0.0,0.0,0.0025601029746246573,0.0,0.01024041189849863,0.0
