time,R_loc_pc
5.321285140562248550e+00,-2.073216762747622233e-01
5.421686746987951722e+00,-2.073941626677812955e-01
5.522088353413654893e+00,-2.074879239449116675e-01
5.622489959839357176e+00,-2.075987903916114430e-01
5.722891566265060348e+00,-2.077221415993188436e-01
5.823293172690762631e+00,-2.078530339573373409e-01
5.923694779116465803e+00,-2.079863627882089783e-01
6.024096385542168974e+00,-2.081170062347998950e-01
6.124497991967871258e+00,-2.082399829978265338e-01
6.224899598393574429e+00,-2.083505992563412235e-01
6.325301204819276712e+00,-2.084445955138330142e-01
6.425702811244979884e+00,-2.085182698668296419e-01
6.526104417670683056e+00,-2.085685952402377974e-01
6.626506024096385339e+00,-2.085933075037911810e-01
6.726907630522088510e+00,-2.085909805689448449e-01
6.827309236947790794e+00,-2.085610637354118890e-01
6.927710843373493965e+00,-2.085039047984379723e-01
7.028112449799197137e+00,-2.084207360627278738e-01
7.128514056224899420e+00,-2.083136422149425848e-01
7.228915662650602592e+00,-2.081854989522836097e-01
7.329317269076304875e+00,-2.080398826860789252e-01
7.429718875502008046e+00,-2.078809668748551887e-01
7.530120481927711218e+00,-2.077133998226023404e-01
7.630522088353413501e+00,-2.075421660752870545e-01
7.730923694779116673e+00,-2.073724395472658633e-01
7.831325301204818956e+00,-2.072094334735368193e-01
7.931726907630522128e+00,-2.070582387457314821e-01
8.032128514056225299e+00,-2.069236964267147649e-01
8.132530120481927582e+00,-2.068102359374539012e-01
8.232931726907629866e+00,-2.067217582081478100e-01
8.333333333333333925e+00,-2.066615202013982744e-01
8.433734939759036209e+00,-2.066320297965864028e-01
8.534136546184738492e+00,-2.066349835508179411e-01
8.634538152610442552e+00,-2.066712151037954914e-01
8.734939759036144835e+00,-2.067406674016962209e-01
8.835341365461847118e+00,-2.068423833840315473e-01
8.935742971887549402e+00,-2.069745366225275163e-01
9.036144578313253461e+00,-2.071344760651185890e-01
9.136546184738955745e+00,-2.073187957466240960e-01
9.236947791164658028e+00,-2.075234266152600204e-01
9.337349397590362088e+00,-2.077437474423516339e-01
9.437751004016064371e+00,-2.079747098848256648e-01
9.538152610441766655e+00,-2.082109807577670058e-01
9.638554216867468938e+00,-2.084470917863411321e-01
9.738955823293172998e+00,-2.086775832940463149e-01
9.839357429718875281e+00,-2.088971761875841049e-01
9.939759036144577564e+00,-2.091008962513238867e-01
1.004016064257028162e+01,-2.092842397456831094e-01
1.014056224899598391e+01,-2.094432871868233126e-01
1.024096385542168619e+01,-2.095748246243712976e-01
1.034136546184739025e+01,-2.096764278028778739e-01
1.044176706827309253e+01,-2.097465366654361341e-01
1.054216867469879482e+01,-2.097844982048654716e-01
