time,x1,x2,x3,x4,x5,x6,x7
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.500000000000000444e+00,2.000000000000000111e-01,2.999999999999999889e-01,4.000000000000000777e-01
1.004016064257028107e-01,1.075371327550224798e+00,1.562093106982814117e+00,3.216067104401666654e+00,2.808845367675673721e+00,2.040799259500098439e-01,2.968133669231673433e-01,4.077833331107098003e-01
2.008032128514056214e-01,1.283717590599937175e+00,1.251130489717847460e+00,3.439993733694559630e+00,2.501017158072400104e+00,2.082955724179643420e-01,2.933170630478133534e-01,4.150608177178767288e-01
3.012048192771084043e-01,1.614223141221765134e+00,1.011554782675852415e+00,3.514622497473426144e+00,2.374588277549009252e+00,2.126617432699988153e-01,2.895595237763989860e-01,4.218073021633055308e-01
4.016064257028112428e-01,2.060658813957126689e+00,8.428440505703475027e-01,3.354565274443563450e+00,2.355573578516201749e+00,2.171911341788237138e-01,2.855897181411067298e-01,4.280026250317018333e-01
5.020080321285140812e-01,2.588681956165397757e+00,7.492594544298779580e-01,2.960104364286777479e+00,2.411475386695232537e+00,2.218948834215289934e-01,2.814547267885429416e-01,4.336291294071595304e-01
6.024096385542168086e-01,3.122774704132444512e+00,7.306110741294818967e-01,2.413292038181201971e+00,2.519834145542537041e+00,2.267825209804252840e-01,2.771994092030898305e-01,4.386717255228042567e-01
7.028112449799196471e-01,3.563600253788360206e+00,7.879238925852478648e-01,1.838902885620060434e+00,2.655425342220230522e+00,2.318618971035182330e-01,2.728661176068087890e-01,4.431179837250928677e-01
8.032128514056224855e-01,3.827616771255965222e+00,9.275523038956037247e-01,1.340839422733461017e+00,2.788744539702085579e+00,2.371391200104046026e-01,2.684944915527019416e-01,4.469582070499296678e-01
9.036144578313253239e-01,3.871180892366806958e+00,1.160038591545605069e+00,9.692730680588664827e-01,2.891633135701804580e+00,2.426186129678422898e-01,2.641215135556034266e-01,4.501853026382168221e-01
1.004016064257028162e+00,3.695866653276472125e+00,1.495969750451372926e+00,7.216150676540434850e-01,2.946038090930784392e+00,2.483029101078316203e-01,2.597812049096453468e-01,4.527950513716744174e-01
1.104417670682730890e+00,3.332654327189666255e+00,1.937520137145524624e+00,5.745406851692537176e-01,2.948067871566113052e+00,2.541927132307829074e-01,2.555047794936706196e-01,4.547859673264942337e-01
1.204819277108433617e+00,2.833151396342201700e+00,2.466816066789950579e+00,5.045342572002287085e-01,2.905015245885284259e+00,2.602867925010468597e-01,2.513205974667619969e-01,4.561593822538590470e-01
1.305220883534136567e+00,2.265605751199984308e+00,3.040853880589732494e+00,4.977556763561110098e-01,2.830428202302335716e+00,2.665821232762277671e-01,2.472545075853823937e-01,4.569191620696534395e-01
1.405622489959839294e+00,1.707898896666177446e+00,3.588237970137609700e+00,5.536678959382430598e-01,2.740345947528050718e+00,2.730735933878933319e-01,2.433295798522407127e-01,4.570720545814749292e-01
1.506024096385542244e+00,1.226337488041492119e+00,4.023429754649701096e+00,6.849217287376238028e-01,2.648704353074128104e+00,2.797541610423070479e-01,2.395665002626982676e-01,4.566273842535980010e-01
1.606425702811244971e+00,8.580650168950876289e-01,4.264338754872202486e+00,9.176224877889025411e-01,2.563609389701658969e+00,2.866147861000200581e-01,2.359836521592217629e-01,4.555970588521488507e-01
1.706827309236947698e+00,6.061893860342846274e-01,4.247528231696972689e+00,1.288022177868261009e+00,2.485293119579015997e+00,2.936444179054537029e-01,2.325972777344777753e-01,4.539955000528135831e-01
1.807228915662650648e+00,4.527787061185835626e-01,3.941796586343416564e+00,1.830989791974623415e+00,2.407829952373846005e+00,3.008300099980363296e-01,2.294216616141614706e-01,4.518395408794390611e-01
