time,R_spec_pc
1.014056224899598391e+01,7.598623234106394175e-02
1.024096385542168619e+01,8.018506750783663262e-02
1.034136546184739025e+01,8.569764426878462293e-02
1.044176706827309253e+01,9.303285297338551030e-02
1.054216867469879482e+01,1.026128296382301519e-01
1.064257028112449710e+01,1.143269355499096085e-01
1.074297188755020116e+01,1.153564856729568378e-01
1.084337349397590344e+01,1.108134687818273789e-01
1.094377510040160573e+01,9.897338649494563656e-02
1.104417670682730979e+01,9.159429254299492063e-02
1.114457831325301207e+01,8.707741595676751767e-02
1.124497991967871435e+01,8.424977676979750196e-02
1.134538152610441841e+01,8.238429064236327259e-02
1.144578313253012070e+01,8.107261515522959372e-02
1.154618473895582298e+01,8.009896086016735084e-02
1.164658634538152526e+01,7.935466218930325999e-02
1.174698795180722932e+01,7.878928352602887486e-02
1.184738955823293161e+01,7.838346518165215104e-02
1.194779116465863389e+01,7.813378979903096155e-02
1.204819277108433795e+01,7.804459968004584525e-02
1.214859437751004023e+01,7.812341192227253983e-02
1.224899598393574252e+01,7.837833187567044835e-02
1.234939759036144658e+01,7.881707008082883270e-02
1.244979919678714886e+01,7.944639877919973392e-02
1.255020080321285114e+01,8.027227425570912511e-02
1.265060240963855342e+01,8.130032424204822195e-02
1.275100401606425748e+01,8.253719475055776300e-02
1.285140562248995977e+01,8.399307722682514132e-02
1.295180722891566205e+01,8.568624528607818314e-02
1.305220883534136611e+01,8.765128153862941640e-02
1.315261044176706839e+01,8.995311370800418427e-02
1.325301204819277068e+01,9.271234684122039993e-02
1.335341365461847296e+01,9.614374023111152412e-02
1.345381526104417702e+01,1.006110490180365524e-01
1.355421686746987930e+01,1.054274787959711690e-01
1.365461847389558159e+01,1.099617818695516891e-01
1.375502008032128565e+01,1.158581615258743036e-01
1.385542168674698793e+01,9.774711664688534585e-02
1.395582329317269021e+01,7.660243283281381599e-02
1.405622489959839427e+01,6.301984289024355201e-02
1.415662650602409656e+01,5.504782913760608576e-02
1.425702811244979884e+01,5.071804979402176616e-02
1.435742971887550112e+01,4.847875671399858033e-02
1.445783132530120518e+01,4.730077227156283259e-02
1.455823293172690747e+01,4.660377014003201646e-02
1.465863453815260975e+01,4.611046144658234591e-02
1.475903614457831381e+01,4.570262016481278777e-02
1.485943775100401609e+01,4.533997078671324343e-02
1.495983935742971838e+01,4.501420106380535358e-02
1.506024096385542244e+01,4.472754982506337018e-02
1.516064257028112472e+01,4.448444543029993203e-02
1.526104417670682700e+01,4.428923623558372880e-02
1.536144578313252929e+01,4.414587526449073596e-02
1.546184738955823335e+01,4.405805544906681026e-02
1.556224899598393563e+01,4.402940672753007101e-02
1.566265060240963791e+01,4.406354394409552067e-02
1.576305220883534197e+01,4.416402787637226102e-02
1.586345381526104426e+01,4.433429634077469539e-02
1.596385542168674654e+01,4.457758053472155035e-02
1.606425702811245060e+01,4.489681161569825107e-02
1.616465863453815288e+01,4.529459583918872545e-02
1.626506024096385516e+01,4.577316621894710058e-02
1.636546184738955745e+01,4.633432024944411642e-02
1.646586345381525973e+01,4.697944645404263098e-02
1.656626506024096201e+01,4.770946576913115411e-02
1.666666666666666785e+01,4.852478090136173872e-02
1.676706827309237013e+01,4.942538957234808572e-02
1.686746987951807242e+01,5.040930487716328845e-02
1.696787148594377470e+01,5.147520938360299059e-02
1.706827309236947698e+01,5.262525313617777423e-02
1.716867469879517927e+01,5.385486640484182796e-02
1.726907630522088510e+01,5.516342758916820133e-02
1.736947791164658739e+01,5.654896136460996203e-02
1.746987951807228967e+01,5.800035957819286991e-02
1.757028112449799195e+01,5.952176206259193747e-02
1.767068273092369424e+01,6.110713387632864257e-02
1.777108433734939652e+01,6.274968569305154620e-02
1.787148594377509880e+01,6.444344981979532871e-02
1.797188755020080464e+01,6.618140451181961370e-02
1.807228915662650692e+01,6.795566940919620103e-02
1.817269076305220921e+01,6.975782796775674421e-02
1.827309236947791149e+01,7.157852464973683826e-02
1.837349397590361377e+01,7.340774213607652310e-02
1.847389558232931606e+01,7.523436707400303625e-02
1.857429718875501834e+01,7.704656594968956052e-02
1.867469879518072418e+01,7.883192192262214459e-02
1.877510040160642646e+01,8.057737526263827887e-02
1.887550200803212874e+01,8.226945121574649744e-02
1.897590361445783103e+01,8.389484526697593703e-02
1.907630522088353331e+01,8.544052026598153438e-02
1.917670682730923559e+01,8.689409622822569235e-02
1.927710843373493788e+01,8.824439859884608550e-02
1.937751004016064371e+01,8.948214258691888912e-02
1.947791164658634600e+01,9.060095639653106825e-02
1.957831325301204828e+01,9.159879512211754893e-02
1.967871485943775056e+01,9.248019169956167573e-02
1.977911646586345285e+01,9.325973302676759946e-02
1.987951807228915513e+01,9.396746609636527636e-02
1.997991967871486096e+01,9.465601042603871695e-02
2.008032128514056325e+01,9.540871434129352679e-02
2.018072289156626553e+01,9.634689672801380333e-02
2.028112449799196781e+01,9.761660281699402475e-02
2.038152610441767010e+01,9.934958783043426611e-02
2.048192771084337238e+01,1.015887678344178369e-01
2.058232931726907466e+01,9.300681166960506063e-02
2.068273092369478050e+01,8.273827285657700537e-02
2.078313253012048278e+01,7.572230888846798180e-02
2.088353413654618507e+01,7.176383861858376401e-02
2.098393574297188735e+01,7.017710172474064811e-02
2.108433734939758963e+01,7.015492008443449667e-02
2.118473895582329192e+01,7.106623180315713162e-02
2.128514056224899420e+01,7.251525384087720294e-02
2.138554216867470004e+01,7.427779714289764468e-02
2.148594377510040232e+01,7.623189304179323056e-02
2.158634538152610460e+01,7.830924472543335235e-02
2.168674698795180689e+01,8.046907951040208062e-02
2.178714859437750917e+01,8.268462740450752135e-02
2.188755020080321145e+01,8.493617580696047331e-02
2.198795180722891729e+01,8.720738595059532305e-02
2.208835341365461957e+01,8.948337582753518316e-02
2.218875502008032186e+01,9.174963108064362882e-02
2.228915662650602414e+01,9.399150512034476490e-02
2.238955823293172642e+01,9.619366291665873425e-02
2.248995983935742871e+01,9.834116505063653091e-02
2.259036144578313099e+01,1.004182363348275764e-01
2.269076305220883683e+01,1.024093248922121890e-01
2.279116465863453911e+01,1.042987746703051000e-01
2.289156626506024139e+01,1.060716463999554493e-01
2.299196787148594368e+01,1.077135324359213830e-01
