time,R_energy_pc
1.696787148594377470e+01,-6.467322325223067310e+04
1.706827309236947698e+01,-6.541495343079867598e+04
1.716867469879517927e+01,-6.629499943118926603e+04
1.726907630522088510e+01,-6.734189622133816010e+04
1.736947791164658739e+01,-6.855524916099573602e+04
1.746987951807228967e+01,-6.992747645423766517e+04
1.757028112449799195e+01,-7.145289623701383243e+04
1.767068273092369424e+01,-7.313651480428354989e+04
1.777108433734939652e+01,-7.499054652630687633e+04
1.787148594377509880e+01,-7.702943111204759043e+04
1.797188755020080464e+01,-7.926722512276507041e+04
1.807228915662650692e+01,-8.171262204635678791e+04
1.817269076305220921e+01,-8.436903392729672487e+04
1.827309236947791149e+01,-8.727790702402032912e+04
1.837349397590361377e+01,-9.044292285960809386e+04
1.847389558232931606e+01,-9.365507530677485920e+04
1.857429718875501834e+01,-9.682565931521770835e+04
1.867469879518072418e+01,-1.000331568336913915e+05
1.877510040160642646e+01,-1.032662616190313274e+05
1.887550200803212874e+01,-1.065131429250055080e+05
1.897590361445783103e+01,-1.097643214625947439e+05
1.907630522088353331e+01,-1.130116928536671476e+05
1.917670682730923559e+01,-1.162494081147911929e+05
1.927710843373493788e+01,-1.194739236028229789e+05
1.937751004016064371e+01,-1.226796303956787597e+05
1.947791164658634600e+01,-1.258519766694691934e+05
1.957831325301204828e+01,-1.289866030691710039e+05
1.967871485943775056e+01,-1.320961904221037985e+05
1.977911646586345285e+01,-1.351910312944306352e+05
1.987951807228915513e+01,-1.382681029565111094e+05
1.997991967871486096e+01,-1.413162795630674227e+05
2.008032128514056325e+01,-1.443307415002615890e+05
2.018072289156626553e+01,-1.437993193772904051e+05
2.028112449799196781e+01,-1.432649743135427998e+05
2.038152610441767010e+01,-1.426452485059225291e+05
2.048192771084337238e+01,-1.418518181049314444e+05
2.058232931726907466e+01,-1.408421062277560995e+05
2.068273092369478050e+01,-1.396124463092398946e+05
2.078313253012048278e+01,-1.381844384570698021e+05
2.088353413654618507e+01,-1.365893830752506910e+05
2.098393574297188735e+01,-1.348572537676230422e+05
2.108433734939758963e+01,-1.330116942963513138e+05
2.118473895582329192e+01,-1.310691202571242757e+05
2.128514056224899420e+01,-1.290401844909970678e+05
2.138554216867470004e+01,-1.269312884937910567e+05
2.148594377510040232e+01,-1.247455894352207251e+05
2.158634538152610460e+01,-1.224837407131170912e+05
2.168674698795180689e+01,-1.201444585570929485e+05
2.178714859437750917e+01,-1.177250039534288808e+05
2.188755020080321145e+01,-1.152215221394802938e+05
2.198795180722891729e+01,-1.126290643911205261e+05
2.208835341365461957e+01,-1.099421750561821245e+05
2.218875502008032186e+01,-1.071541753167751158e+05
2.228915662650602414e+01,-1.042579470620343636e+05
2.238955823293172642e+01,-1.012459592431043711e+05
2.248995983935742871e+01,-9.811504358676046832e+04
2.259036144578313099e+01,-9.486198733756344882e+04
2.269076305220883683e+01,-9.147762385059484222e+04
2.279116465863453911e+01,-8.795355060027450963e+04
2.289156626506024139e+01,-8.428238299308218120e+04
2.299196787148594368e+01,-8.045590624433326593e+04
2.309236947791164596e+01,-7.646618366468642489e+04
2.319277108433734824e+01,-7.226959310855247895e+04
2.329317269076305053e+01,-6.786715823548799381e+04
2.339357429718875636e+01,-6.347326730165698973e+04
2.349397590361445864e+01,-5.917676931674278603e+04
2.359437751004016093e+01,-5.489739258117505233e+04
2.369477911646586321e+01,-5.064474168713197287e+04
2.379518072289156549e+01,-4.642858588104374212e+04
2.389558232931726778e+01,-4.225606469292264956e+04
2.399598393574297006e+01,-3.813278942730429117e+04
2.409638554216867590e+01,-3.406201902619727480e+04
2.419678714859437818e+01,-3.004465001917968038e+04
2.429718875502008046e+01,-2.608365272316212940e+04
2.439759036144578275e+01,-2.219100213634050306e+04
2.449799196787148503e+01,-1.836857987124610372e+04
2.459839357429718731e+01,-1.460135877639715181e+04
2.469879518072289315e+01,-1.087689538954639647e+04
2.479919678714859543e+01,-7.196357966300540284e+03
2.489959839357429772e+01,-3.569426406693031822e+03
2.500000000000000000e+01,-0.000000000000000000e+00
