time,->1,1->1,2->1,4->1,"1,5->1","2,6->1","4,5->1","4,6->1","4,7->1",->2,2->2,3->2,4->2,"2,6->2","3,7->2","4,5->2","4,6->2","4,7->2",->3,1->3,3->3,4->3,"1,5->3","3,7->3","4,5->3","4,6->3","4,7->3",->4,1->4,2->4,3->4,4->4,"1,6->4","2,7->4","3,5->4","4,5->4","4,6->4","4,7->4",->5,5->5,6->5,->6,7->6,6->6,->7,5->7,7->7
0.0,8.0,-1.0,-4.0,-3.4999999999999996,0.16,0.020999999999999998,0.055999999999999994,0.07349999999999998,0.08399999999999998,8.0,-2.0,-6.0,-3.4999999999999996,0.42,0.036000000000000004,0.055999999999999994,0.07349999999999998,0.08399999999999998,8.0,-2.0,-3.0,-3.4999999999999996,0.008000000000000002,0.7200000000000001,0.055999999999999994,0.07349999999999998,0.08399999999999998,1.0,1.5,2.0,1.5,-6.999999999999999,-0.31499999999999995,-0.48,-0.24000000000000005,-0.07000000000000002,-0.20999999999999996,-0.42000000000000004,1.0,-0.2,-0.6,1.0,-0.8,-0.3,1.0,-0.4,-0.4
0.10040160642570281,8.0,-1.0723665804098905,-3.1161723924999243,-2.849907480893989,0.17418544259787744,0.016259867478248854,0.04629129674413929,0.059482098071514077,0.0688242888490905,8.0,-1.5580861962499621,-6.418113627543808,-2.849907480893989,0.3251973495649771,0.03874881106928031,0.04629129674413929,0.059482098071514077,0.0688242888490905,8.0,-2.144733160819781,-3.209056813771904,-2.849907480893989,0.008709272129893874,0.7749762213856063,0.04629129674413929,0.059482098071514077,0.0688242888490905,1.0,1.6085498706148358,1.5580861962499621,1.604528406885952,-5.699814961787978,-0.33572992035102506,-0.3762724760063079,-0.26062495402222347,-0.06053316774532169,-0.1664850051479376,-0.3576941665596096,1.0,-0.2040791923152827,-0.5936301760803234,1.0,-0.8155719378124545,-0.2968150880401617,1.0,-0.4081583846305654,-0.40778596890622726
0.20080321285140562,8.0,-1.2761455852977386,-2.4912847006771335,-2.5538401518409053,0.2104466951004842,0.012910010703878504,0.042114882969598255,0.05293670962182602,0.06200360794668799,8.0,-1.2456423503385667,-6.8471871744852555,-2.5538401518409053,0.25820021407757004,0.041559992390120995,0.042114882969598255,0.05293670962182602,0.06200360794668799,8.0,-2.552291170595477,-3.4235935872426277,-2.5538401518409053,0.010522334755024211,0.8311998478024201,0.042114882969598255,0.05293670962182602,0.06200360794668799,1.0,1.9142183779466078,1.2456423503385667,1.7117967936213139,-5.107680303681811,-0.3967845143051656,-0.3024242526553982,-0.28228909150452675,-0.05760757466791966,-0.14481275637674418,-0.3339690536963974,1.0,-0.20829477523128645,-0.5866371272811172,1.0,-0.8301268994855923,-0.2933185636405586,1.0,-0.4165895504625729,-0.41506344974279613
0.3012048192771084,8.0,-1.5998951990745034,-2.012749872077633,-2.430373338194192,0.2678804413491138,0.010351338858320333,0.04069325808685432,0.049996511389478596,0.059273478517661904,8.0,-1.0063749360388166,-6.9847618891075225,-2.430373338194192,0.20702677716640666,0.04258719506985453,0.04069325808685432,0.049996511389478596,0.059273478517661904,8.0,-3.199790398149007,-3.4923809445537612,-2.430373338194192,0.01339402206745569,0.8517439013970907,0.04069325808685432,0.049996511389478596,0.059273478517661904,1.0,2.399842798611755,1.0063749360388166,1.7461904722768806,-4.860746676388384,-0.4936845131081826,-0.2454410695450277,-0.29237557226482147,-0.05822826776343059,-0.13340171089839742,-0.32990521926595345,1.0,-0.21266090244097413,-0.5791216562306116,1.0,-0.8436198211863656,-0.2895608281153058,1.0,-0.42532180488194826,-0.4218099105931828
0.40160642570281124,8.0,-2.0373153915781437,-1.6769179787762558,-2.4125091530164995,0.34638161215522884,0.008553485417089012,0.041017154889984475,0.04922211371120062,0.0590622649721724,8.0,-0.8384589893881279,-6.666861548601405,-2.4125091530164995,0.17106970834178023,0.04080398439358697,0.041017154889984475,0.04922211371120062,0.0590622649721724,8.0,-4.074630783156287,-3.3334307743007026,-2.4125091530164995,0.017319080607761446,0.8160796878717392,0.041017154889984475,0.04922211371120062,0.0590622649721724,1.0,3.0559730873672155,0.8384589893881279,1.6667153871503513,-4.825018306032999,-0.6235062553718282,-0.2052688046286671,-0.2833726997751989,-0.061404587936805075,-0.12787033036530082,-0.33868718215930205,1.0,-0.2171902580012602,-0.5711816832344411,1.0,-0.8560104143660796,-0.28559084161722054,1.0,-0.4343805160025204,-0.4280052071830398
0.5020080321285141,8.0,-2.554643174613725,-1.4888805514004981,-2.4691328494412317,0.4410771320288316,0.007527719839623817,0.042631317228653265,0.049935343221246487,0.06064072908775193,8.0,-0.7444402757002491,-5.891741834714312,-2.4691328494412317,0.15055439679247634,0.03617459470991383,0.042631317228653265,0.049935343221246487,0.06064072908775193,8.0,-5.10928634922745,-2.945870917357156,-2.4691328494412317,0.02205385660144158,0.7234918941982768,0.042631317228653265,0.049935343221246487,0.06064072908775193,1.0,3.831964761920587,0.7444402757002491,1.472935458678578,-4.938265698882463,-0.7749703530189939,-0.18283099303857295,-0.2543126782767826,-0.06678396983540878,-0.12610289518042622,-0.3572175194217255,1.0,-0.22189397933481428,-0.5629113678822576,1.0,-0.8672633664957535,-0.2814556839411288,1.0,-0.44378795866962856,-0.43363168324787676
0.6024096385542168,8.0,-3.078710120815353,-1.4473004602657635,-2.57806586693014,0.5398570579266948,0.007249537126202108,0.045206823619157246,0.05165419269658085,0.06348207557362126,8.0,-0.7236502301328818,-4.818005395760487,-2.57806586693014,0.14499074252404215,0.029659539208358624,0.045206823619157246,0.05165419269658085,0.06348207557362126,8.0,-6.157420241630706,-2.4090026978802435,-2.57806586693014,0.02699285289633474,0.5931907841671724,0.045206823619157246,0.05165419269658085,0.06348207557362126,1.0,4.618065181223029,0.7236502301328818,1.2045013489401217,-5.15613173386028,-0.9252767038117293,-0.17819101981620883,-0.21121136092388507,-0.07412385685307407,-0.12663442495831795,-0.38301725751715887,1.0,-0.22678159183609456,-0.5544004132662234,1.0,-0.8773485118002419,-0.2772002066331117,1.0,-0.4535631836721891,-0.43867425590012094
0.7028112449799196,8.0,-3.5137319911000895,-1.5531582108460686,-2.7143631853544705,0.6258007655815814,0.0077040722756288905,0.04834320214984493,0.05385581460084654,0.06698090735673842,8.0,-0.7765791054230343,-3.6863982815856002,-2.7143631853544705,0.1540814455125778,0.022741826067269582,0.04834320214984493,0.05385581460084654,0.06698090735673842,8.0,-7.027463982200179,-1.8431991407928001,-2.7143631853544705,0.03129003827907907,0.45483652134539165,0.04834320214984493,0.05385581460084654,0.06698090735673842,1.0,5.2705979866501345,0.7765791054230343,0.9215995703964001,-5.428726370708941,-1.0457419608995921,-0.19163232612413383,-0.1641382206083273,-0.08298732719822535,-0.12803541855695208,-0.41270186491914235,1.0,-0.23186095187295513,-0.5457335408762362,1.0,-0.8862409703619842,-0.2728667704381181,1.0,-0.46372190374591027,-0.4431204851809921
0.8032128514056225,8.0,-3.7781487176905535,-1.8172170227713513,-2.8485283464492874,0.6834809756848794,0.008922783779028142,0.05153092371353965,0.05594665294305378,0.0704118677806482,8.0,-0.9086085113856757,-2.701168060461645,-2.8485283464492874,0.17845567558056286,0.016692328914649376,0.05153092371353965,0.05594665294305378,0.0704118677806482,8.0,-7.556297435381107,-1.3505840302308225,-2.8485283464492874,0.034174048784243974,0.33384657829298753,0.05153092371353965,0.05594665294305378,0.0704118677806482,1.0,5.66722307653583,0.9086085113856757,0.6752920151154113,-5.697056692898575,-1.1130735736192903,-0.22459605307353664,-0.12216280508021352,-0.09263614796058796,-0.12886768360216788,-0.4417433378717581,1.0,-0.23713819564789695,-0.5369901220831526,1.0,-0.8939212551683366,-0.2684950610415763,1.0,-0.4742763912957939,-0.4469606275841683
0.9036144578313253,8.0,-3.8312200068387803,-2.2594480929628555,-2.9528878495914217,0.7040033328574608,0.01097874625724081,0.05426059803289548,0.05739278813746422,0.07308950566824424,8.0,-1.1297240464814278,-1.9585094815427901,-2.9528878495914217,0.21957492514481616,0.012119194593890381,0.05426059803289548,0.05739278813746422,0.07308950566824424,8.0,-7.662440013677561,-0.9792547407713951,-2.9528878495914217,0.035200166642873044,0.24238389187780765,0.05426059803289548,0.05739278813746422,0.07308950566824424,1.0,5.74683001025817,1.1297240464814278,0.48962737038569754,-5.905775699182843,-1.1169628311024582,-0.2796278636531391,-0.08997115801088751,-0.10217457134696062,-0.12800243296479671,-0.46552328362237794,1.0,-0.2426176921330046,-0.5282439504745701,1.0,-0.900375347227452,-0.26412197523728503,1.0,-0.4852353842660092,-0.450187673613726
