time,A_1_1,A_1_2,A_1_3,A_1_4,A_1_5,A_1_6,A_1_7,A_2_1,A_2_2,A_2_3,A_2_4,A_2_5,A_2_6,A_2_7,A_3_1,A_3_2,A_3_3,A_3_4,A_3_5,A_3_6,A_3_7,A_4_1,A_4_2,A_4_3,A_4_4,A_4_5,A_4_6,A_4_7,A_5_1,A_5_2,A_5_3,A_5_4,A_5_5,A_5_6,A_5_7,A_6_1,A_6_2,A_6_3,A_6_4,A_6_5,A_6_6,A_6_7,A_7_1,A_7_2,A_7_3,A_7_4,A_7_5,A_7_6,A_7_7
0.0,1.24,0.0,2.0119999999999996,2.085,0.0,0.0,0.0,4.039000000000001,2.7800000000000002,0.0,3.12,0.0,0.0,0.0,0.0,6.084,4.680000000000001,1.86,0.0,0.0,0.0,3.916499999999999,3.916499999999999,3.916499999999999,8.329999999999998,0.0,0.0,0.0,0.324,0.08399999999999999,0.09599999999999999,0.5700000000000001,0.2,0.0,0.4,0.1755,0.9165,0.13649999999999998,1.005,0.6,0.3,0.0,0.196,0.28,1.8760000000000001,1.82,0.0,0.8,0.4
0.10040160642570281,1.3358765490039173,0.0,2.157908659249482,2.227703693190877,0.0,0.0,0.0,3.146158874173085,2.1578158297131713,0.0,2.452545098598072,0.0,0.0,0.0,0.0,6.510225650682438,5.051297276544511,1.9988051755121534,0.0,0.0,0.0,3.1932407252515356,3.1932407252515356,3.1932407252515356,6.802458229263137,0.0,0.0,0.0,0.333540035224713,0.07003006663068617,0.08320556506038751,0.5711312997463485,0.2040791923152827,0.0,0.4081583846305654,0.13968349157121937,0.7094266433612684,0.10969700989805889,0.954817935693552,0.5936301760803234,0.2968150880401617,0.0,0.16360616782880164,0.255718190967432,2.005846630601408,1.4845835255856117,0.0,0.8155719378124545,0.40778596890622726
0.20080321285140562,1.5973278059012364,0.0,2.5683502816256523,2.64038543386876,0.0,0.0,0.0,2.514911692474371,1.7181821862833124,0.0,1.977259319837669,0.0,0.0,0.0,0.0,6.947728038578958,5.434410869116687,2.1426243588547638,0.0,0.0,0.0,2.864994149107723,2.864994149107723,2.864994149107723,6.112278886227801,0.0,0.0,0.0,0.38545764971476654,0.0642754291112689,0.0803345401414438,0.5948254519822369,0.20829477523128645,0.0,0.4165895504625729,0.12050802719652334,0.5694208713440317,0.09688103539928607,1.0207975573200085,0.5866371272811172,0.2933185636405586,0.0,0.1499975327562625,0.2505383968499655,2.1608148146303217,1.27758716389845,0.0,0.8301268994855923,0.41506344974279613
0.3012048192771084,2.0124850714177214,0.0,3.2204198917661677,3.295959221728718,0.0,0.0,0.0,2.0315392092067017,1.3821616786201851,0.0,1.6099317100812955,0.0,0.0,0.0,0.0,7.089486783435623,5.5868788311157855,2.196507783348524,0.0,0.0,0.0,2.729558463059693,2.729558463059693,2.729558463059693,5.831430247175662,0.0,0.0,0.0,0.4752656917301355,0.06267581938691763,0.08330531300407854,0.6119146563088456,0.21266090244097413,0.0,0.42532180488194826,0.10954100902696394,0.46653841447926414,0.0907516718978955,1.1702663173027346,0.5791216562306116,0.2895608281153058,0.0,0.14575763358068755,0.2504825279087888,2.2402555201427115,1.1384931054067817,0.0,0.8436198211863656,0.4218099105931828
0.40160642570281124,2.575903890476506,0.0,4.101560208101206,4.1779826839569445,0.0,0.0,0.0,1.6923101142032548,1.146301697928107,0.0,1.3509198116945564,0.0,0.0,0.0,0.0,6.768730137126307,5.3708025447987495,2.1073313772748627,0.0,0.0,0.0,2.7123137163753603,2.7123137163753603,2.7123137163753603,5.802086503426625,0.0,0.0,0.0,0.6023660410831887,0.06377754218482659,0.0907069671297447,0.6068152751361274,0.2171902580012602,0.0,0.4343805160025204,0.10396812559964433,0.3964186987126245,0.08857599017264539,1.3876780308388763,0.5711816832344411,0.28559084161722054,0.0,0.14745103100138895,0.24931961952629128,2.1848228014994353,1.057661300439292,0.0,0.8560104143660796,0.4280052071830398
0.5020080321285141,3.2472859221760175,0.0,5.143918486605564,5.2140509347109205,0.0,0.0,0.0,1.502305526255928,1.012939772808845,0.0,1.207235062320501,0.0,0.0,0.0,0.0,5.9833095364568525,4.7772249522079795,1.8722938008608743,0.0,0.0,0.0,2.7786317443067086,2.7786317443067086,2.7786317443067086,5.951076367723152,0.0,0.0,0.0,0.7595885730274042,0.06694582546511149,0.10157796284322614,0.57571945471147,0.22189397933481428,0.0,0.44378795866962856,0.10247992661038133,0.35755444886354737,0.08905495175495154,1.6471793629469575,0.5629113678822576,0.2814556839411288,0.0,0.1534981176454136,0.2450658193879548,1.9848521524962373,1.034151152775143,0.0,0.8672633664957535,0.43363168324787676
0.6024096385542168,3.9352426268894596,0.0,6.200246866934411,6.253045722371704,0.0,0.0,0.0,1.460110522471855,0.9798514742547069,0.0,1.1803526627876593,0.0,0.0,0.0,0.0,4.894022603147528,3.9293468456210703,1.5396074545789646,0.0,0.0,0.0,2.903768654645702,2.903768654645702,2.903768654645702,6.225953152793752,0.0,0.0,0.0,0.9282572586870931,0.07172475261298643,0.11455137791669176,0.5261615387240607,0.22678159183609456,0.0,0.4535631836721891,0.10408394771487184,0.3474751296306058,0.09127388550878059,1.9045430443123539,0.5544004132662234,0.2772002066331117,0.0,0.16270414959379462,0.23872135698083596,1.6830482973346215,1.0659059153393524,0.0,0.8773485118002419,0.43867425590012094
0.7028112449799196,4.517325713684349,0.0,7.077643668329392,7.101198127540281,0.0,0.0,0.0,1.5666444018190904,1.046302924883469,0.0,1.273182999251852,0.0,0.0,0.0,0.0,3.74533238527366,3.021881214553995,1.1848272570637044,0.0,0.0,0.0,3.0597441171911783,3.0597441171911783,3.0597441171911783,6.567011837327399,0.0,0.0,0.0,1.0811214868114538,0.07752776422719389,0.12770745035640688,0.4720859802425685,0.23186095187295513,0.0,0.46372190374591027,0.10776227960893464,0.3639999080963475,0.09427608863591291,2.1067674626838584,0.5457335408762362,0.2728667704381181,0.0,0.1735770789736008,0.23251118266166057,1.3522591527347958,1.1498637450782994,0.0,0.8862409703619842,0.4431204851809921
0.8032128514056225,4.886554481610781,0.0,7.611717723577119,7.597392314657975,0.0,0.0,0.0,1.8326899287650624,1.2180666312598982,0.0,1.496236919266656,0.0,0.0,0.0,0.0,2.744841520122708,2.2240532234520827,0.8734042700349997,0.0,0.0,0.0,3.2133370384135858,3.2133370384135858,3.2133370384135858,6.903001998734629,0.0,0.0,0.0,1.1919738146724623,0.08356805075223467,0.13898833894824605,0.42584737734595074,0.23713819564789695,0.0,0.4742763912957939,0.11248941150236974,0.4064746253828812,0.09701650550865859,2.2120000801760256,0.5369901220831526,0.2684950610415763,0.0,0.18422413570340515,0.22789759536446816,1.0576933289246653,1.2840077492367918,0.0,0.8939212551683366,0.4469606275841683
0.9036144578313253,4.986260186207357,0.0,7.720192022645989,7.665595366480302,0.0,0.0,0.0,2.278307841368588,1.5069190145960778,0.0,1.8672718634502061,0.0,0.0,0.0,0.0,1.9904751283112083,1.6185676761397607,0.6372407375910696,0.0,0.0,0.0,3.3332847813795237,3.3332847813795237,3.3332847813795237,7.166615810743685,0.0,0.0,0.0,1.2440641483747739,0.08902396900619683,0.1467759779746257,0.393072505591425,0.2426176921330046,0.0,0.4852353842660092,0.11745147456592138,0.475786694274839,0.09859172616018887,2.2027523034845813,0.5282439504745701,0.26412197523728503,0.0,0.1927812366217158,0.2247468833901341,0.8320941719900815,1.4689418428811165,0.0,0.900375347227452,0.450187673613726
