time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.209302325581395277e+00,5.222434383133262692e+00,4.300581925241736769e+00,3.355791342121611009e+00,4.300581925241735881e+00,2.804240280492176396e+01,3.204122015522007416e+01,3.004176433122269074e+01,1.603442444295112779e+01,6.089265080995240886e+00,1.043330707190092355e+00
1.310077519379844846e+00,5.167849291580884241e+00,4.303962384726794710e+00,3.406471738897041579e+00,4.303962384726792934e+00,2.802489702758581203e+01,3.202419634428532191e+01,3.002451845825018850e+01,1.602022368773936378e+01,6.056383537989369792e+00,9.299046887384465609e-01
1.410852713178294637e+00,5.117783185530900170e+00,4.305764546605391097e+00,3.455325049292977901e+00,4.305764546605391985e+00,2.801483740552869151e+01,3.201443884150933883e+01,3.001462153663677057e+01,1.601222144311206108e+01,6.035503374308744284e+00,8.360124450198539447e-01
1.511627906976744207e+00,5.071321383775067027e+00,4.306600195434081790e+00,3.502173376129380067e+00,4.306600195434083567e+00,2.800939491468234621e+01,3.200917968773738664e+01,3.000927881235000427e+01,1.600805285507829012e+01,6.022613108027874418e+00,7.574128233311687719e-01
1.612403100775193776e+00,5.027866764134915734e+00,4.306852065440869737e+00,3.546923876240425155e+00,4.306852065440869737e+00,2.800679588427271227e+01,3.200669770621129118e+01,3.000674243904746064e+01,1.600623151863700855e+01,6.014980589317367787e+00,6.908994932084958629e-01
1.713178294573643345e+00,4.987019817763242102e+00,4.306760027639525035e+00,3.589543920078135386e+00,4.306760027639525035e+00,2.800591961542693298e+01,3.200589103823397608e+01,3.000590367245236578e+01,1.600582231614254169e+01,6.010762186611394498e+00,6.340380960819220757e-01
1.813953488372092915e+00,4.948503910574499898e+00,4.306474026798551513e+00,3.630042581552633596e+00,4.306474026798551513e+00,2.800606393730346255e+01,3.200607626194289423e+01,3.000607009551679383e+01,1.600623807074772742e+01,6.008724885287266559e+00,5.849663624992235134e-01
1.914728682170542706e+00,4.912118914984631601e+00,4.306087243844728185e+00,3.668457360670051237e+00,4.306087243844728185e+00,2.800678844700883730e+01,3.200682376158534481e+01,3.000680704978919167e+01,1.600711188149079334e+01,6.008052187995248872e+00,5.422472316401453218e-01
2.015503875968992276e+00,4.877712314267424354e+00,4.305657014186982323e+00,3.704844679579130329e+00,4.305657014186982323e+00,2.800781894749303902e+01,3.200786575566627334e+01,3.000784381572415782e+01,1.600821604918494501e+01,6.008208469293323084e+00,5.047608787505457606e-01
2.116279069767441623e+00,4.845161379095020315e+00,4.305218021038791143e+00,3.739273186457551468e+00,4.305218021038791143e+00,2.800898663884976614e+01,3.200903941360328986e+01,3.000901469688949774e+01,1.600941095011715021e+01,6.008845972040128380e+00,4.716260019546260063e-01
2.217054263565891414e+00,4.814362268544380541e+00,4.304790607888760334e+00,3.771819061257925210e+00,4.304790607888761222e+00,2.801018867064617623e+01,3.201024078112872218e+01,3.001021642737337558e+01,1.601061280775448736e+01,6.009741886125183896e+00,4.421423673187676040e-01
