time,->1,1->1,"2,3->1","3,4->1",->2,2->2,"3,4->2","1,4->2",->3,3->3,"1,4->3","1,2->3",->4,4->4,"1,2->4","3,4->4",->5,8->5,5->5,->6,8->6,6->6,->7,8->7,7->7,->8,2->8,8->8,->9,4->9,9->9,8->10,10->10,->10
0.0,8.0,-5.0,-0.1,-0.1,8.0,-1.0,-0.1,-0.5,8.0,-1.0,-0.5,-0.5,8.0,-1.0,-0.5,-0.1,12.0,13.0,-13.999999999999998,16.0,13.0,-12.0,14.0,13.0,-13.0,20.0,-0.05,-13.0,10.0,-0.05,-13.0,8.450000000000001,-2.0,-13.0
0.10077519379844961,8.0,-6.1246167509701595,-0.29675368050188405,-0.29675368050188417,8.0,-1.771164430030466,-0.29675368050188417,-1.0847703336887111,8.0,-1.6754722230774448,-1.0847703336887111,-1.084770333688711,8.0,-1.7711644300304668,-1.084770333688711,-0.29675368050188417,12.0,18.512209311942307,-27.697781885490425,16.0,18.512209311942307,-31.39440303504272,14.0,18.512209311942307,-29.53391113513702,20.0,-0.2778092164960415,-18.512209311942307,10.0,-0.27780921649604184,-10.81550590800524,17.135094680458174,-1.7647082070391813,-13.0
0.20155038759689922,8.0,-6.573588725185949,-0.606413269824627,-0.6064132698246272,8.0,-2.6317846173023827,-0.6064132698246272,-1.7300269687416767,8.0,-2.3041903423168772,-1.7300269687416767,-1.7300269687416758,8.0,-2.6317846173023836,-1.7300269687416758,-0.6064132698246272,12.0,19.220808661389345,-31.020080042298346,16.0,19.220808661389345,-35.07506692731577,14.0,19.220808661389345,-33.04894083035174,20.0,-0.9114252096238578,-19.220808661389345,10.0,-0.9114252096238586,-9.894831190573186,18.471974279886986,-2.4166682681003526,-13.0
0.3023255813953488,8.0,-6.516703341625505,-0.8918238267584391,-0.8918238267584393,8.0,-3.3122766741349885,-0.8918238267584393,-2.1585124470723698,8.0,-2.6924798695789556,-2.1585124470723698,-2.1585124470723698,8.0,-3.3122766741349894,-2.1585124470723698,-0.8918238267584393,12.0,18.611615624012995,-30.823205097992464,16.0,18.611615624012995,-34.808033644987916,14.0,18.611615624012995,-32.81558932434397,20.0,-1.8169786444947809,-18.611615624012995,10.0,-1.8169786444947822,-9.082511059887747,17.319611806800232,-3.0244488020766873,-13.0
0.40310077519379844,8.0,-6.269781408622273,-1.0763009493188391,-1.0763009493188396,8.0,-3.737023942816265,-1.0763009493188396,-2.3430323240245734,8.0,-2.880101829124825,-2.3430323240245734,-2.343032324024572,8.0,-3.7370239428162666,-2.343032324024572,-1.0763009493188396,12.0,17.808143456636344,-30.063730706676978,16.0,17.808143456636344,-34.03454904529118,14.0,17.808143456636344,-32.04833279281275,20.0,-2.609441982792662,-17.808143456636344,10.0,-2.609441982792666,-8.285859157839148,15.856498668606992,-3.1612443939570896,-13.0
0.5038759689922481,8.0,-6.016581240460126,-1.1831233934535639,-1.1831233934535643,8.0,-3.9783709965083234,-1.1831233934535643,-2.3936192305182646,8.0,-2.973889047783502,-2.3936192305182646,-2.3936192305182638,8.0,-3.9783709965083247,-2.3936192305182638,-1.1831233934535643,12.0,17.162365990601156,-29.366140349011186,16.0,17.162365990601156,-33.339980200886885,14.0,17.162365990601156,-31.35220085650245,20.0,-3.148370573977895,-17.162365990601156,10.0,-3.148370573977898,-7.615972267543477,14.72734031976716,-2.9157391842098104,-13.0
0.6046511627906976,8.0,-5.81041314427214,-1.2491229567645021,-1.2491229567645021,8.0,-4.114603858150026,-1.2491229567645021,-2.3907548340867777,8.0,-3.0358279917768853,-2.3907548340867777,-2.3907548340867772,8.0,-4.114603858150027,-2.3907548340867772,-1.2491229567645021,12.0,16.72392917729856,-28.86386361541823,16.0,16.72392917729856,-32.84475939902803,14.0,16.72392917729856,-30.85363014695632,20.0,-3.483004946749297,-16.72392917729856,10.0,-3.4830049467493,-7.111681426079158,13.984490356364908,-2.5320938978736742,-13.0
0.7054263565891473,8.0,-5.651856614276512,-1.295627016882984,-1.2956270168829838,8.0,-4.193290415097249,-1.2956270168829838,-2.3699876168149685,8.0,-3.089762188228826,-2.3699876168149685,-2.369987616814969,8.0,-4.193290415097248,-2.369987616814969,-1.2956270168829838,12.0,16.445037002301582,-28.535241598584513,16.0,16.445037002301582,-32.522505246361796,14.0,16.445037002301582,-30.528397428548953,20.0,-3.6866747849181665,-16.445037002301582,10.0,-3.6866747849181642,-6.752277260561877,13.521962100353413,-2.153955174765829,-13.0
0.8062015503875969,8.0,-5.529386110787677,-1.3325141223213564,-1.3325141223213566,8.0,-4.23981673417449,-1.3325141223213566,-2.34435837622296,8.0,-3.1428578305774395,-2.34435837622296,-2.3443583762229596,8.0,-4.239816734174491,-2.3443583762229596,-1.3325141223213566,12.0,16.271602767935235,-28.32827105657081,16.0,16.271602767935235,-32.320124853011805,14.0,16.271602767935235,-30.32388547617572,20.0,-3.810757019404917,-16.271602767935235,10.0,-3.810757019404919,-6.5027958545276,13.23825283187388,-1.8298352206764925,-13.0
0.9069767441860465,8.0,-5.431999599192569,-1.3641702246232645,-1.3641702246232645,8.0,-4.267733076849055,-1.3641702246232645,-2.3182324362904936,8.0,-3.196475037352749,-2.3182324362904936,-2.3182324362904936,8.0,-4.267733076849055,-2.3182324362904936,-1.3641702246232645,12.0,16.164536855033102,-28.19974947245327,16.0,16.164536855033102,-32.19463747461327,14.0,16.164536855033102,-30.19699426646676,20.0,-3.8865275534411277,-16.164536855033102,10.0,-3.8865275534411277,-6.3322179830807706,13.064612586886174,-1.5654450215362294,-13.0
1.0077519379844961,8.0,-5.351653307436368,-1.3925982886143107,-1.3925982886143105,8.0,-4.284558665514015,-1.3925982886143105,-2.2929472553203225,8.0,-3.250272425543371,-2.2929472553203225,-2.292947255320323,8.0,-4.284558665514014,-2.292947255320323,-1.3925982886143105,12.0,16.098735519978906,-28.120453994994286,16.0,16.098735519978906,-32.1172787708005,14.0,16.098735519978906,-30.11874183830242,20.0,-3.9326770651684444,-16.098735519978906,10.0,-3.932677065168442,-6.216955272220015,12.958464267111523,-1.3528840011744616,-13.0
1.1085271317829457,8.0,-5.282960047635698,-1.4187685054642298,-1.4187685054642296,8.0,-4.294642462160888,-1.4187685054642296,-2.268842454647577,8.0,-3.3035776970136035,-2.268842454647577,-2.2688424546475776,8.0,-4.294642462160887,-2.2688424546475776,-1.4187685054642296,12.0,16.058588629903724,-28.071855754333505,16.0,16.058588629903724,-32.06990430380823,14.0,16.058588629903724,-30.070802810655188,20.0,-3.96050937468584,-16.058588629903724,10.0,-3.960509374685838,-6.139983144697235,12.89391343922366,-1.1818912476707437,-13.0
1.2093023255813953,8.0,-5.222434383133263,-1.4431855590810911,-1.4431855590810907,8.0,-4.300581925241737,-1.4431855590810907,-2.2459506913863883,8.0,-3.355791342121611,-2.2459506913863883,-2.245950691386389,8.0,-4.300581925241736,-2.245950691386389,-1.4431855590810907,12.0,16.034424442951128,-28.042402804921764,16.0,16.034424442951128,-32.041220155220074,14.0,16.034424442951128,-30.04176433122269,20.0,-3.976964188088667,-16.034424442951128,10.0,-3.976964188088664,-6.089265080995241,12.85513836083543,-1.0433307071900924,-13.0
1.3100775193798448,8.0,-5.167849291580884,-1.4661326228847742,-1.4661326228847738,8.0,-4.303962384726795,-1.4661326228847738,-2.224222896090113,8.0,-3.4064717388970416,-2.224222896090113,-2.2242228960901143,8.0,-4.303962384726793,-2.2242228960901143,-1.4661326228847738,12.0,16.020223687739364,-28.024897027585812,16.0,16.020223687739364,-32.02419634428532,14.0,16.020223687739364,-30.02451845825019,20.0,-3.986349803968141,-16.020223687739364,10.0,-3.986349803968136,-6.05638353798937,12.83237835026027,-0.9299046887384466,-13.0
1.4108527131782946,8.0,-5.1177831855309,-1.487781609424323,-1.4877816094243235,8.0,-4.305764546605391,-1.4877816094243235,-2.2035969397472157,8.0,-3.455325049292978,-2.2035969397472157,-2.2035969397472153,8.0,-4.305764546605392,-2.2035969397472153,-1.4877816094243235,12.0,16.01222144311206,-28.01483740552869,16.0,16.01222144311206,-32.01443884150934,14.0,16.01222144311206,-30.01462153663677,20.0,-3.991359412936276,-16.01222144311206,10.0,-3.991359412936278,-6.035503374308744,12.819561777162887,-0.836012445019854,-13.0
