time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
2.525252525252525082e+00,4.730122609237271902e+00,4.303646350127868558e+00,3.860519365797629998e+00,4.303646350127868558e+00,2.801357979612343030e+01,3.201362497231277615e+01,3.001360390956183366e+01,1.601393157503618525e+01,6.012881262016674278e+00,3.693032468282349545e-01
2.626262626262626299e+00,4.705508657348043577e+00,4.303333716741999382e+00,3.886319272778445022e+00,4.303333716741999382e+00,2.801453217555604880e+01,3.201457338197380409e+01,3.001455422884863822e+01,1.601485349791872892e+01,6.013851861141017885e+00,3.498274014160844270e-01
2.727272727272727071e+00,4.682251280037565522e+00,4.303051198907105857e+00,3.910640715416657809e+00,4.303051198907106745e+00,2.801539877543735102e+01,3.201543705862027167e+01,3.001541907016121868e+01,1.601569008275974326e+01,6.014754942256097081e+00,3.320493067971425072e-01
2.828282828282828287e+00,4.660282736562355588e+00,4.302797021874410710e+00,3.933561544773376273e+00,4.302797021874409822e+00,2.801618228217831685e+01,3.201621450203523267e+01,3.001620012394685233e+01,1.601644500827691431e+01,6.015584285994522773e+00,3.157576277393062125e-01
2.929292929292929060e+00,4.639537960617409418e+00,4.302569093833407798e+00,3.955156909777397090e+00,4.302569093833406910e+00,2.801688748680003016e+01,3.201692032555526168e+01,3.001690423587942291e+01,1.601712345198630061e+01,6.016338966742830863e+00,3.007743375144859010e-01
3.030303030303030276e+00,4.619954443668360611e+00,4.302365203000277027e+00,3.975499045320379121e+00,4.302365203000277916e+00,2.801751996163137548e+01,3.201754664695275920e+01,3.001753440475590651e+01,1.601773133881148681e+01,6.017021302938944771e+00,2.869487017681068286e-01
3.131313131313131048e+00,4.601472152884736211e+00,4.302183157387944767e+00,3.994657128160377546e+00,4.302183157387945656e+00,2.801808586440448678e+01,3.201811019540730285e+01,3.001809901245515988e+01,1.601827475615574414e+01,6.017635325259648837e+00,2.741521499460881084e-01
3.232323232323232265e+00,4.584033500968281771e+00,4.302020851463504769e+00,4.012697225238606613e+00,4.302020851463505657e+00,2.801859114237583626e+01,3.201861124456441132e+01,3.001860238750091625e+01,1.601875970238345204e+01,6.018185971582324711e+00,2.622744467134967006e-01
3.333333333333333481e+00,4.567583314948683970e+00,4.301876309143695565e+00,4.029682284215771126e+00,4.301876309143696453e+00,2.801904171390042819e+01,3.201906171297203940e+01,3.001905219780440959e+01,1.601919188137171446e+01,6.018678509015942701e+00,2.512205502300194349e-01
3.434343434343434254e+00,4.552068809834284302e+00,4.301747702446684585e+00,4.045672165420692856e+00,4.301747702446686361e+00,2.801944295697286336e+01,3.201946007448579934e+01,3.001945221216287507e+01,1.601957662705202168e+01,6.019118207490914862e+00,2.409080899067998771e-01
