time,1->1,2->1,3->1,4->1,5->1,6->1,7->1,8->1,9->1,10->1,1->2,2->2,3->2,4->2,5->2,6->2,7->2,8->2,9->2,10->2,1->3,2->3,3->3,4->3,5->3,6->3,7->3,8->3,9->3,10->3,1->4,2->4,3->4,4->4,5->4,6->4,7->4,8->4,9->4,10->4,1->5,2->5,3->5,4->5,5->5,6->5,7->5,8->5,9->5,10->5,1->6,2->6,3->6,4->6,5->6,6->6,7->6,8->6,9->6,10->6,1->7,2->7,3->7,4->7,5->7,6->7,7->7,8->7,9->7,10->7,1->8,2->8,3->8,4->8,5->8,6->8,7->8,8->8,9->8,10->8,1->9,2->9,3->9,4->9,5->9,6->9,7->9,8->9,9->9,10->9,1->10,2->10,3->10,4->10,5->10,6->10,7->10,8->10,9->10,10->10
0.0,-2.200001000929319,-0.5000000005139782,-0.9999999992515995,-0.5000000005139782,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000028043132,5.399998999955358,-0.10000000028043132,-0.5999999999062311,0.0,0.0,0.0,0.0,0.0,0.0,-0.20000000056086265,-0.4999999996257998,4.999998999721811,-0.4999999996257998,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000028043132,-0.4999999996257998,-0.10000000028043132,5.299998900198943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.000000987185558,0.0,0.0,13.999999964653398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999021038093,0.0,11.999999969702912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999990027154126,12.999999967178155,0.0,0.0,0.0,-1.9500019732276996,0.0,0.0,0.0,0.0,0.0,-6.050001005064587,0.0,0.0,0.0,0.0,0.0,-1.9500019377005628,0.0,0.0,0.0,0.0,-16.05000098692244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.600000097885413,0.0,-8.55000100052905
0.10101010101010101,-4.847682266273523,-1.0274729858039677,-2.172664735233809,-1.0274729858039677,0.0,0.0,0.0,0.0,0.0,0.0,-0.31441725312220115,3.0699221120755738,-0.31441725312220115,-1.3837139469785598,0.0,0.0,0.0,0.0,0.0,0.0,-0.5947631551705967,-1.0274729858039677,2.473119452339745,-1.0274729858039677,0.0,0.0,0.0,0.0,0.0,0.0,-0.31441725312220115,-1.0863323698373506,-0.31441725312220115,2.772540366180465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.914657316799094,0.0,0.0,27.716057360294144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.31722117946356,0.0,31.41733915867917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.591597887204443,29.554527529285224,0.0,0.0,0.0,-8.733317553577535,0.0,0.0,0.0,0.0,0.0,-17.313677151520324,0.0,0.0,0.0,0.0,0.0,-5.099566566357794,0.0,0.0,0.0,0.0,-11.904222141367882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.269614599510362,0.0,0.6134263594859135
0.20202020202020202,-6.3643137442337405,-1.5164199225203845,-3.465324170059958,-1.5164199231865183,0.0,0.0,0.0,0.0,0.0,0.0,-0.6946023898279918,0.38836118587681767,-0.6946023924925271,-2.340575719017579,0.0,0.0,0.0,0.0,0.0,0.0,-1.2158272655327096,-1.5164199229644737,-0.07854066197410248,-1.5164199229644737,0.0,0.0,0.0,0.0,0.0,0.0,-0.6946023898279918,-1.732662085807135,-0.6946023898279918,-0.21955267470730178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.82634979367782,0.0,0.0,31.02297562929124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.935276715941654,0.0,35.077439279440625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.883557696372634,33.05157975752593,0.0,0.0,0.0,-20.024980302402184,0.0,0.0,0.0,0.0,0.0,-19.35452896750789,0.0,0.0,0.0,0.0,0.0,-10.305559245971097,0.0,0.0,0.0,0.0,-10.697491038769158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6514061216029745,0.0,0.629382033601189
0.30303030303030304,-6.817585914253854,-1.7554579783141122,-4.321080143920852,-1.7554579792022906,0.0,0.0,0.0,0.0,0.0,0.0,-1.099646722124703,-1.686198117134552,-1.0996467239010599,-3.0540127919920224,0.0,0.0,0.0,0.0,0.0,0.0,-1.786945439175014,-1.7554579785361568,-1.7097897573314924,-1.7554579785361568,0.0,0.0,0.0,0.0,0.0,0.0,-1.0996467239010599,-2.160540072182471,-1.0996467230128815,-2.579671106950343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.03120685654659,0.0,0.0,30.818598280468734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.00042233017808,0.0,34.80320620496968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.015734614672,32.81086233641872,0.0,0.0,0.0,-30.690034288127777,0.0,0.0,0.0,0.0,0.0,-19.03524730728634,0.0,0.0,0.0,0.0,0.0,-14.971838513844204,0.0,0.0,0.0,0.0,-9.976773689857055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6323990711426575,0.0,-1.7452494720515688
0.40404040404040403,-6.689766565148858,-1.8057776820512572,-4.687908301548305,-1.8057776802749004,0.0,0.0,0.0,0.0,0.0,0.0,-1.3987438527429674,-2.9015014990640964,-1.3987438527429674,-3.4215436706119817,0.0,0.0,0.0,0.0,0.0,0.0,-2.155179041229971,-1.8057776807189896,-2.4504533702174314,-1.8057776796087666,0.0,0.0,0.0,0.0,0.0,0.0,-1.3987438522988782,-2.3439541512182416,-1.3987438531870566,-3.979091311556715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.311866868082404,0.0,0.0,30.056514904508447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.253463960354225,0.0,34.027313392748226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.28104578667512,32.04110442123209,0.0,0.0,0.0,-37.34891287532349,0.0,0.0,0.0,0.0,0.0,-18.217964748323823,0.0,0.0,0.0,0.0,0.0,-17.370084028023314,0.0,0.0,0.0,0.0,-9.173426090747228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.625741536730011,0.0,-3.4765735992259295
0.5050505050505051,-6.395901538613913,-1.7889616095168037,-4.787580698550897,-1.7889616108490713,0.0,0.0,0.0,0.0,0.0,0.0,-1.5843925753600274,-3.5387480663562343,-1.5843925771363843,-3.5778612506032204,0.0,0.0,0.0,0.0,0.0,0.0,-2.368141799991008,-1.7889616102939598,-2.7370246514779595,-1.7889616102939598,0.0,0.0,0.0,0.0,0.0,0.0,-1.5843925753600274,-2.393790349053404,-1.5843925762482058,-4.722819264779687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.562136041327847,0.0,0.0,29.359125907291173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.50996270157225,0.0,33.33303941666088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.53433325220334,31.345224513756875,0.0,0.0,0.0,-40.7730462281819,0.0,0.0,0.0,0.0,0.0,-17.465526599202974,0.0,0.0,0.0,0.0,0.0,-18.083817654002132,0.0,0.0,0.0,0.0,-8.371586329047886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.995279411890152,0.0,-4.106705524087317
0.6060606060606061,-6.115531216099868,-1.7636290927658393,-4.781080999771703,-1.7636290916556163,0.0,0.0,0.0,0.0,0.0,0.0,-1.6941639215950488,-3.872461002085714,-1.694163919818692,-3.6404154861724436,0.0,0.0,0.0,0.0,0.0,0.0,-2.499749976903054,-1.7636290924327724,-2.854299832377727,-1.7636290924327724,0.0,0.0,0.0,0.0,0.0,0.0,-1.6941639215950488,-2.390540499774829,-1.6941639215950488,-5.12233629379466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.99730986882787,0.0,0.0,28.858187948621605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.95929960156485,0.0,32.839182993349425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.97694799114592,30.84800701191881,0.0,0.0,0.0,-42.48727053379753,0.0,0.0,0.0,0.0,0.0,-16.924743222901384,0.0,0.0,0.0,0.0,0.0,-18.05742373139907,0.0,0.0,0.0,0.0,-7.69807883571616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.224192958091066,0.0,-4.076785140583183
0.7070707070707071,-5.891783282141461,-1.7460813503955563,-4.7391789870232515,-1.7460813503955563,0.0,0.0,0.0,0.0,0.0,0.0,-1.759180984328701,-4.054397931940734,-1.759180984328701,-3.6658786256582587,0.0,0.0,0.0,0.0,0.0,0.0,-2.5925782640712214,-1.7460813507286232,-2.9204343383604225,-1.7460813507286232,0.0,0.0,0.0,0.0,0.0,0.0,-1.7591809824413218,-2.3695894934006034,-1.759180984328701,-5.3506873732844795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.620561893788476,0.0,0.0,28.531025038969204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.59526789500811,0.0,32.51837798412538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.60696913470551,30.524228660233632,0.0,0.0,0.0,-43.38534295733609,0.0,0.0,0.0,0.0,0.0,-16.572209798226822,0.0,0.0,0.0,0.0,0.0,-17.80489859104506,0.0,0.0,0.0,0.0,-7.184067614574019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5319320459414882,0.0,-3.78023773306424
0.8080808080808081,-5.721028713434606,-1.7377237839788506,-4.687737692021798,-1.73772378153636,0.0,0.0,0.0,0.0,0.0,0.0,-1.7981648465226208,-4.15796824648762,-1.7981648446352416,-3.6770124746121624,0.0,0.0,0.0,0.0,0.0,0.0,-2.6662872578686603,-1.7377237825355607,-2.9754440945550797,-1.7377237838678283,0.0,0.0,0.0,0.0,0.0,0.0,-1.7981648465226208,-2.343868845622321,-1.7981648455789312,-5.491112188948932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.381440708935557,0.0,0.0,28.325267684925493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.36528714145592,0.0,32.317191075659224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.372744098894344,30.320919381043865,0.0,0.0,0.0,-43.881784095090026,0.0,0.0,0.0,0.0,0.0,-16.35073096339923,0.0,0.0,0.0,0.0,0.0,-17.52935393106725,0.0,0.0,0.0,0.0,-6.810495043030329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.968089535038132,0.0,-3.4145728307066747
0.9090909090909091,-5.589915166526183,-1.7363507779366572,-4.635382366169338,-1.7363507768264341,0.0,0.0,0.0,0.0,0.0,0.0,-1.821736571316901,-4.2188485628591454,-1.821736571316901,-3.6824863409723463,0.0,0.0,0.0,0.0,0.0,0.0,-2.7295903214374917,-1.7363507754941665,-3.0305914676675982,-1.7363507754941665,0.0,0.0,0.0,0.0,0.0,0.0,-1.821736571316901,-2.3176911814193346,-1.8217365722605905,-5.583644044043767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.232521834259394,0.0,0.0,28.197660750461928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.222398218539894,0.0,32.192598887426094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.227065548782406,30.19493260869588,0.0,0.0,0.0,-44.16655789063473,0.0,0.0,0.0,0.0,0.0,-16.21335264712087,0.0,0.0,0.0,0.0,0.0,-17.29548430051686,0.0,0.0,0.0,0.0,-6.546354518022213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.522187776410334,0.0,-3.059173313335606
