time,x1,x2,x3,x4,x5
3.819095477386934778e+00,1.494866726631829623e+00,9.290514590053194910e-01,4.430178721923412333e-01,2.215101473634970841e-01,3.330392853721576563e-01
3.919597989949748840e+00,1.571813706462178883e+00,9.429904948516429908e-01,4.478927020159720884e-01,2.241621644530320812e-01,3.257445339791117389e-01
4.020100502512563345e+00,1.649515366947486905e+00,9.649303567406180004e-01,4.523539096714562779e-01,2.271128193503688941e-01,3.185426676546013747e-01
4.120603015075377407e+00,1.725515275501847023e+00,9.954655366092468594e-01,4.563802289955762870e-01,2.303612584262083041e-01,3.114579023698543225e-01
4.221105527638191468e+00,1.796841972908088225e+00,1.035142467259307919e+00,4.599523889868742943e-01,2.339060762529040216e-01,3.045128133712236007e-01
4.321608040201005529e+00,1.860069945943558567e+00,1.084371588378726159e+00,4.630532490649028055e-01,2.377452348426894457e-01,2.977282989876843255e-01
4.422110552763819591e+00,1.911478895454832072e+00,1.143298723751468682e+00,4.656679168798490975e-01,2.418759768504303020e-01,2.911235662928894352e-01
4.522613065326633652e+00,1.947331418151977633e+00,1.211638141690619230e+00,4.677838488109982151e-01,2.462947339325534390e-01,2.847161373988045252e-01
4.623115577889447714e+00,1.964271803232027658e+00,1.288482526977867249e+00,4.693909332008392998e-01,2.509970318140905543e-01,2.785218749286780815e-01
4.723618090452261775e+00,1.959810745608863813e+00,1.372125577604508928e+00,4.704815565901812602e-01,2.559773936759070501e-01,2.725550249047785645e-01
4.824120603015075837e+00,1.932810917119031524e+00,1.459956051430229662e+00,4.710506532438685778e-01,2.612292437099332787e-01,2.668282750285989602e-01
4.924623115577889898e+00,1.883850348830794719e+00,1.548489655400551390e+00,4.710957382366412483e-01,2.667448127398457935e-01,2.613528262841470218e-01
5.025125628140703959e+00,1.815332176303230849e+00,1.633591862170512110e+00,4.706169243354498266e-01,2.725150480369828432e-01,2.561384755955856685e-01
5.125628140703518021e+00,1.731262906287818648e+00,1.710892765084550016e+00,4.696169228078415636e-01,2.785295294840728353e-01,2.511937073405162701e-01
5.226130653266332082e+00,1.636722927397843197e+00,1.776324132907370235e+00,4.681010281928166816e-01,2.847763943532521380e-01,2.465257914959054775e-01
5.326633165829146144e+00,1.537160409011846030e+00,1.826651516183012580e+00,4.660770869621740364e-01,2.912422729541401800e-01,2.421408863041253634e-01
5.427135678391960205e+00,1.437697481176096082e+00,1.859863500319673291e+00,4.635554499121951610e-01,2.979122374062493916e-01,2.380441434312102755e-01
5.527638190954774267e+00,1.342611954764957316e+00,1.875330059652470460e+00,4.605489080698078053e-01,3.047697656735972593e-01,2.342398137549292214e-01
5.628140703517588328e+00,1.255075625792414939e+00,1.873720444269114216e+00,4.570726118846267227e-01,3.117967228666052582e-01,2.307313520611340429e-01
5.728643216080402389e+00,1.177135093927004217e+00,1.856742505068147864e+00,4.531439735229403354e-01,3.189733615862629379e-01,2.275215191071396637e-01
5.829145728643216451e+00,1.109861672635541030e+00,1.826796626027707315e+00,4.487825521865696499e-01,3.262783427958786397e-01,2.246124796891286191e-01
5.929648241206030512e+00,1.053580965437931116e+00,1.786631446760781561e+00,4.440099225511431325e-01,3.336887783667963348e-01,2.220058955141787915e-01
6.030150753768844574e+00,1.008111078011310280e+00,1.739057719334534236e+00,4.388495266539720885e-01,3.411802960222022341e-01,2.197030118598957693e-01
6.130653266331658635e+00,9.729665360330427282e-01,1.686744491769159637e+00,4.333265098553334416e-01,3.487271269619424130e-01,2.177047371492502326e-01
6.231155778894472697e+00,9.475115751703077072e-01,1.632096402087030995e+00,4.274675418300116214e-01,3.563022159567659775e-01,2.160117147261039483e-01
6.331658291457286758e+00,9.310626956544053590e-01,1.577197688496660311e+00,4.213006239308680345e-01,3.638773531958612306e-01,2.146243862342710751e-01
6.432160804020100819e+00,9.229487482777668506e-01,1.523804327092133093e+00,4.148548846286446157e-01,3.714233266726960636e-01,2.135430461360286747e-01
6.532663316582914881e+00,9.225386411583790247e-01,1.473366879289784714e+00,4.081603651427607171e-01,3.789100933946328853e-01,2.127678869933956052e-01
6.633165829145728942e+00,9.292457049363975763e-01,1.427070482293122389e+00,4.012477976866247742e-01,3.863069672886024208e-01,2.122990352370297540e-01
6.733668341708543004e+00,9.425158088620224639e-01,1.385882005324241550e+00,3.941483791010680360e-01,3.935828212557854755e-01,2.121365772154846785e-01
6.834170854271357065e+00,9.618041185867645115e-01,1.350597849963185659e+00,3.868935429181583618e-01,4.007063004869057532e-01,2.122805753884251800e-01
6.934673366834171127e+00,9.865434858920473227e-01,1.321888583217437851e+00,3.795147329142119497e-01,4.076460440640141125e-01,2.127310745940295955e-01
7.035175879396985188e+00,1.016106819316921372e+00,1.300337399024204643e+00,3.720431814964861306e-01,4.143709115416643329e-01,2.134880983681883004e-01
7.135678391959799249e+00,1.049765247423948944e+00,1.286470517878351982e+00,3.645096961005508396e-01,4.208502113085086926e-01,2.145516353499485329e-01
7.236180904522613311e+00,1.086644233238746926e+00,1.280777476549130878e+00,3.569444566882088443e-01,4.270539275565234938e-01,2.159216158677889907e-01
7.336683417085427372e+00,1.125680953344000201e+00,1.283718699785895145e+00,3.493768272236779104e-01,4.329529428400809565e-01,2.175978788573475486e-01
7.437185929648241434e+00,1.165587978461546603e+00,1.295716906035107252e+00,3.418351837102844293e-01,4.385192534360776162e-01,2.195801293267493348e-01
7.537688442211055495e+00,1.204830896545837415e+00,1.317127859279307645e+00,3.343467609528814055e-01,4.437261750484525202e-01,2.218678866695279472e-01
7.638190954773869557e+00,1.241629952690775029e+00,1.348185664357036462e+00,3.269375198214414802e-01,4.485485367127459155e-01,2.244604242019805074e-01
7.738693467336683618e+00,1.273998117388117857e+00,1.388918468846503718e+00,3.196320362683366945e-01,4.529628611687388506e-01,2.273567004114043222e-01
7.839195979899497679e+00,1.299828001966774282e+00,1.439033918966452497e+00,3.124534128757051055e-01,4.569475303343384365e-01,2.305552825121028604e-01
7.939698492462311741e+00,1.317036215399633114e+00,1.497780825112905445e+00,3.054232131941527761e-01,4.604829348978419779e-01,2.340542630365708698e-01
8.040201005025126690e+00,1.323763854339260471e+00,1.563805249826044186e+00,2.985614186533889214e-01,4.635516073833206852e-01,2.378511703317744141e-01
8.140703517587940752e+00,1.318614922953520008e+00,1.635034312249672661e+00,2.918864073602936982e-01,4.661383383503110989e-01,2.419428739885860213e-01
8.241206030150754813e+00,1.300894143155063576e+00,1.708633419185057623e+00,2.854149537095027611e-01,4.682302756176000003e-01,2.463254863938210137e-01
