time,->1,2->1,"2,3->1","2,5->1",->2,1->2,"1,4->2","1,5->2",->3,3->3,4->3,->4,4->4,5->4,->5,3->5,5->5
0.0,2.0,-0.49999999999999994,-0.19999999999999998,-0.7999999999999999,-1.5,0.29999999999999993,0.5999999999999999,0.3999999999999999,1.0,-0.2,-0.6,1.0,-0.3,-0.8,1.0,-0.4,-0.4
0.10050251256281408,2.0,-0.4917387177932391,-0.20071138004920575,-0.8021114766740979,-1.5,0.3155713524348439,0.6244351628841961,0.42895985601440445,1.0,-0.20408336051911075,-0.5936234307071235,1.0,-0.29681171535356177,-0.8155870665154344,1.0,-0.4081667210382215,-0.4077935332577172
0.20100502512562815,2.0,-0.48704386343289746,-0.20290578400183673,-0.8086438771729796,-1.5,0.3319754078915609,0.6491474778625387,0.4593184534950668,1.0,-0.20830339856010946,-0.5866224989243011,1.0,-0.29331124946215054,-0.8301550824121928,1.0,-0.4166067971202189,-0.4150775412060964
0.30150753768844224,2.0,-0.4859057308863665,-0.2066793324021079,-0.8198773283338473,-1.5,0.3489192153890158,0.6735284083010147,0.49061463286244716,1.0,-0.21267431032876802,-0.5790982943287488,1.0,-0.2895491471643744,-0.8436588377320282,1.0,-0.42534862065753604,-0.4218294188660141
0.4020100502512563,2.0,-0.48831544879995614,-0.21213283960199777,-0.8360526282252468,-1.5,0.3660308625325067,0.6968605690300708,0.5222393731072617,1.0,-0.21720881463336658,-0.5711490262394336,1.0,-0.2855745131197168,-0.8560579337392058,1.0,-0.43441762926673316,-0.4280289668696029
0.5025125628140704,2.0,-0.494249210082436,-0.219365668127838,-0.8573414545290566,-1.5,0.3828552696318377,0.7183246961982066,0.5534281206126882,1.0,-0.2219180766027425,-0.5628691204033555,1.0,-0.28143456020167773,-0.8673169699007313,1.0,-0.443836153205485,-0.43365848495036563
0.6030150753768845,2.0,-0.5036458596227135,-0.2284654898378228,-0.8838035091491998,-1.5,0.3988580359442664,0.7370212192987583,0.5832671990393722,1.0,-0.2268116430153608,-0.5543485297122692,1.0,-0.2771742648561346,-0.8774057130254843,1.0,-0.4536232860307216,-0.43870285651274216
0.7035175879396985,2.0,-0.5163773226482918,-0.23949310112057876,-0.9153296548818352,-1.5,0.413440586551164,0.7520101183825174,0.6107201278404686,1.0,-0.23189738454461445,-0.5456722026172833,1.0,-0.27283610130864167,-0.8862992377235672,1.0,-0.4637947690892289,-0.4431496188617836
0.8040201005025126,2.0,-0.5322131812116137,-0.252462182167954,-0.95157378671456,-1.5,0.4259697512043216,0.76237185610118,0.634679334473597,1.0,-0.2371814444666792,-0.5369197136269183,1.0,-0.26845985681345913,-0.8939780339038654,1.0,-0.4743628889333584,-0.4469890169519327
0.9045226130653267,2.0,-0.5507827031889844,-0.26731488490112504,-0.9918804257420354,-1.5,0.43582355872806106,0.7672892199371316,0.654046284915246,1.0,-0.24266819142412688,-0.5281650369083607,1.0,-0.26408251845418035,-0.9004280817091144,1.0,-0.48533638284825376,-0.4502140408545572
1.0050251256281408,2.0,-0.5715409747388756,-0.283896033131276,-1.0352217604154283,-1.5,0.44245108687717954,0.7661430539030363,0.6678363309296992,1.0,-0.2483601751046649,-0.5194764415500537,1.0,-0.25973822077502684,-0.9056408955529376,1.0,-0.4967203502093298,-0.4528204477764688
1.105527638190955,2.0,-0.5937485727252388,-0.3019307497628485,-1.0801634785875438,-1.5,0.44544057084685607,0.7586097871108752,0.6752979552460837,1.0,-0.25425808467801486,-0.5109164971223654,1.0,-0.2554582485611827,-0.9096135369468894,1.0,-0.5085161693560297,-0.4548067684734447
1.206030150753769,2.0,-0.6164759311433758,-0.3210122223343495,-1.124881902397496,-1.5,0.4445843649123377,0.7447413048197005,0.6760265363634854,1.0,-0.26036071005965244,-0.5025421698983142,1.0,-0.2512710849491571,-0.9123485975447423,1.0,-0.5207214201193049,-0.45617429877237115
1.306532663316583,2.0,-0.6386417640651845,-0.3406066930139904,-1.1672508570631874,-1.5,0.43992620247239705,0.7250057054196758,0.6700473120901402,1.0,-0.266664906821867,-0.4944049943002651,1.0,-0.24720249715013254,-0.9138541532526906,1.0,-0.533329813643734,-0.4569270766263453
1.407035175879397,2.0,-0.6590884096910724,-0.36008051690363396,-1.2050030218462129,-1.5,0.43177690958059384,0.7002720623036737,0.6578435623579769,1.0,-0.2731655659613334,-0.4865513046891848,1.0,-0.2432756523445924,-0.9141436900787113,1.0,-0.5463311319226668,-0.45707184503935566
