time,R_spec_pc
1.407035175879397038e+01,1.904696482611606401e-01
1.417085427135678444e+01,1.841616774891898789e-01
1.427135678391959850e+01,1.775911317338660922e-01
1.437185929648241256e+01,1.709423441694408186e-01
1.447236180904522662e+01,1.643652631600254210e-01
1.457286432160804068e+01,1.579811133637135101e-01
1.467336683417085474e+01,1.519120062983073671e-01
1.477386934673366881e+01,1.462245907882850360e-01
1.487437185929648287e+01,1.410088663226712336e-01
1.497487437185929693e+01,1.363457467818371682e-01
1.507537688442211099e+01,1.322505455690386744e-01
1.517587939698492505e+01,1.288111379090564890e-01
1.527638190954773911e+01,1.261144336233078200e-01
1.537688442211055317e+01,1.241969853788686406e-01
1.547738693467336724e+01,1.231311823251487192e-01
1.557788944723618130e+01,1.230126409621579708e-01
1.567839195979899536e+01,1.239613259074466289e-01
1.577889447236180942e+01,1.260599430688519318e-01
1.587939698492462348e+01,1.294385299840601911e-01
1.597989949748743754e+01,1.341263709420777439e-01
1.608040201005025338e+01,1.402035613963790728e-01
1.618090452261306567e+01,1.476149291968698041e-01
1.628140703517588150e+01,1.442290558563724401e-01
1.638190954773869379e+01,1.392107134337830232e-01
1.648241206030150963e+01,1.353754159273588276e-01
1.658291457286432191e+01,1.326257080725464776e-01
1.668341708542713775e+01,1.309532682028373418e-01
1.678391959798995003e+01,1.301995438092336810e-01
1.688442211055276587e+01,1.303233175128572230e-01
1.698492462311557816e+01,1.312061683354937558e-01
1.708542713567839400e+01,1.327652866626536365e-01
1.718592964824120628e+01,1.349230024017992746e-01
1.728643216080402212e+01,1.375875756911338899e-01
1.738693467336683440e+01,1.406846539974426213e-01
1.748743718592965024e+01,1.441379432147211204e-01
1.758793969849246253e+01,1.478511703554998280e-01
1.768844221105527836e+01,1.517469948503519239e-01
1.778894472361809065e+01,1.557032490074795050e-01
1.788944723618090649e+01,1.596107522001317114e-01
1.798994974874371877e+01,1.633217675205841379e-01
1.809045226130653461e+01,1.666829591144586842e-01
1.819095477386934689e+01,1.695266572834067675e-01
1.829145728643216273e+01,1.716766367191400744e-01
1.839195979899497502e+01,1.729637454455852930e-01
1.849246231155779085e+01,1.732578998367479417e-01
1.859296482412060314e+01,1.724563465674898155e-01
1.869346733668341898e+01,1.705177318234988304e-01
1.879396984924623126e+01,1.674798706088807543e-01
1.889447236180904710e+01,1.634678569427570061e-01
1.899497487437185939e+01,1.586189327196733112e-01
1.909547738693467522e+01,1.532033252585730532e-01
1.919597989949748751e+01,1.474817419077597280e-01
1.929648241206030335e+01,1.416980607006934900e-01
1.939698492462311563e+01,1.361634984642107749e-01
1.949748743718593147e+01,1.310359206462090587e-01
1.959798994974874375e+01,1.265166310699401553e-01
1.969849246231155959e+01,1.227271050448799639e-01
1.979899497487437188e+01,1.197098916680770786e-01
1.989949748743718771e+01,1.175134053746859503e-01
2.000000000000000000e+01,1.161849017968279718e-01
