time,R_energy_pc
1.045226130653266416e+01,-2.125601814093220465e+00
1.055276381909547823e+01,-2.356554976125251777e+00
1.065326633165829229e+01,-2.663994413669522832e+00
1.075376884422110635e+01,-3.067231020883979919e+00
1.085427135678392041e+01,-3.580201674657101485e+00
1.095477386934673447e+01,-4.204771587700479429e+00
1.105527638190954853e+01,-4.926088770102433401e+00
1.115577889447236259e+01,-5.711539732545785952e+00
1.125628140703517666e+01,-6.514310059370400197e+00
1.135678391959799072e+01,-7.281611759636905212e+00
1.145728643216080478e+01,-7.965832963886231077e+00
1.155778894472361884e+01,-8.533549599328157598e+00
1.165829145728643290e+01,-8.969616960261532768e+00
1.175879396984924696e+01,-9.276898302642765159e+00
1.185929648241206102e+01,-9.470945630804486370e+00
1.195979899497487509e+01,-9.573169611941334978e+00
1.206030150753768915e+01,-9.605180761751908491e+00
1.216080402010050321e+01,-9.585520761093340170e+00
1.226130653266331727e+01,-9.527913366286590247e+00
1.236180904522613133e+01,-9.442688742228583010e+00
1.246231155778894539e+01,-9.340236856965587364e+00
1.256281407035175945e+01,-9.231241667962878594e+00
1.266331658291457352e+01,-9.125686640947499484e+00
1.276381909547738758e+01,-9.031587284028349316e+00
1.286432160804020164e+01,-8.953996794602815612e+00
1.296482412060301570e+01,-8.894848565146197927e+00
1.306532663316582976e+01,-8.853354847285539009e+00
1.316582914572864382e+01,-8.827295375376731812e+00
1.326633165829145788e+01,-8.814880951410735577e+00
1.336683417085427195e+01,-8.815630066577572421e+00
1.346733668341708601e+01,-8.830524398030409117e+00
1.356783919597990007e+01,-8.862229255505223335e+00
1.366834170854271413e+01,-8.914732162644311231e+00
1.376884422110552819e+01,-8.993023678490871475e+00
1.386934673366834225e+01,-9.102857294364456564e+00
1.396984924623115631e+01,-9.249807887782692362e+00
1.407035175879397038e+01,-9.437784431522233675e+00
1.417085427135678444e+01,-9.667204313773122948e+00
1.427135678391959850e+01,-9.933237091636664573e+00
1.437185929648241256e+01,-1.022470505348482739e+01
1.447236180904522662e+01,-1.052437721831251771e+01
1.457286432160804068e+01,-1.081082079851119637e+01
1.467336683417085474e+01,-1.106263280884667211e+01
1.477386934673366881e+01,-1.126317197013411686e+01
1.487437185929648287e+01,-1.140409662012998915e+01
1.497487437185929693e+01,-1.148725608794432951e+01
1.507537688442211099e+01,-1.151863895245268665e+01
1.517587939698492505e+01,-1.141648179982954936e+01
1.527638190954773911e+01,-1.128319614786095926e+01
1.537688442211055317e+01,-1.110888182013228409e+01
1.547738693467336724e+01,-1.087775462344961319e+01
1.557788944723618130e+01,-1.057027771238586134e+01
1.567839195979899536e+01,-1.016704110517140514e+01
1.577889447236180942e+01,-9.654070451398281349e+00
1.587939698492462348e+01,-9.029500538354904293e+00
1.597989949748743754e+01,-8.308183355952950322e+00
1.608040201005025338e+01,-7.522647637526225672e+00
1.618090452261306567e+01,-6.718846035000104244e+00
1.628140703517588150e+01,-5.947861802024151601e+00
1.638190954773869379e+01,-5.255425574257263754e+00
1.648241206030150963e+01,-4.672991869880702254e+00
1.658291457286432191e+01,-4.213686598899388791e+00
1.668341708542713775e+01,-3.872784954760071674e+00
1.678391959798995003e+01,-3.632850663362444443e+00
1.688442211055276587e+01,-3.470166535371967509e+00
1.698492462311557816e+01,-3.360747324149950810e+00
1.708542713567839400e+01,-3.284790909756387212e+00
1.718592964824120628e+01,-3.229577387637169839e+00
1.728643216080402212e+01,-3.188351653309860811e+00
1.738693467336683440e+01,-3.156713671322806558e+00
1.748743718592965024e+01,-3.131577826872725900e+00
1.758793969849246253e+01,-3.110848650926716363e+00
1.768844221105527836e+01,-3.093123953329898423e+00
1.778894472361809065e+01,-3.077459525005059593e+00
1.788944723618090649e+01,-3.063185945544700584e+00
1.798994974874371877e+01,-3.049770608401721983e+00
1.809045226130653461e+01,-3.036435840629503335e+00
1.819095477386934689e+01,-3.021314136833940456e+00
1.829145728643216273e+01,-3.001433290294630130e+00
1.839195979899497502e+01,-2.973232132434810993e+00
1.849246231155779085e+01,-2.932440546254117653e+00
1.859296482412060314e+01,-2.873993154459460353e+00
1.869346733668341898e+01,-2.792066526504833224e+00
1.879396984924623126e+01,-2.680264368667283126e+00
1.889447236180904710e+01,-2.532484142031160790e+00
1.899497487437185939e+01,-2.344172210609607898e+00
1.909547738693467522e+01,-2.113938210953155039e+00
1.919597989949748751e+01,-1.845518760509970546e+00
1.929648241206030335e+01,-1.548962104243007287e+00
1.939698492462311563e+01,-1.240194760774367744e+00
1.949748743718593147e+01,-9.391605289201278017e-01
1.959798994974874375e+01,-6.655446855096597281e-01
1.969849246231155959e+01,-4.339220067169490824e-01
1.979899497487437188e+01,-2.500535139929184192e-01
1.989949748743718771e+01,-1.088217578277127645e-01
2.000000000000000000e+01,-0.000000000000000000e+00
