time,R_norm
1.889447236180904710e+01,-4.621194536499040884e-01
1.899497487437185939e+01,-5.448120393010797979e-01
1.909547738693467522e+01,-6.417612541180199859e-01
1.919597989949748751e+01,-7.422173702983042576e-01
1.929648241206030335e+01,-8.270338953592586417e-01
1.939698492462311563e+01,-8.746581564184106039e-01
1.949748743718593147e+01,-8.641082733264764393e-01
1.959798994974874375e+01,-7.974438882274003104e-01
1.969849246231155959e+01,-6.906769409253404879e-01
1.979899497487437188e+01,-5.789888747840105099e-01
1.989949748743718771e+01,-4.973176001792387058e-01
2.000000000000000000e+01,-4.650266765388516021e-01
