time,1->1,2->1,3->1,4->1,5->1,6->1,7->1,8->1,9->1,1->2,2->2,3->2,4->2,5->2,6->2,7->2,8->2,9->2,1->3,2->3,3->3,4->3,5->3,6->3,7->3,8->3,9->3,1->4,2->4,3->4,4->4,5->4,6->4,7->4,8->4,9->4,1->5,2->5,3->5,4->5,5->5,6->5,7->5,8->5,9->5,1->6,2->6,3->6,4->6,5->6,6->6,7->6,8->6,9->6,1->7,2->7,3->7,4->7,5->7,6->7,7->7,8->7,9->7,1->8,2->8,3->8,4->8,5->8,6->8,7->8,8->8,9->8,1->9,2->9,3->9,4->9,5->9,6->9,7->9,8->9,9->9
0.0,1.4999999997655777,-0.500000000069889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29999999995311555,-1.1999999998124622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5999999996019199,-1.5999999996019199,0.7999996003427157,-0.40000000023354687,0.0,0.0,0.0,0.0,0.0,-3.5999999994373866,-3.5999999994373866,0.0,0.7999995998986265,-0.5999999999062311,0.0,0.0,0.0,0.0,-6.399999998407679,-6.399999998407679,-0.7999999986907369,0.0,0.8999996019554146,0.0,0.0,0.0,0.0,0.0,0.0,4.799999999249849,6.400000017947605,2.3999999996249244,6.39999900897692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.999999979801942,-1.0018652574217413e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.999999983913767,0.0,-4.000000984660801,0.0,0.0,0.0,0.0,0.0,0.0,9.999999974752427,0.0,0.0,-2.00000100392117
0.10101010101010101,1.5559907189377498,-0.5834898617607109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26640556871626586,-1.1499060830200136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9088336853378962,-2.508472572326781,0.36165457784065325,-0.4636315944495095,0.0,0.0,0.0,0.0,0.0,-4.558840379864648,-5.990949416556646,0.0,0.027566438021153772,-0.7164999615838497,0.0,0.0,0.0,0.0,-8.922834870972451,-11.72584427600043,-1.0023984948759335,0.0,-0.11877287242612056,0.0,0.0,0.0,0.0,0.0,0.0,13.953720014114879,18.789923544204612,6.976860078111713,-15.493168888269793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.875673388014548,-12.276510631181736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.93381231008607,0.0,-20.392788457002098,0.0,0.0,0.0,0.0,0.0,0.0,23.04110051909447,0.0,0.0,-16.607364955234516
0.20202020202020202,1.6035075320885994,-0.6844835112040926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23789548064812038,-1.0893098933983936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1658078912523138,-3.738935565600343,-0.08425641384590676,-0.5226097377075689,0.0,0.0,0.0,0.0,0.0,-5.2663989125179,-9.091631016922008,0.0,-0.7262947496755601,-0.8149376951038789,0.0,0.0,0.0,0.0,-11.184321456525481,-19.308017787267318,-1.1876059158311136,0.0,-1.1795286596338883,0.0,0.0,0.0,0.0,0.0,0.0,19.314286507920997,26.45934126022098,9.657143252184142,-22.851612595076176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1131399140786,-28.525958043701394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.60330378857179,0.0,-33.50628541909373,0.0,0.0,0.0,0.0,0.0,0.0,32.407566436631896,0.0,0.0,-31.11481073858613
0.30303030303030304,1.6435452558916097,-0.8065100578491524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21387284632190529,-1.0160939650782908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.345226172817405,-5.306279488692667,-0.5245002938636389,-0.5735551296126573,0.0,0.0,0.0,0.0,0.0,-5.5999747869961425,-12.670433109818191,0.0,-1.4076820975539306,-0.8862899805173186,0.0,0.0,0.0,0.0,-12.62905444043838,-28.574341070175535,-1.3309698587704588,0.0,-2.1956833720082614,0.0,0.0,0.0,0.0,0.0,0.0,22.237605216801626,31.088339454754532,11.118802653697912,-24.690587720144208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.676131498377,-32.26159829949893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.75168441574783,0.0,-36.412704087496195,0.0,0.0,0.0,0.0,0.0,0.0,34.71951271549756,0.0,0.0,-34.3483607121442
0.40404040404040403,1.6769213968537144,-0.9538150598231709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1938471618778692,-0.9277109641603332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.436120347004689,-7.192083447460362,-0.9555008861905634,-0.6140168278268021,0.0,0.0,0.0,0.0,0.0,-5.565570647236839,-16.43106366588931,0.0,-1.9932922710186318,-0.9280807249378853,0.0,0.0,0.0,0.0,-12.980989219091299,-38.323376676085985,-1.4173750990664757,0.0,-3.1024076312391458,0.0,0.0,0.0,0.0,0.0,0.0,24.037954583278065,34.25898937869931,12.01897733782431,-25.663549214627324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.68115438107111,-33.46159465689169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.70964907001684,0.0,-37.51858404310582,0.0,0.0,0.0,0.0,0.0,0.0,35.696547898034225,0.0,0.0,-35.49238169409108
0.5050505050505051,1.7042827678004357,-1.1314848138432865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17743033942085873,-0.8211091119258995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.440452548047034,-9.337754764748851,-1.3819432340689275,-0.642364998304501,0.0,0.0,0.0,0.0,0.0,-5.259124118722758,-20.122665914196205,0.0,-2.492543915849632,-0.942981987633873,0.0,0.0,0.0,0.0,-12.335658374995617,-47.19917740563656,-1.44420169920223,0.0,-3.874033539859323,0.0,0.0,0.0,0.0,0.0,0.0,24.835684703017336,35.93646991006949,12.417842351730712,-26.241448351171925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2325360440654,-34.12768223665097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.246657523277605,0.0,-38.15592514877508,0.0,0.0,0.0,0.0,0.0,0.0,36.240096903839,0.0,0.0,-36.142803932381895
0.6060606060606061,1.726103525889755,-1.3455834650955012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1643378842453025,-0.6926499213077975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3684297663639775,-11.63549091071081,-1.8131267662258033,-0.6575397879515776,0.0,0.0,0.0,0.0,0.0,-4.796522176553353,-23.56408916648345,0.0,-2.9362087602402553,-0.935739602914154,0.0,0.0,0.0,0.0,-11.01973794170874,-54.137159780420774,-1.418330412672475,0.0,-4.521163995629962,0.0,0.0,0.0,0.0,0.0,0.0,24.72483429483141,36.11213461796048,12.362417147415705,-26.451145526795727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.418062334728994,-34.41335353868147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.42115129182311,0.0,-38.419531462920155,0.0,0.0,0.0,0.0,0.0,0.0,36.41977184562495,0.0,0.0,-36.416772565509014
0.7070707070707071,1.7426711913515192,-1.6032966545509453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154397285401231,-0.5380220075013042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2343109858935506,-13.92095716679087,-2.260164603862247,-0.6588895321013588,0.0,0.0,0.0,0.0,0.0,-4.268518633443463,-26.595163076237327,0.0,-3.362676808782439,-0.9107084959492084,0.0,0.0,0.0,0.0,-9.392363738314202,-58.5194693458746,-1.3509157001934113,0.0,-5.076542337612011,0.0,0.0,0.0,0.0,0.0,0.0,23.86655117669889,34.96867575547569,11.933275541942123,-26.33714496402817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.284983847943096,-34.36339307372194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.27892945240663,0.0,-38.35128429363621,0.0,0.0,0.0,0.0,0.0,0.0,36.28185554749308,0.0,0.0,-36.35713647831551
0.8080808080808081,1.7540545762528836,-1.9130680541934453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14756725494335932,-0.3521591667443591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0536686308192387,-15.974307537858223,-2.7351104474604426,-0.6461462276341479,0.0,0.0,0.0,0.0,0.0,-3.7300924189409557,-29.01424434575972,0.0,-3.808933268789616,-0.8708140422086785,0.0,0.0,0.0,0.0,-7.726433885579809,-60.09948699325918,-1.2533003905801365,0.0,-5.581199564730355,0.0,0.0,0.0,0.0,0.0,0.0,22.426392233043657,32.77879145091589,11.213196208004206,-25.964886902762885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.89732014813518,-34.04127546513536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.88389047976182,0.0,-38.01441608164424,0.0,0.0,0.0,0.0,0.0,0.0,35.890287593431935,0.0,0.0,-36.027210331468495
0.9090909090909091,1.7600428314779037,-2.284701157151403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14397430164042602,-0.1291793051208523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.841691650072974,-17.535275394608973,-3.2514964161123316,-0.6194790107549863,0.0,0.0,0.0,0.0,0.0,-3.2082367900088116,-30.546544312226587,0.0,-4.306982504420631,-0.8176196937270674,0.0,0.0,0.0,0.0,-6.183223762334933,-58.87225012379815,-1.1350777713303728,0.0,-6.076026548562652,0.0,0.0,0.0,0.0,0.0,0.0,20.54370490789381,29.825291077756333,10.271852453946906,-25.399825863914316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.31995035882329,-33.51366588066895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.30065386786663,0.0,-37.47507285112306,0.0,0.0,0.0,0.0,0.0,0.0,35.309806223793316,0.0,0.0,-35.493377589013164
