time,x1,x2,x3,x4,x5,x6,x7,x8,x9
1.414141414141414144e+00,1.097040506713785035e+01,6.839652178388391235e-01,1.617012593861091085e+00,1.981202767843098567e+00,2.287452058941022326e+00,2.136734698520120546e+01,2.957729677365691856e+01,3.355144173014777920e+01,3.156353974321099187e+01
1.515151515151515138e+00,1.292253940625579389e+01,8.437375567719853642e-01,1.255213580741392443e+00,1.513348662490328955e+00,1.702062949003251280e+00,2.084876737193010143e+01,2.901637599949788893e+01,3.299469822654258877e+01,3.100480508524915990e+01
1.616161616161616132e+00,1.506360483572809805e+01,1.107653286806674409e+00,9.208351081174284136e-01,1.091894744261814099e+00,1.202550301702268509e+00,2.047740423485483419e+01,2.859754672989808810e+01,3.258117450084591837e+01,3.058877643934921409e+01
1.717171717171717127e+00,1.725496131809174827e+01,1.553587885969400784e+00,6.357976341293881672e-01,7.419370933709099614e-01,8.042097757849909767e-01,2.024108412862617712e+01,2.831722269013773641e+01,3.230625668083256130e+01,3.031132493686635954e+01
1.818181818181818121e+00,1.918287812829924022e+01,2.321942446197887921e+00,4.144490581217595837e-01,4.769793205981749384e-01,5.112029949426685205e-01,2.010922464497747342e+01,2.815138312043693247e+01,3.214495176939124832e+01,3.014790891852101140e+01
1.919191919191919116e+00,2.025499935116755168e+01,3.638588962184883258e+00,2.596292092775810412e-01,2.958540105624213323e-01,3.148559606190466376e-01,2.004513177082500874e+01,2.806545456149100204e+01,3.206216968221854557e+01,3.006367179707818948e+01
2.020202020202020332e+00,1.962790693587398749e+01,5.752997412597196991e+00,1.629440370177814013e-01,1.849850245673127502e-01,1.963173836721009424e-01,2.001781872998931178e+01,2.802643156135346558e+01,3.202496290689455805e+01,3.002563062164461627e+01
2.121212121212121104e+00,1.674493617759746655e+01,8.626837823017154960e+00,1.095099068912088053e-01,1.249684281594136970e-01,1.328924785999275882e-01,2.000737150470514081e+01,2.801066248107435186e+01,3.201007623850534145e+01,3.001034133637919155e+01
2.222222222222222321e+00,1.229026130620513868e+01,1.153317411377035206e+01,8.425106120373648810e-02,9.778042601554638724e-02,1.047861256454559326e-01,2.000367606846094404e+01,2.800483871766159183e+01,3.200462411346919822e+01,3.000472071187095580e+01
2.323232323232323093e+00,7.960263657156247064e+00,1.344023932270498634e+01,7.607237508907789547e-02,9.097601859828055582e-02,9.885767978323445337e-02,2.000252610150576160e+01,2.800287599724467569e+01,3.200280545374159402e+01,3.000283699289076011e+01
2.424242424242424310e+00,4.848994101114126209e+00,1.397639601822035793e+01,7.861712260543680941e-02,9.807190760672999941e-02,1.086764162518877863e-01,2.000245772718255211e+01,2.800244752718613483e+01,3.200243612254394776e+01,3.000244086022567558e+01
2.525252525252525082e+00,2.956782346644064585e+00,1.348435627702742501e+01,8.904210971482301451e-02,1.169881172750240755e-01,1.328014003649598263e-01,2.000311876448836301e+01,2.800284638597026898e+01,3.200287008922899190e+01,3.000285864912629563e+01
2.626262626262626299e+00,1.877207628245119109e+00,1.244987428081370595e+01,1.066228364085088087e-01,1.485302482213067821e-01,1.732729555188988191e-01,2.000467324142949721e+01,2.800406149886117291e+01,3.200412358643260546e+01,3.000409416301875964e+01
2.727272727272727071e+00,1.263548489236712369e+00,1.121135239054990862e+01,1.318807760885134794e-01,1.955709770681194337e-01,2.349434065720861498e-01,2.000771449323313789e+01,2.800652737633464540e+01,3.200665084527733484e+01,3.000659248119614730e+01
2.828282828282828287e+00,9.063375329848969431e-01,9.952438734236206841e+00,1.661620265144014008e-01,2.627738978937477210e-01,3.254572887496272049e-01,2.001345809314168633e+01,2.801122075050938420e+01,3.201145469146370459e+01,3.001134416686783268e+01
2.929292929292929060e+00,6.917804992465198533e-01,8.760472666574798950e+00,2.114561444505966559e-01,3.565598585875282001e-01,4.555522590384293302e-01,2.002419600940524447e+01,2.802001878237841481e+01,3.202045646189383632e+01,3.002024971493896643e+01
3.030303030303030276e+00,5.593669390790818596e-01,7.671669167591069538e+00,2.703047037690103349e-01,4.850502175046316200e-01,6.393677836443417695e-01,2.004410188270635373e+01,2.803637429715949381e+01,3.203718582752279076e+01,3.003680254453406917e+01
3.131313131313131048e+00,4.765010615874064603e-01,6.696710254820377628e+00,3.457042011666661141e-01,6.577168189206736848e-01,8.943939337311205273e-01,2.008051349946483555e+01,2.806642797441453396e+01,3.206791282109180230e+01,3.006721167129575889e+01
3.232323232323232265e+00,4.251824519118641565e-01,5.833976946510227357e+00,4.409334650864816796e-01,8.844273510561012630e-01,1.240568675678270338e+00,2.014574257458859563e+01,2.812064783041152083e+01,3.212330789162519551e+01,3.012205221119524978e+01
3.333333333333333481e+00,3.952232996802298448e-01,5.076231204689269916e+00,5.592518426635325612e-01,1.173586254074412638e+00,1.697943527554019560e+00,2.025915494349140644e+01,2.821587775274124965e+01,3.222049917413318809e+01,3.021831863097165893e+01
3.434343434343434254e+00,3.807717578662688784e-01,4.413982639827806587e+00,7.034453614068925109e-01,1.529280874929699108e+00,2.282481989420014123e+00,2.044860004194604741e+01,2.837714877571242766e+01,3.238484840784832386e+01,3.038121758979411169e+01
3.535353535353535470e+00,3.784925153986557489e-01,3.837182251814651668e+00,8.752607536071449479e-01,1.947883402787199181e+00,3.000172596579802509e+00,2.074932910349402704e+01,2.863773838888477385e+01,3.264988738124029055e+01,3.064416242290599968e+01
3.636363636363636243e+00,3.865931392258982191e-01,3.336060160438504507e+00,1.074856979552900160e+00,2.415365956067289321e+00,3.840810347459275409e+00,2.119801073172985184e+01,2.903516287150466013e+01,3.305307926571396848e+01,3.104464298615438267e+01
3.737373737373737459e+00,4.042932810235024266e-01,2.901519641567056329e+00,1.300470079792274358e+00,2.907127169727649285e+00,4.774031044447150762e+00,2.182069137808158032e+01,2.960114829100449896e+01,3.362552994715182564e+01,3.161405764371437499e+01
3.838383838383838231e+00,4.315352257729664354e-01,2.525297883916402419e+00,1.548455046565691440e+00,3.391596415784222440e+00,5.750403615534763979e+00,2.261759086965781407e+01,3.034661556962267426e+01,3.437690843508832472e+01,3.236266353463766166e+01
3.939393939393939448e+00,4.688315192067379900e-01,2.200004384268940960e+00,1.813703397381620563e+00,3.836996826740477040e+00,6.708641544566667392e+00,2.355267668732575714e+01,3.124797875465654329e+01,3.528213720279337906e+01,3.326607995054711608e+01
4.040404040404040664e+00,5.171950620456632342e-01,1.919096276271016421e+00,2.090229844458028730e+00,4.218568796831083212e+00,7.586903254172585598e+00,2.455676379481003835e+01,3.224453541568581016e+01,3.627948937166699039e+01,3.426305839794743946e+01
4.141414141414140992e+00,5.781224854254241041e-01,1.676823016525607501e+00,2.371639087219034270e+00,4.523095827564573845e+00,8.333890756604770189e+00,2.554535381980736730e+01,3.325229485682235975e+01,3.728494957232968687e+01,3.526959512210827086e+01
4.242424242424242209e+00,6.536153589050455182e-01,1.468158300541559935e+00,2.651298642710469000e+00,4.749243829639237191e+00,8.915840800300463442e+00,2.644178369984336996e+01,3.418796700472965000e+01,3.821608414918843977e+01,3.620285745268504485e+01
4.343434343434343425e+00,7.462312384550854327e-01,1.288728972407452877e+00,2.922255830772219287e+00,4.904539366128891409e+00,9.318018902986146657e+00,2.719321041433016717e+01,3.498930531925670095e+01,3.901180400225033651e+01,3.700121613311474533e+01
4.444444444444444642e+00,8.591613908875535000e-01,1.134746828539856089e+00,3.177085368340620164e+00,5.001027330284952832e+00,9.541900810387671683e+00,2.777403164147877490e+01,3.562266075832772572e+01,3.963940243424281107e+01,3.763152316807125430e+01
4.545454545454544970e+00,9.963334662586341706e-01,1.002945469031609305e+00,3.407867562954720597e+00,5.051365041140517320e+00,9.600279459687188321e+00,2.817982453087950390e+01,3.607870769777274944e+01,4.009008268465839819e+01,3.808473295119797086e+01
4.646464646464646187e+00,1.162541199943486259e+00,8.905251420028611475e-01,3.606408992330068397e+00,5.066184439179081345e+00,9.512267610112582261e+00,2.841809216637178181e+01,3.636304237565069286e+01,4.036961405900492394e+01,3.836653218758064554e+01
4.747474747474747403e+00,1.363601291696141971e+00,7.951055100187364166e-01,3.764703216344400083e+00,5.052743411292071940e+00,9.299215626291957193e+00,2.850031127163499178e+01,3.648723830700820514e+01,4.048952619860991575e+01,3.848846986209168364e+01
4.848484848484848619e+00,1.606539867863807203e+00,7.146879889767504546e-01,3.875535113349718230e+00,5.014533628361977691e+00,8.981873079264424575e+00,2.843710828191703754e+01,3.646295629530555260e+01,4.046132745290526600e+01,3.846212538024433769e+01
4.949494949494949836e+00,1.899810696083519268e+00,6.476292643193264364e-01,3.933084232108577716e+00,4.951467603786079863e+00,8.578682599786780827e+00,2.823639649429384235e+01,3.629936997089348694e+01,4.029402743683011323e+01,3.829658444534750572e+01
5.050505050505050164e+00,2.253542225527348286e+00,5.926274048249972060e-01,3.933385094451513186e+00,4.860396283045614219e+00,8.104991034886021239e+00,2.790376058230596357e+01,3.600301769111857197e+01,3.999402018119216962e+01,3.799830839648280545e+01
5.151515151515151381e+00,2.679812108580013952e+00,5.487255469172790390e-01,3.874552522239597785e+00,4.735816198676292110e+00,7.572965602408587849e+00,2.744419978050765607e+01,3.557927866656034155e+01,3.956659308223049720e+01,3.757262691100466867e+01
5.252525252525252597e+00,3.192933869791817258e+00,5.153390183462488450e-01,3.756749799771117893e+00,4.570746369705728007e+00,6.992059703833285234e+00,2.686460660695274427e+01,3.503471532756082496e+01,3.901829785209078949e+01,3.702609487995663073e+01
