time,A_1_1,A_1_2,A_1_3,A_1_4,A_1_5,A_1_6,A_1_7,A_1_8,A_1_9,A_2_1,A_2_2,A_2_3,A_2_4,A_2_5,A_2_6,A_2_7,A_2_8,A_2_9,A_3_1,A_3_2,A_3_3,A_3_4,A_3_5,A_3_6,A_3_7,A_3_8,A_3_9,A_4_1,A_4_2,A_4_3,A_4_4,A_4_5,A_4_6,A_4_7,A_4_8,A_4_9,A_5_1,A_5_2,A_5_3,A_5_4,A_5_5,A_5_6,A_5_7,A_5_8,A_5_9,A_6_1,A_6_2,A_6_3,A_6_4,A_6_5,A_6_6,A_6_7,A_6_8,A_6_9,A_7_1,A_7_2,A_7_3,A_7_4,A_7_5,A_7_6,A_7_7,A_7_8,A_7_9,A_8_1,A_8_2,A_8_3,A_8_4,A_8_5,A_8_6,A_8_7,A_8_8,A_8_9,A_9_1,A_9_2,A_9_3,A_9_4,A_9_5,A_9_6,A_9_7,A_9_8,A_9_9
0.0,0.0,0.3,0.8,1.2000000000000002,1.6,0.0,0.0,0.0,0.0,0.5,0.0,0.8,1.2000000000000002,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.4,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,1.2000000000000002,0.0,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.999999999999999,7.999999999999999,7.999999999999999,7.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
0.10101010101010101,0.0,0.35009391697529313,0.9609225227924242,1.4850173266704478,2.0775704311881023,0.0,0.0,0.0,0.0,0.44400928100003895,0.0,0.9609225227924242,1.4850173266704478,2.0775704311881023,0.0,0.0,0.0,0.0,0.0,0.0,0.9609225227924242,0.0,0.46363159414568483,1.6609600965677789,0.0,0.0,0.0,0.0,0.0,0.7164999614093871,1.4850173266704478,0.0,3.456506304593322,0.0,0.0,0.0,0.0,0.0,0.0,1.0023984953152683,2.0775704311881023,1.7955462080255433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.474837088393063,19.474837088393063,19.474837088393063,19.474837088393063,0.0,0.0,0.0,0.0,0.0,0.0,19.875673350710787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.93381226705267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.041100512769578
0.20202020202020202,0.0,0.41069010667401595,1.1346591415455884,1.7693442001253261,2.578459243486347,0.0,0.0,0.0,0.0,0.39649246788328174,0.0,1.1346591415455884,1.7693442001253261,2.578459243486347,0.0,0.0,0.0,0.0,0.0,0.0,1.1346591415455884,0.0,0.5226097373333618,2.1294718788349742,0.0,0.0,0.0,0.0,0.0,0.8149376969899926,1.7693442001253261,0.0,4.549033952008325,0.0,0.0,0.0,0.0,0.0,0.0,1.187605914960178,2.578459243486347,2.419562073173351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.700322761032172,23.700322761032172,23.700322761032172,23.700322761032172,0.0,0.0,0.0,0.0,0.0,0.0,30.113139886314492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.60330363198415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4075662893686
0.30303030303030304,0.0,0.4839060349648047,1.3191049277439186,2.0383558889580726,3.061063890842192,0.0,0.0,0.0,0.0,0.3564547439872857,0.0,1.3191049277439186,2.0383558889580726,3.061063890842192,0.0,0.0,0.0,0.0,0.0,0.0,1.3191049277439186,0.0,0.5735551302170555,2.5416808185575595,0.0,0.0,0.0,0.0,0.0,0.8862899779470855,2.0383558889580726,0.0,5.4907439340442945,0.0,0.0,0.0,0.0,0.0,0.0,1.3309698581124219,3.061063890842192,2.9490631154867346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.090665314230073,25.090665314230073,25.090665314230073,25.090665314230073,0.0,0.0,0.0,0.0,0.0,0.0,32.676131348173975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.75168424725208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.71951255683611
0.40404040404040403,0.0,0.5722890358135763,1.5137098331769505,2.2879583405355253,3.49419515496788,0.0,0.0,0.0,0.0,0.3230786031643835,0.0,1.5137098331769505,2.2879583405355253,3.49419515496788,0.0,0.0,0.0,0.0,0.0,0.0,1.5137098331769505,0.0,0.6140168275454522,2.849285917215059,0.0,0.0,0.0,0.0,0.0,0.9280807265837165,2.2879583405355253,0.0,6.137882195325922,0.0,0.0,0.0,0.0,0.0,0.0,1.4173750984857758,3.49419515496788,3.2885962781108633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.900715191865245,25.900715191865245,25.900715191865245,25.900715191865245,0.0,0.0,0.0,0.0,0.0,0.0,33.681154466488444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.70964916489066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.69654798783089
0.5050505050505051,0.0,0.6788908881145775,1.7194803566391685,2.5241708395902402,3.8658340027455615,0.0,0.0,0.0,0.0,0.295717232383859,0.0,1.7194803566391685,2.5241708395902402,3.8658340027455615,0.0,0.0,0.0,0.0,0.0,0.0,1.7194803566391685,0.0,0.6423649994048429,3.0286931111646362,0.0,0.0,0.0,0.0,0.0,0.9429819849994158,2.5241708395902402,0.0,6.433333579377469,0.0,0.0,0.0,0.0,0.0,0.0,1.4442017015690676,3.8658340027455615,3.4046404682128326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.337390451783936,26.337390451783936,26.337390451783936,26.337390451783936,0.0,0.0,0.0,0.0,0.0,0.0,34.23253588734885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.24665734838579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.240096737757675
0.6060606060606061,0.0,0.807350078689664,1.9386932869437847,2.7589388807966078,4.181811808094872,0.0,0.0,0.0,0.0,0.2738964737042325,0.0,1.9386932869437847,2.7589388807966078,4.181811808094872,0.0,0.0,0.0,0.0,0.0,0.0,1.9386932869437847,0.0,0.6575397875531622,3.0764300969220884,0.0,0.0,0.0,0.0,0.0,0.9357396024262208,2.7589388807966078,0.0,6.394399935866572,0.0,0.0,0.0,0.0,0.0,0.0,1.4183304117263078,4.181811808094872,3.3179698389444834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.422772217726784,26.422772217726784,26.422772217726784,26.422772217726784,0.0,0.0,0.0,0.0,0.0,0.0,34.41806242164486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.42115138882424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.41977193758792
0.7070707070707071,0.0,0.9619779925147058,2.1747277236349656,3.005880224110446,4.458826072931137,0.0,0.0,0.0,0.0,0.25732880906341077,0.0,2.1747277236349656,3.005880224110446,4.458826072931137,0.0,0.0,0.0,0.0,0.0,0.0,2.1747277236349656,0.0,0.6588895316822897,3.0002814702582317,0.0,0.0,0.0,0.0,0.0,0.9107084954280134,3.005880224110446,0.0,6.076007479617981,0.0,0.0,0.0,0.0,0.0,0.0,1.350915699063167,4.458826072931137,3.075726009359749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.206575708378292,26.206575708378292,26.206575708378292,26.206575708378292,0.0,0.0,0.0,0.0,0.0,0.0,34.28498393454476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.27892954930514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.281855639113445
0.8080808080808081,0.0,1.1478408332279675,2.432147824757527,3.277816062249987,4.717526293802353,0.0,0.0,0.0,0.0,0.24594542473939254,0.0,2.432147824757527,3.277816062249987,4.717526293802353,0.0,0.0,0.0,0.0,0.0,0.0,2.432147824757527,0.0,0.646146227187784,2.8133660444418207,0.0,0.0,0.0,0.0,0.0,0.8708140436527523,3.277816062249987,0.0,5.541844994948905,0.0,0.0,0.0,0.0,0.0,0.0,1.253300389627202,4.717526293802353,2.7284789505070837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.753365435861088,25.753365435861088,25.753365435861088,25.753365435861088,0.0,0.0,0.0,0.0,0.0,0.0,33.89731999315015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.88389030679329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.89028742889386
0.9090909090909091,0.0,1.3708206948774784,2.7169379219528986,3.58595192724965,4.9782733289154155,0.0,0.0,0.0,0.0,0.23995716925540603,0.0,2.7169379219528986,3.58595192724965,4.9782733289154155,0.0,0.0,0.0,0.0,0.0,0.0,2.7169379219528986,0.0,0.619479011573093,2.5324912029170843,0.0,0.0,0.0,0.0,0.0,0.8176196951325679,3.58595192724965,0.0,4.852646056166912,0.0,0.0,0.0,0.0,0.0,0.0,1.135077771272934,4.9782733289154155,2.3201548532498277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.126235446705586,25.126235446705586,25.126235446705586,25.126235446705586,0.0,0.0,0.0,0.0,0.0,0.0,33.31995020613458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.30065369641454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.30980606259753
