time,x1,x2,x3,x4,x5,x6,x7,x8,x9
1.507537688442211143e+00,7.397577886195141339e-01,1.715682213770546971e+00,5.175488839485536730e+00,2.919109220400730731e+00,1.275241388771843987e+01,1.675411558953637581e+01,1.475343286547678190e+01,7.574388920793599933e-01,3.096354940080932594e-01
1.608040201005025205e+00,7.962925997081418128e-01,1.429783140503234851e+00,4.676667269134814120e+00,3.700155694278947305e+00,1.275743222296752855e+01,1.675845675574030125e+01,1.475804855543659322e+01,7.604058268407323240e-01,3.212877302869034946e-01
1.708542713567839266e+00,9.210308841400046687e-01,1.196775069683253756e+00,4.098345693584040994e+00,4.419966773748446265e+00,1.276038875345084733e+01,1.676099569178600390e+01,1.476075509398715369e+01,7.621348676374704034e-01,3.439994074641881117e-01
1.809045226130653328e+00,1.134559541642308433e+00,1.017131630266741471e+00,3.512393504465058047e+00,4.969394537195348960e+00,1.276213114369134161e+01,1.676248972510617463e+01,1.476234787921495695e+01,7.631689460923016810e-01,3.822847258293400885e-01
1.909547738693467389e+00,1.462609998870883388e+00,8.895735882503507108e-01,2.969054786830529480e+00,5.286029494092788994e+00,1.276318420545514876e+01,1.676340024468281342e+01,1.476331453712092490e+01,7.638279700509118531e-01,4.385353822646857469e-01
2.010050251256281673e+00,1.927496337757510947e+00,8.116932374344389967e-01,2.490668353390097955e+00,5.355226163413248308e+00,1.276386074659696490e+01,1.676399798804851571e+01,1.476394298586963494e+01,7.642948804706468646e-01,5.110999891594207867e-01
2.110552763819095734e+00,2.530569918718178268e+00,7.824192417839628266e-01,2.080391325821957516e+00,5.194119682685340855e+00,1.276434423509865645e+01,1.676444039936018626e+01,1.476440114212792132e+01,7.646781161460932674e-01,5.932371861371912303e-01
2.211055276381909795e+00,3.231559044950936599e+00,8.044929202692885362e-01,1.734346318691343258e+00,4.842774805820258877e+00,1.276474842333055371e+01,1.676482683987284616e+01,1.476479401599676322e+01,7.650556567057024138e-01,6.743920612894135358e-01
2.311557788944723857e+00,3.943914809155240953e+00,8.862731238611069040e-01,1.449074756807897435e+00,4.361615515166633372e+00,1.276516190876490420e+01,1.676524025186322930e+01,1.476520656336671955e+01,7.655124282795850998e-01,7.443797001353859022e-01
2.412060301507537918e+00,4.561178720789162533e+00,1.042758448833791096e+00,1.222807957548514235e+00,3.821391727720176767e+00,1.276569232833878154e+01,1.676579115475503912e+01,1.476574765054328608e+01,7.661926073363491962e-01,7.977489813279246000e-01
2.512562814070351980e+00,4.997743297279618524e+00,1.295050702587033697e+00,1.053688787814672345e+00,3.284171842914870521e+00,1.276653801459688253e+01,1.676669421497038215e+01,1.476662427780873088e+01,7.674095875199763439e-01,8.346688189263540281e-01
2.613065326633166041e+00,5.210508841223498777e+00,1.665990298770894551e+00,9.389107140538288654e-01,2.789188982670320005e+00,1.276814399296527647e+01,1.676843954088589328e+01,1.476830581380201046e+01,7.699017560287646500e-01,8.585462638440488625e-01
2.713567839195980103e+00,5.194491198554477052e+00,2.168836261680106681e+00,8.760038793293403181e-01,2.352716509021011149e+00,1.277154721635690748e+01,1.677217196800393495e+01,1.477188776340129017e+01,7.753762776224972786e-01,8.733538479299983726e-01
2.814070351758794164e+00,4.971860467948543416e+00,2.789192511477075254e+00,8.650730554674131989e-01,1.977290959257549163e+00,1.277902745195320122e+01,1.678039557164906626e+01,1.477977228045821789e+01,7.874106155636515503e-01,8.823116855637049838e-01
2.914572864321608225e+00,4.586990885853780675e+00,3.470496466925877765e+00,9.107707432803318071e-01,1.661197675726674650e+00,1.279497264942190959e+01,1.679787294681705134e+01,1.479655360676420628e+01,8.123106917924061143e-01,8.876644570939952184e-01
3.015075376884422287e+00,4.101434987870797855e+00,4.120901044004693148e+00,1.023577946526130544e+00,1.403161554493953300e+00,1.282632338461085730e+01,1.683198722478014275e+01,1.482942043354887929e+01,8.588080105261668429e-01,8.908717287649823291e-01
3.115577889447236348e+00,3.580272312582870153e+00,4.644955680318529012e+00,1.219987056647399370e+00,1.202413516546230188e+00,1.288161187669234842e+01,1.689152466673759179e+01,1.488705628683620752e+01,9.356836193950207603e-01,8.928439364716703741e-01
3.216080402010050410e+00,3.074996212313434452e+00,4.976315221875553085e+00,1.520239339477711171e+00,1.057428219430867733e+00,1.296826127768548886e+01,1.698366005583868343e+01,1.497676292040492108e+01,1.047899284151900146e+00,8.941290678627623612e-01
3.316582914572864471e+00,2.615167891315042681e+00,5.088383853620611852e+00,1.941123177379275422e+00,9.660993019518057112e-01,1.308891941922497004e+01,1.711012689012763133e+01,1.510069520020508449e+01,1.192795786949921499e+00,8.950500696013268254e-01
3.417085427135678533e+00,2.212021360118542113e+00,4.987379088211076450e+00,2.482195632105925753e+00,9.274930631600509789e-01,1.323822203958509647e+01,1.726411247865176435e+01,1.525268745500295076e+01,1.358130731877495556e+00,8.958035283030788554e-01
3.517587939698492594e+00,1.867373614941928439e+00,4.704332697865113211e+00,3.109831164296412709e+00,9.439571350011782824e-01,1.340200485019391330e+01,1.742999094936270055e+01,1.541774709664646004e+01,1.524271546570205249e+00,8.965302043715257518e-01
3.618090452261306655e+00,1.580663339751558816e+00,4.290139741882811109e+00,3.752597287995331765e+00,1.022723909802497388e+00,1.356101739060235900e+01,1.758782562073995592e+01,1.557620777258244438e+01,1.671364579701793973e+00,8.973740715665606826e-01
3.718592964824120717e+00,1.351445690653563236e+00,3.806425820230276535e+00,4.319515611045531500e+00,1.176588050956721254e+00,1.369825573577995037e+01,1.772117083068511079e+01,1.571134042543292075e+01,1.787321173286231746e+00,8.985574549410391132e-01
3.819095477386934778e+00,1.178918254347351313e+00,3.310254970154402177e+00,4.731870842717794012e+00,1.422837886840739197e+00,1.380495964110227369e+01,1.782269281257009297e+01,1.581516243160789870e+01,1.870459528750630041e+00,9.005215376770244751e-01
3.919597989949748840e+00,1.061497415249383680e+00,2.841501122532925638e+00,4.944569796541226303e+00,1.778636308837525215e+00,1.388122472553688347e+01,1.789389325826762800e+01,1.588856413826703573e+01,1.926113722060315947e+00,9.042201185651450590e-01
4.020100502512563345e+00,9.978681240955947773e-01,2.420602677495498956e+00,4.947687414621960045e+00,2.250855558593669592e+00,1.393245714882133868e+01,1.794098389381627712e+01,1.593742619371209557e+01,1.961744362302950018e+00,9.116807828263250313e-01
4.120603015075377407e+00,9.889105463421913322e-01,2.054697079201538656e+00,4.759220245658856818e+00,2.821607631785764347e+00,1.396545420966926265e+01,1.797096078364057092e+01,1.596867805976754084e+01,1.983968466420932275e+00,9.268271649113409838e-01
4.221105527638191468e+00,1.039474780858235858e+00,1.745257773664927292e+00,4.419111539880643313e+00,3.438245870790016756e+00,1.398616918332569092e+01,1.798963434919134841e+01,1.598820447707355186e+01,1.997680511442742946e+00,9.560990477144498678e-01
4.321608040201005529e+00,1.159398015863670972e+00,1.492542073542744152e+00,3.982399687608036309e+00,4.020576753551542204e+00,1.399904161568366945e+01,1.800119768255868280e+01,1.600031015626690944e+01,2.006194470842904920e+00,1.007860599132401891e+00
4.422110552763819591e+00,1.363158393414107383e+00,1.296440379101002405e+00,3.506834810499428468e+00,4.486283076528207125e+00,1.400710543615022097e+01,1.800845505680599601e+01,1.600789926631750149e+01,2.011641442795373713e+00,1.089909008564048820e+00
4.522613065326633652e+00,1.666879866269832977e+00,1.156073988011415254e+00,3.039023038310473268e+00,4.776895310448919574e+00,1.401232409371934828e+01,1.801319402711053286e+01,1.601283425055844845e+01,2.015343315517565070e+00,1.205741876312544258e+00
4.623115577889447714e+00,2.080857856918718607e+00,1.070266218768115785e+00,2.607617535049199908e+00,4.867796145693612075e+00,1.401592579961878293e+01,1.801652137073115867e+01,1.601627284615782898e+01,2.018109407233426911e+00,1.351204607748355491e+00
4.723618090452261775e+00,2.597348820324536067e+00,1.039121518838723501e+00,2.225778020153275083e+00,4.764625811503871766e+00,1.401867756058649661e+01,1.801912736287305705e+01,1.601893708444905684e+01,2.020459712095986404e+00,1.513400004396492804e+00
4.824120603015075837e+00,3.178846401180342340e+00,1.065833256207439517e+00,1.897987396189392717e+00,4.496964719935550470e+00,1.402109544665748686e+01,1.802148568076027146e+01,1.602131778376738680e+01,2.022794832895236983e+00,1.673672829019885455e+00
4.924623115577889898e+00,3.757856056518877885e+00,1.157947145083845664e+00,1.625649616388320728e+00,4.112206328249975229e+00,1.402361517362380106e+01,1.802401751728773505e+01,1.602384134868348653e+01,2.025551915221257104e+00,1.814413763103509547e+00
5.025125628140703959e+00,4.254588699996589618e+00,1.327504223370377545e+00,1.409319955995853357e+00,3.665675385820992283e+00,1.402677149283882585e+01,1.802727217532111581e+01,1.602704954604313059e+01,2.029414637591994364e+00,1.925529816590408227e+00
5.125628140703518021e+00,4.602676981883845109e+00,1.589109330834318934e+00,1.248790225703005463e+00,3.207387439652571892e+00,1.403147090204826952e+01,1.803221424866339717e+01,1.603187985046534791e+01,2.035693660460546006e+00,2.006004511808625601e+00
5.226130653266332082e+00,4.765316987371499557e+00,1.954389190086236905e+00,1.143252706162588561e+00,2.772449562030384396e+00,1.403949582453948608e+01,1.804076326756982240e+01,1.604018890445362189e+01,2.047054625223532209e+00,2.060751216078906545e+00
5.326633165829146144e+00,4.736666245693563759e+00,2.421955073881015608e+00,1.092488289234802012e+00,2.379937118707568189e+00,1.405440714436751648e+01,1.805675623853056422e+01,1.605568783818728207e+01,2.068737561227874888e+00,2.096510069689350608e+00
5.427135678391960205e+00,4.536551233391681315e+00,2.965750839179781551e+00,1.098578113646899279e+00,2.037966565911686789e+00,1.408284388013977662e+01,1.808730273392501431e+01,1.608527259190650227e+01,2.110001758876673961e+00,2.119345488771811503e+00
5.527638190954774267e+00,4.204561719524084751e+00,3.530399378103696417e+00,1.167316726481191003e+00,1.749596938580939343e+00,1.413561637246102798e+01,1.814382407156042376e+01,1.614009230143836149e+01,2.184590146172680214e+00,2.133841569500028790e+00
5.628140703517588328e+00,3.791873632303838004e+00,4.041996835723945303e+00,1.308701934295270819e+00,1.516177863997950181e+00,1.422718909137166143e+01,1.824126416070656020e+01,1.623488495687588085e+01,2.308402837098038951e+00,2.143167680508984319e+00
5.728643216080402389e+00,3.349344415826609911e+00,4.430838347619613593e+00,1.535731258666425347e+00,1.338151783854956589e+00,1.437225317889353882e+01,1.839419160501159922e+01,1.638429238104523833e+01,2.493821078246205580e+00,2.149401756350887815e+00
5.829145728643216451e+00,2.916609904698463929e+00,4.650903762028730348e+00,1.860246561676434096e+00,1.215189233959488746e+00,1.457968702944993922e+01,1.861038589009442745e+01,1.659660570257880252e+01,2.742638477255693097e+00,2.153863765993404122e+00
