time,x1,x2,x3,x4
3.408521303258145174e+00,1.160625967911760981e+00,4.061580202570189702e-01,1.610811443678240584e+00,2.959621817481414396e+00
3.508771929824561209e+00,1.241963858210529903e+00,4.067131094460083029e-01,1.329616088561248910e+00,3.228598909586476218e+00
3.609022556390977243e+00,1.328310139014708957e+00,4.191120732305199659e-01,1.082837727364827529e+00,3.429820728709552569e+00
3.709273182957393278e+00,1.418568762330171040e+00,4.435318618708086191e-01,8.748584292538355012e-01,3.561423028495346088e+00
3.809523809523809312e+00,1.511224690251457226e+00,4.809016054156975417e-01,7.050263065285562458e-01,3.628777159483921544e+00
3.909774436090225347e+00,1.604193200636831795e+00,5.329503653338786284e-01,5.696184837071130991e-01,3.641406184857837847e+00
4.010025062656641381e+00,1.694648003145728721e+00,6.022667350234164330e-01,4.635777320673448165e-01,3.610281095167355403e+00
4.110275689223056972e+00,1.778844132870788020e+00,6.923451439413951247e-01,3.817069526364474386e-01,3.546013865312112490e+00
4.210526315789473450e+00,1.851973889225031256e+00,8.075636402738803898e-01,3.193325120127791794e-01,3.457923148455609663e+00
4.310776942355889929e+00,1.908129757078680155e+00,9.529942888389685285e-01,2.725857502851252168e-01,3.353723389371783270e+00
4.411027568922305520e+00,1.940495062267338922e+00,1.133895689491596803e+00,2.384630184229594718e-01,3.239575008875346995e+00
4.511278195488721110e+00,1.941921117439501687e+00,1.354707267058112619e+00,2.147841186888153620e-01,3.120304955385676760e+00
4.611528822055137589e+00,1.906032121511443966e+00,1.617420926133143144e+00,2.001252790872122267e-01,2.999682736563250351e+00
4.711779448621554067e+00,1.828847588005591440e+00,1.919445096567139908e+00,1.937683288102911294e-01,2.880696246283007245e+00
4.812030075187969658e+00,1.710581133668449105e+00,2.251535521674349560e+00,1.956860825552688976e-01,2.765806543323415134e+00
4.912280701754385248e+00,1.556872808885360504e+00,2.596856299696114423e+00,2.065685047506255478e-01,2.657179656457230976e+00
5.012531328320801727e+00,1.378586915243674049e+00,2.932256512673986126e+00,2.278783723544408335e-01,2.556901848040039393e+00
5.112781954887218205e+00,1.189817610349885868e+00,3.231966859305753115e+00,2.619021680635897908e-01,2.467186357872850344e+00
5.213032581453633796e+00,1.004749206532854933e+00,3.472479229028186509e+00,3.117261874228049456e-01,2.390576546555979398e+00
5.313283208020049386e+00,8.347380211360905244e-01,3.636559986036411285e+00,3.810188122608622607e-01,2.330142944704622909e+00
5.413533834586465865e+00,6.867586254145221503e-01,3.714999797018468719e+00,4.734507999678915779e-01,2.289659152162617506e+00
5.513784461152882344e+00,5.634432311520404246e-01,3.706224927401429614e+00,5.915780522543052644e-01,2.273721900852133881e+00
5.614035087719297934e+00,4.641517820597494404e-01,3.614965527961134129e+00,7.351255994325888166e-01,2.287751146689063209e+00
5.714285714285713524e+00,3.863209778845621001e-01,3.451109289462652718e+00,8.989388252036686344e-01,2.337765576933817258e+00
5.814536340852130003e+00,3.265919004926009506e-01,3.229033623524458996e+00,1.071392998867704893e+00,2.429785927902528453e+00
5.914786967418546482e+00,2.815481309751336481e-01,2.966868899791607728e+00,1.234483908157401277e+00,2.568705272701631515e+00
6.015037593984962072e+00,2.481050690808674630e-01,2.684924748346489753e+00,1.366602392206117456e+00,2.756553803773182043e+00
6.115288220551377663e+00,2.236615694005724408e-01,2.403089287910606053e+00,1.447781684277263059e+00,2.990366309326024652e+00
6.215538847117794141e+00,2.061171940122946689e-01,2.137926888348698373e+00,1.465546494437941494e+00,3.260336293045928979e+00
6.315789473684210620e+00,1.938256961709966808e-01,1.900632736047207061e+00,1.418684362219725825e+00,3.549356843522303073e+00
6.416040100250626210e+00,1.855251122546237308e-01,1.696558381923293446e+00,1.317150413404579279e+00,3.834895074129265780e+00
6.516290726817041801e+00,1.802649426572534574e-01,1.526161554464027015e+00,1.178342591629775615e+00,4.093122737377950848e+00
6.616541353383458279e+00,1.773395570979881264e-01,1.386661783623737376e+00,1.021739361410934910e+00,4.303845799856532928e+00
6.716791979949874758e+00,1.762313788718586904e-01,1.273680026973165624e+00,8.642649743852812705e-01,4.454185861987195238e+00
6.817042606516290348e+00,1.765645642571141982e-01,1.182458679143761904e+00,7.177953024654998293e-01,4.539733725667863595e+00
6.917293233082705939e+00,1.780685178745155528e-01,1.108582219002533398e+00,5.888493176623593728e-01,4.563330944726698313e+00
7.017543859649122417e+00,1.805499454798808190e-01,1.048298672088194827e+00,4.796470888936132382e-01,4.532598905416244328e+00
7.117794486215538896e+00,1.838719225861650819e-01,9.985884948457626198e-01,3.896029917683824784e-01,4.457391317030608313e+00
7.218045112781954487e+00,1.879384868708548761e-01,9.571036020882689455e-01,3.166515629069874826e-01,4.347853821568006261e+00
7.318295739348370077e+00,1.926834335796729081e-01,9.220567064329285856e-01,2.581796631255283136e-01,4.213256189815948183e+00
7.418546365914786556e+00,1.980622245277553484e-01,8.921045351718495109e-01,2.115761450756358242e-01,4.061462893592036494e+00
7.518796992481203034e+00,2.040461566555987760e-01,8.662443723557170516e-01,1.745008370796638786e-01,3.898821435895781118e+00
7.619047619047618625e+00,2.106181463456857361e-01,8.437299112277393265e-01,1.449798565463067401e-01,3.730275702693973461e+00
7.719298245614034215e+00,2.177696557284962142e-01,8.240060551743942918e-01,1.214077423984639553e-01,3.559573140442731098e+00
7.819548872180450694e+00,2.254984191436786300e-01,8.066598104849675988e-01,1.025073813064416861e-01,3.389490485876980319e+00
