time,x1,x2,x3,x4,x5,x6,x7,x8
0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.005025125628140753e-01,2.875272372929969400e+00,2.103969064204241235e+00,2.103969064204241235e+00,2.138283321198075626e+00,1.388705886845182258e+00,1.388705886845182258e+00,1.166058478618327676e+00,8.885370926648579193e-01
2.010050251256281506e-01,2.063114550880150944e+00,1.606084188112374855e+00,1.606084188112374855e+00,1.716601469483458375e+00,1.131060681925706302e+00,1.131060681925706302e+00,1.366740673530615569e+00,7.938626055291337913e-01
3.015075376884422398e-01,1.594506625095874819e+00,1.350971220476275159e+00,1.350971220476275159e+00,1.428526903845461993e+00,1.006816585569042521e+00,1.006816585569042521e+00,1.608988878843246484e+00,7.140140642318422159e-01
4.020100502512563012e-01,1.290104458513495755e+00,1.184969455854433029e+00,1.184969455854433029e+00,1.214133238710646490e+00,9.268478075320000231e-01,9.268478075320000231e-01,1.901147346295490648e+00,6.473767213141311538e-01
5.025125628140704181e-01,1.080061635562616917e+00,1.065291809119532029e+00,1.065291809119532029e+00,1.048335437752904609e+00,8.675401682175265528e-01,8.675401682175265528e-01,2.253204344044375862e+00,5.926704606722651425e-01
6.030150753768844796e-01,9.301449766328159230e-01,9.740990632118052828e-01,9.740990632118052828e-01,9.175260804115052959e-01,8.199437137964556976e-01,8.199437137964556976e-01,2.677059203917688812e+00,5.489532686098291814e-01
7.035175879396985410e-01,8.215183524433253837e-01,9.022168989461410993e-01,9.022168989461410993e-01,8.132700245358093216e-01,7.799578135129100476e-01,7.799578135129100476e-01,3.186802477782291199e+00,5.156478502056814905e-01
8.040201005025126024e-01,7.431555405965291072e-01,8.443122530467893627e-01,8.443122530467893627e-01,7.299398288505292154e-01,7.454540331234191797e-01,7.454540331234191797e-01,3.798983209163224739e+00,4.926029135155454708e-01
9.045226130653266639e-01,6.884868210412141698e-01,7.970505661623408233e-01,7.970505661623408233e-01,6.636407704067047719e-01,7.152216920691056856e-01,7.152216920691056856e-01,4.532810941283070605e+00,4.802095743987642162e-01
1.005025125628140836e+00,6.537946250398215531e-01,7.582666515309948174e-01,7.582666515309948174e-01,6.116594306745382070e-01,6.885238287900148357e-01,6.885238287900148357e-01,5.410190395956079534e+00,4.796099340493478191e-01
1.105527638190954898e+00,6.374649460084133024e-01,7.265532398786161972e-01,7.265532398786161972e-01,5.721645129678543107e-01,6.648928703121876893e-01,6.648928703121876893e-01,6.455392330236586318e+00,4.930664671533898646e-01
1.206030150753768959e+00,6.397495316226675666e-01,7.010519060842257399e-01,7.010519060842257399e-01,5.440513795869348357e-01,6.440318648502207921e-01,6.440318648502207921e-01,7.693980709098263482e+00,5.246228353112581955e-01
1.306532663316583021e+00,6.629340254071794947e-01,6.813624523712689118e-01,6.813624523712689118e-01,5.268869414239373272e-01,6.257674243859744356e-01,6.257674243859744356e-01,9.150254835454296298e+00,5.813105947879604329e-01
1.407035175879397082e+00,7.119503956078665485e-01,6.675430689281023344e-01,6.675430689281023344e-01,5.209438115969038385e-01,6.100314545798134480e-01,6.100314545798134480e-01,1.084174099845051842e+01,6.754074230056742456e-01
1.507537688442211143e+00,7.955913577471463993e-01,6.602085780787203539e-01,6.602085780787203539e-01,5.273346838013053262e-01,5.968624652726904900e-01,5.968624652726904900e-01,1.276782890128380643e+01,8.287529261690941285e-01
1.608040201005025205e+00,9.285724932070215099e-01,6.607700027260972053e-01,6.607700027260972053e-01,5.482782027674533154e-01,5.864243926220664704e-01,5.864243926220664704e-01,1.488690706791044960e+01,1.081057560688755137e+00
1.708542713567839266e+00,1.134550018250520820e+00,6.719097837644679716e-01,6.719097837644679716e-01,5.875463933888740442e-01,5.790454687821503521e-01,5.790454687821503521e-01,1.707200281828658106e+01,1.505430645747288576e+00
1.809045226130653328e+00,1.449024588475713804e+00,6.984540428197142381e-01,6.984540428197142381e-01,6.511436376904590206e-01,5.752826077951771477e-01,5.752826077951771477e-01,1.903252381560596618e+01,2.233865942361327850e+00
1.909547738693467389e+00,1.916434852040010073e+00,7.488028149995371585e-01,7.488028149995371585e-01,7.481749826390708957e-01,5.760150736319127329e-01,5.760150736319127329e-01,2.021202080570371606e+01,3.481690065639003073e+00
2.010050251256281673e+00,2.564479568519040242e+00,8.365476865410929053e-01,8.365476865410929053e-01,8.914566219875538211e-01,5.825525996816489638e-01,5.825525996816489638e-01,1.979059482661202907e+01,5.500932043235578384e+00
2.110552763819095734e+00,3.334030571952075306e+00,9.793687595124653811e-01,9.793687595124653811e-01,1.096320243281981854e+00,5.966792881142852778e-01,5.966792881142852778e-01,1.714819694539659878e+01,8.303437362377271924e+00
2.211055276381909795e+00,4.009813102081811742e+00,1.186729026868299952e+00,1.186729026868299952e+00,1.374768091262344560e+00,6.204406888125183483e-01,6.204406888125183483e-01,1.280801115116940814e+01,1.124515298600266711e+01
2.311557788944723857e+00,4.314938610390973039e+00,1.430913358599311680e+00,1.430913358599311680e+00,1.724597314180141394e+00,6.555357196050333179e-01,6.555357196050333179e-01,8.407651210854512058e+00,1.329126171304376491e+01
