time,A_1_1,A_1_2,A_1_3,A_1_4,A_1_5,A_1_6,A_1_7,A_1_8,A_2_1,A_2_2,A_2_3,A_2_4,A_2_5,A_2_6,A_2_7,A_2_8,A_3_1,A_3_2,A_3_3,A_3_4,A_3_5,A_3_6,A_3_7,A_3_8,A_4_1,A_4_2,A_4_3,A_4_4,A_4_5,A_4_6,A_4_7,A_4_8,A_5_1,A_5_2,A_5_3,A_5_4,A_5_5,A_5_6,A_5_7,A_5_8,A_6_1,A_6_2,A_6_3,A_6_4,A_6_5,A_6_6,A_6_7,A_6_8,A_7_1,A_7_2,A_7_3,A_7_4,A_7_5,A_7_6,A_7_7,A_7_8,A_8_1,A_8_2,A_8_3,A_8_4,A_8_5,A_8_6,A_8_7,A_8_8
0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0,5.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,33.0,0.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,0.0,33.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.2,0.0,0.0,0.5,0.0
0.10050251256281408,0.0,2.8752723729299694,2.8752723729299694,0.0,0.0,0.0,0.0,0.0,2.1039690642042412,7.947557514605399,0.0,0.0,7.947557514605399,0.0,0.0,0.0,2.1039690642042412,0.0,7.947557514605399,0.0,0.0,7.947557514605399,0.0,0.0,0.0,0.0,0.0,0.0,2.1382833211980756,2.1382833211980756,0.0,0.0,0.0,7.23229433724634,0.0,1.3887058868451823,7.23229433724634,0.0,0.0,0.0,0.0,0.0,7.23229433724634,1.3887058868451823,0.0,7.23229433724634,0.0,0.0,0.23321169572366554,0.0,0.0,0.11660584786183277,0.0,0.0,0.0,0.34981754358549827,0.0888537092664858,0.0,0.0,0.1777074185329716,0.0,0.0,0.44426854633242896,0.0
0.20100502512562815,0.0,2.063114550880151,2.063114550880151,0.0,0.0,0.0,0.0,0.0,1.6060841881123749,5.239241542185329,0.0,0.0,5.239241542185329,0.0,0.0,0.0,1.6060841881123749,0.0,5.239241542185329,0.0,0.0,5.239241542185329,0.0,0.0,0.0,0.0,0.0,0.0,1.7166014694834584,1.7166014694834584,0.0,0.0,0.0,4.764218035998661,0.0,1.1310606819257063,4.764218035998661,0.0,0.0,0.0,0.0,0.0,4.764218035998661,1.1310606819257063,0.0,4.764218035998661,0.0,0.0,0.2733481347061231,0.0,0.0,0.13667406735306156,0.0,0.0,0.0,0.41002220205918466,0.07938626055291338,0.0,0.0,0.15877252110582676,0.0,0.0,0.3969313027645669,0.0
0.30150753768844224,0.0,1.5945066250958748,1.5945066250958748,0.0,0.0,0.0,0.0,0.0,1.3509712204762752,4.0713316832802064,0.0,0.0,4.0713316832802064,0.0,0.0,0.0,1.3509712204762752,0.0,4.0713316832802064,0.0,0.0,4.0713316832802064,0.0,0.0,0.0,0.0,0.0,0.0,1.428526903845462,1.428526903845462,0.0,0.0,0.0,3.7271770483729734,0.0,1.0068165855690425,3.7271770483729734,0.0,0.0,0.0,0.0,0.0,3.7271770483729734,1.0068165855690425,0.0,3.7271770483729734,0.0,0.0,0.3217977757686493,0.0,0.0,0.16089888788432466,0.0,0.0,0.0,0.4826966636529739,0.07140140642318422,0.0,0.0,0.14280281284636845,0.0,0.0,0.3570070321159211,0.0
0.4020100502512563,0.0,1.2901044585134958,1.2901044585134958,0.0,0.0,0.0,0.0,0.0,1.184969455854433,3.3815421401565695,0.0,0.0,3.3815421401565695,0.0,0.0,0.0,1.184969455854433,0.0,3.3815421401565695,0.0,0.0,3.3815421401565695,0.0,0.0,0.0,0.0,0.0,0.0,1.2141332387106465,1.2141332387106465,0.0,0.0,0.0,3.1234204918341364,0.0,0.926847807532,3.1234204918341364,0.0,0.0,0.0,0.0,0.0,3.1234204918341364,0.926847807532,0.0,3.1234204918341364,0.0,0.0,0.3802294692590982,0.0,0.0,0.1901147346295491,0.0,0.0,0.0,0.5703442038886471,0.06473767213141311,0.0,0.0,0.12947534426282623,0.0,0.0,0.3236883606570656,0.0
0.5025125628140704,0.0,1.080061635562617,1.080061635562617,0.0,0.0,0.0,0.0,0.0,1.065291809119532,2.9136586796881563,0.0,0.0,2.9136586796881563,0.0,0.0,0.0,1.065291809119532,0.0,2.9136586796881563,0.0,0.0,2.9136586796881563,0.0,0.0,0.0,0.0,0.0,0.0,1.0483354377529046,1.0483354377529046,0.0,0.0,0.0,2.715907038786151,0.0,0.8675401682175266,2.715907038786151,0.0,0.0,0.0,0.0,0.0,2.715907038786151,0.8675401682175266,0.0,2.715907038786151,0.0,0.0,0.4506408688088752,0.0,0.0,0.2253204344044376,0.0,0.0,0.0,0.6759613032133127,0.05926704606722652,0.0,0.0,0.11853409213445304,0.0,0.0,0.29633523033613257,0.0
0.6030150753768845,0.0,0.9301449766328159,0.9301449766328159,0.0,0.0,0.0,0.0,0.0,0.9740990632118053,2.5715118702028774,0.0,0.0,2.5715118702028774,0.0,0.0,0.0,0.9740990632118053,0.0,2.5715118702028774,0.0,0.0,2.5715118702028774,0.0,0.0,0.0,0.0,0.0,0.0,0.9175260804115053,0.9175260804115053,0.0,0.0,0.0,2.417356520787528,0.0,0.8199437137964557,2.417356520787528,0.0,0.0,0.0,0.0,0.0,2.417356520787528,0.8199437137964557,0.0,2.417356520787528,0.0,0.0,0.5354118407835378,0.0,0.0,0.2677059203917689,0.0,0.0,0.0,0.8031177611753066,0.05489532686098292,0.0,0.0,0.10979065372196584,0.0,0.0,0.2744766343049146,0.0
0.7035175879396985,0.0,0.8215183524433254,0.8215183524433254,0.0,0.0,0.0,0.0,0.0,0.9022168989461411,2.3095991385790016,0.0,0.0,2.3095991385790016,0.0,0.0,0.0,0.9022168989461411,0.0,2.3095991385790016,0.0,0.0,2.3095991385790016,0.0,0.0,0.0,0.0,0.0,0.0,0.8132700245358093,0.8132700245358093,0.0,0.0,0.0,2.1873400531457707,0.0,0.77995781351291,2.1873400531457707,0.0,0.0,0.0,0.0,0.0,2.1873400531457707,0.77995781351291,0.0,2.1873400531457707,0.0,0.0,0.6373604955564582,0.0,0.0,0.3186802477782291,0.0,0.0,0.0,0.9560407433346874,0.05156478502056815,0.0,0.0,0.1031295700411363,0.0,0.0,0.25782392510284075,0.0
0.8040201005025126,0.0,0.7431555405965291,0.7431555405965291,0.0,0.0,0.0,0.0,0.0,0.8443122530467894,2.1031042015452894,0.0,0.0,2.1031042015452894,0.0,0.0,0.0,0.8443122530467894,0.0,2.1031042015452894,0.0,0.0,2.1031042015452894,0.0,0.0,0.0,0.0,0.0,0.0,0.7299398288505292,0.7299398288505292,0.0,0.0,0.0,2.004245981621919,0.0,0.7454540331234192,2.004245981621919,0.0,0.0,0.0,0.0,0.0,2.004245981621919,0.7454540331234192,0.0,2.004245981621919,0.0,0.0,0.759796641832645,0.0,0.0,0.3798983209163225,0.0,0.0,0.0,1.1396949627489674,0.04926029135155455,0.0,0.0,0.0985205827031091,0.0,0.0,0.24630145675777274,0.0
0.9045226130653267,0.0,0.6884868210412142,0.6884868210412142,0.0,0.0,0.0,0.0,0.0,0.7970505661623408,1.937186275352877,0.0,0.0,1.937186275352877,0.0,0.0,0.0,0.7970505661623408,0.0,1.937186275352877,0.0,0.0,1.937186275352877,0.0,0.0,0.0,0.0,0.0,0.0,0.6636407704067048,0.6636407704067048,0.0,0.0,0.0,1.8553574012596419,0.0,0.7152216920691057,1.8553574012596419,0.0,0.0,0.0,0.0,0.0,1.8553574012596419,0.7152216920691057,0.0,1.8553574012596419,0.0,0.0,0.9065621882566142,0.0,0.0,0.4532810941283071,0.0,0.0,0.0,1.3598432823849211,0.04802095743987642,0.0,0.0,0.09604191487975285,0.0,0.0,0.2401047871993821,0.0
