time,1->1,2->1,3->1,4->1,5->1,6->1,7->1,8->1,1->2,2->2,3->2,4->2,5->2,6->2,7->2,8->2,1->3,2->3,3->3,4->3,5->3,6->3,7->3,8->3,1->4,2->4,3->4,4->4,5->4,6->4,7->4,8->4,1->5,2->5,3->5,4->5,5->5,6->5,7->5,8->5,1->6,2->6,3->6,4->6,5->6,6->6,7->6,8->6,1->7,2->7,3->7,4->7,5->7,6->7,7->7,8->7,1->8,2->8,3->8,4->8,5->8,6->8,7->8,8->8
0.0,-9.699999999668307,-5.000000001587068,-5.000000001587068,0.0,0.0,0.0,0.9999999974752427,0.49999999873762135,5.000000015797923,-62.000007005735824,0.0,0.0,-45.00000000007276,0.0,0.0,0.0,5.000000015797923,0.0,-62.000007005735824,0.0,0.0,-45.00000000007276,0.0,0.0,0.0,0.0,0.0,-5.699999999109195,-2.9999999995311555,-2.9999999995311555,0.3000000035058292,0.5999999999062311,0.0,-14.99999999055035,0.0,3.000000006636583,-58.00001100908503,0.0,0.0,0.0,0.0,0.0,-14.99999999055035,3.000000006636583,0.0,-58.00001100908503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4999999997655777,-0.500000000069889,0.0,0.0,0.0,0.0,0.0,0.0,0.29999999995311555,-1.1999999998124622
0.10050251256281408,-3.8858727240409507,-2.875272372193649,-2.875272372193649,0.0,0.0,0.0,0.5750544751492725,0.2875272375746363,2.103969064748412,-11.631140549361874,0.0,0.0,-6.7494025826064785,0.0,0.0,0.0,2.103969064748412,0.0,-11.631140549361874,0.0,0.0,-6.7494025826064785,0.0,0.0,0.0,0.0,0.0,-2.483098508143655,-2.1382833219618647,-2.1382833210736862,0.21382833281791136,0.4276566647476443,0.0,-2.4683021946358963,0.0,1.3887058862849244,-10.222341497723164,0.0,0.0,0.0,0.0,0.0,-2.4683021946358963,1.3887058862849244,0.0,-10.222341497723164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5557314534397904,-0.5830292393316228,0.0,0.0,0.0,0.0,0.0,0.0,0.2665611276153612,-1.1501824566106933
0.20100502512562815,-2.8594339811505165,-2.0631145511984528,-2.0631145511984528,0.0,0.0,0.0,0.41262290917387645,0.20631145591920586,1.6060841883103194,-7.284311112965014,0.0,0.0,-3.5529286499524915,0.0,0.0,0.0,1.6060841883103194,0.0,-7.284311112965014,0.0,0.0,-3.5529286499524915,0.0,0.0,0.0,0.0,0.0,-1.966674775033539,-1.716601469414769,-1.716601469414769,0.17166014654179662,0.34332029397177166,0.0,-1.427535850195838,0.0,1.1310606817804825,-6.2057546257321405,0.0,0.0,0.0,0.0,0.0,-1.427535850195838,1.1310606817804825,0.0,-6.2057546257321405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6030686973422803,-0.6833703367625787,0.0,0.0,0.0,0.0,0.0,0.0,0.2381587815847297,-1.089977798018893
0.30150753768844224,-2.308743258794266,-1.594506625401948,-1.594506625401948,0.0,0.0,0.0,0.3189013244586647,0.15945066200728775,1.3509712202264268,-5.54134316899102,0.0,0.0,-2.299275256190114,0.0,0.0,0.0,1.3509712202264268,0.0,-5.54134316899102,0.0,0.0,-2.299275256190114,0.0,0.0,0.0,0.0,0.0,-1.7099314701951585,-1.4285269038794013,-1.4285269038794013,0.1428526901214866,0.2857053806870624,0.0,-1.0205426882459179,0.0,1.006816585435999,-4.674859673703402,0.0,0.0,0.0,0.0,0.0,-1.0205426882459179,1.006816585435999,0.0,-4.674859673703402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6429929674544042,-0.8044944395102505,0.0,0.0,0.0,0.0,0.0,0.0,0.21420421925100186,-1.0173033363480855
0.4020100502512563,-1.924971769984296,-1.29010445837352,-1.29010445837352,0.0,0.0,0.0,0.25802089176352183,0.12901044588176092,1.1849694554477708,-4.546134868332885,0.0,0.0,-1.6233357669204196,0.0,0.0,0.0,1.1849694554477708,0.0,-4.546134868332885,0.0,0.0,-1.6233357669204196,0.0,0.0,0.0,0.0,0.0,-1.5341055361606237,-1.2141332390580573,-1.2141332390580573,0.12141332361714774,0.2428266479004293,0.0,-0.7912459093484259,0.0,0.9268478075030728,-3.8477416590687596,0.0,0.0,0.0,0.0,0.0,-0.7912459093484259,0.9268478075030728,0.0,-3.8477416590687596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6763116392759514,-0.9505736735526682,0.0,0.0,0.0,0.0,0.0,0.0,0.1942130163357092,-0.929655796122475
0.5025125628140704,-1.6206757031955732,-1.0800616352391046,-1.0800616352391046,0.0,0.0,0.0,0.21601232713663876,0.10800616356831938,1.065291808988178,-3.87971829041156,0.0,0.0,-1.2044014678913584,0.0,0.0,0.0,1.065291808988178,0.0,-3.87971829041156,0.0,0.0,-1.2044014678913584,0.0,0.0,0.0,0.0,0.0,-1.3912258096659968,-1.0483354375701026,-1.0483354377921472,0.1048335438458281,0.2096670876916562,0.0,-0.6377117186540104,0.0,0.86754016814794,-3.318189961243334,0.0,0.0,0.0,0.0,0.0,-0.6377117186540104,0.86754016814794,0.0,-3.318189961243334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.703664770147384,-1.126602171552804,0.0,0.0,0.0,0.0,0.0,0.0,0.17780113825693888,-0.8240386968338953
0.6030150753768845,-1.3578909587863564,-0.9301449763743364,-0.9301449763743364,0.0,0.0,0.0,0.1860289955413208,0.0930144978816827,0.9740990631890156,-3.3929376900276864,0.0,0.0,-0.9236389066913375,0.0,0.0,0.0,0.9740990631890156,0.0,-3.3929376900276864,0.0,0.0,-0.9236389066913375,0.0,0.0,0.0,0.0,0.0,-1.2623908534070694,-0.9175260804461516,-0.9175260804461516,0.09175260795579732,0.18350521613363924,0.0,-0.5246716737739021,0.0,0.8199437138145527,-2.9430908461414163,0.0,0.0,0.0,0.0,0.0,-0.5246716737739021,0.8199437138145527,0.0,-2.9430908461414163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72552336596965,-1.3385296018242343,0.0,0.0,0.0,0.0,0.0,0.0,0.16468598063035245,-0.6968822388597751
0.7035175879396985,-1.1155085173353285,-0.8215183525672742,-0.8215183525672742,0.0,0.0,0.0,0.16430367055786377,0.08215183511239843,0.9022168989680779,-3.0177246712614902,0.0,0.0,-0.7257737665300468,0.0,0.0,0.0,0.9022168989680779,0.0,-3.0177246712614902,0.0,0.0,-0.7257737665300468,0.0,0.0,0.0,0.0,0.0,-1.13810580926188,-0.8132700246576974,-0.8132700246576974,0.08132700246576974,0.16265400493153948,0.0,-0.43671056820793197,0.0,0.7799578135569973,-2.659195987297913,0.0,0.0,0.0,0.0,0.0,-0.43671056820793197,0.7799578135569973,0.0,-2.659195987297913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.742176075403279,-1.593401238508818,0.0,0.0,0.0,0.0,0.0,0.0,0.15469435504789075,-0.5439592566935936
0.8040201005025126,-0.8795675728867636,-0.7431555406611778,-0.7431555406611778,0.0,0.0,0.0,0.14863110819884895,0.07431555415493563,0.8443122530010783,-2.717601320423313,0.0,0.0,-0.5814141084137248,0.0,0.0,0.0,0.8443122530010783,0.0,-2.717601320423313,0.0,0.0,-0.5814141084137248,0.0,0.0,0.0,0.0,0.0,-1.0124891626217547,-0.7299398288029835,-0.7299398288029835,0.07299398296911619,0.14598796582721008,0.0,-0.3659493979513151,0.0,0.7454540331131021,-2.434242570126255,0.0,0.0,0.0,0.0,0.0,-0.3659493979513151,0.7454540331131021,0.0,-2.434242570126255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.753698543716098,-1.899491604007153,0.0,0.0,0.0,0.0,0.0,0.0,0.14778087401023932,-0.36030503725026364
0.9045226130653267,-0.6395179866225398,-0.6884868210543793,-0.6884868210543793,0.0,0.0,0.0,0.13769736423308032,0.06884868208878459,0.7970505661591964,-2.4706664681350965,0.0,0.0,-0.47352864396277283,0.0,0.0,0.0,0.7970505661591964,0.0,-2.4706664681350965,0.0,0.0,-0.47352864396277283,0.0,0.0,0.0,0.0,0.0,-0.8811203752179253,-0.6636407704485592,-0.6636407704485592,0.06636407701154923,0.13272815402309845,0.0,-0.3078624455365997,0.0,0.7152216920935928,-2.2500260601909794,0.0,0.0,0.0,0.0,0.0,-0.3078624455365997,0.7152216920935928,0.0,-2.2500260601909794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7598952135600143,-2.266405469519839,0.0,0.0,0.0,0.0,0.0,0.0,0.1440628722981785,-0.1401567176068097
1.0050251256281408,-0.3865342304565367,-0.653794625049553,-0.653794625049553,0.0,0.0,0.0,0.13075892513203513,0.06537946256601757,0.7582666515237868,-2.26255585888957,0.0,0.0,-0.3916699780059929,0.0,0.0,0.0,0.7582666515237868,0.0,-2.26255585888957,0.0,0.0,-0.3916699780059929,0.0,0.0,0.0,0.0,0.0,-0.7401066312029414,-0.6116594306604384,-0.6116594306604384,0.0611659430882483,0.1223318860654743,0.0,-0.25960629673749125,0.0,0.688523828784593,-2.0954627244773594,0.0,0.0,0.0,0.0,0.0,-0.25960629673749125,0.688523828784593,0.0,-2.0954627244773594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7601950332846172,-2.705095196731122,0.0,0.0,0.0,0.0,0.0,0.0,0.14388298019002432,0.12305711877963477
