time,7->1,8->1,2->1,3->1,1->2,"2,5->2",5->2,2->2,1->3,"3,6->3",6->3,3->3,7->4,8->4,5->4,6->4,4->5,"2,5->5",2->5,5->5,4->6,"3,6->6",3->6,6->6,->7,8->7,->8,7->8
0.0,0.2,0.1,-5.0,-5.0,5.0,-30.0,3.0,-5.0,5.0,-30.0,3.0,-5.0,0.1,0.2,-3.0,-3.0,3.0,-30.0,5.0,-3.0,3.0,-30.0,5.0,-3.0,2.0,-0.5,-1.5,0.3
0.10050251256281408,0.23321169572366554,0.0888537092664858,-2.1039690642042412,-2.1039690642042412,2.8752723729299694,-5.843588450401158,1.3887058868451823,-2.1039690642042412,2.8752723729299694,-5.843588450401158,1.3887058868451823,-2.1039690642042412,0.11660584786183277,0.1777074185329716,-1.3887058868451823,-1.3887058868451823,2.1382833211980756,-5.843588450401158,2.1039690642042412,-1.3887058868451823,2.1382833211980756,-5.843588450401158,2.1039690642042412,-1.3887058868451823,2.0,-0.44426854633242896,-1.5,0.34981754358549827
0.20100502512562815,0.2733481347061231,0.07938626055291338,-1.6060841881123749,-1.6060841881123749,2.063114550880151,-3.6331573540729543,1.1310606819257063,-1.6060841881123749,2.063114550880151,-3.6331573540729543,1.1310606819257063,-1.6060841881123749,0.13667406735306156,0.15877252110582676,-1.1310606819257063,-1.1310606819257063,1.7166014694834584,-3.6331573540729543,1.6060841881123749,-1.1310606819257063,1.7166014694834584,-3.6331573540729543,1.6060841881123749,-1.1310606819257063,2.0,-0.3969313027645669,-1.5,0.41002220205918466
0.30150753768844224,0.3217977757686493,0.07140140642318422,-1.3509712204762752,-1.3509712204762752,1.5945066250958748,-2.720360462803931,1.0068165855690425,-1.3509712204762752,1.5945066250958748,-2.720360462803931,1.0068165855690425,-1.3509712204762752,0.16089888788432466,0.14280281284636845,-1.0068165855690425,-1.0068165855690425,1.428526903845462,-2.720360462803931,1.3509712204762752,-1.0068165855690425,1.428526903845462,-2.720360462803931,1.3509712204762752,-1.0068165855690425,2.0,-0.3570070321159211,-1.5,0.4826966636529739
0.4020100502512563,0.3802294692590982,0.06473767213141311,-1.184969455854433,-1.184969455854433,1.2901044585134958,-2.1965726843021365,0.926847807532,-1.184969455854433,1.2901044585134958,-2.1965726843021365,0.926847807532,-1.184969455854433,0.1901147346295491,0.12947534426282623,-0.926847807532,-0.926847807532,1.2141332387106465,-2.1965726843021365,1.184969455854433,-0.926847807532,1.2141332387106465,-2.1965726843021365,1.184969455854433,-0.926847807532,2.0,-0.3236883606570656,-1.5,0.5703442038886471
0.5025125628140704,0.4506408688088752,0.05926704606722652,-1.065291809119532,-1.065291809119532,1.080061635562617,-1.848366870568624,0.8675401682175266,-1.065291809119532,1.080061635562617,-1.848366870568624,0.8675401682175266,-1.065291809119532,0.2253204344044376,0.11853409213445304,-0.8675401682175266,-0.8675401682175266,1.0483354377529046,-1.848366870568624,1.065291809119532,-0.8675401682175266,1.0483354377529046,-1.848366870568624,1.065291809119532,-0.8675401682175266,2.0,-0.29633523033613257,-1.5,0.6759613032133127
0.6030150753768845,0.5354118407835378,0.05489532686098292,-0.9740990632118053,-0.9740990632118053,0.9301449766328159,-1.5974128069910722,0.8199437137964557,-0.9740990632118053,0.9301449766328159,-1.5974128069910722,0.8199437137964557,-0.9740990632118053,0.2677059203917689,0.10979065372196584,-0.8199437137964557,-0.8199437137964557,0.9175260804115053,-1.5974128069910722,0.9740990632118053,-0.8199437137964557,0.9175260804115053,-1.5974128069910722,0.9740990632118053,-0.8199437137964557,2.0,-0.2744766343049146,-1.5,0.8031177611753066
0.7035175879396985,0.6373604955564582,0.05156478502056815,-0.9022168989461411,-0.9022168989461411,0.8215183524433254,-1.4073822396328606,0.77995781351291,-0.9022168989461411,0.8215183524433254,-1.4073822396328606,0.77995781351291,-0.9022168989461411,0.3186802477782291,0.1031295700411363,-0.77995781351291,-0.77995781351291,0.8132700245358093,-1.4073822396328606,0.9022168989461411,-0.77995781351291,0.8132700245358093,-1.4073822396328606,0.9022168989461411,-0.77995781351291,2.0,-0.25782392510284075,-1.5,0.9560407433346874
0.8040201005025126,0.759796641832645,0.04926029135155455,-0.8443122530467894,-0.8443122530467894,0.7431555405965291,-1.2587919484985,0.7454540331234192,-0.8443122530467894,0.7431555405965291,-1.2587919484985,0.7454540331234192,-0.8443122530467894,0.3798983209163225,0.0985205827031091,-0.7454540331234192,-0.7454540331234192,0.7299398288505292,-1.2587919484985,0.8443122530467894,-0.7454540331234192,0.7299398288505292,-1.2587919484985,0.8443122530467894,-0.7454540331234192,2.0,-0.24630145675777274,-1.5,1.1396949627489674
0.9045226130653267,0.9065621882566142,0.04802095743987642,-0.7970505661623408,-0.7970505661623408,0.6884868210412142,-1.1401357091905362,0.7152216920691057,-0.7970505661623408,0.6884868210412142,-1.1401357091905362,0.7152216920691057,-0.7970505661623408,0.4532810941283071,0.09604191487975285,-0.7152216920691057,-0.7152216920691057,0.6636407704067048,-1.1401357091905362,0.7970505661623408,-0.7152216920691057,0.6636407704067048,-1.1401357091905362,0.7970505661623408,-0.7152216920691057,2.0,-0.2401047871993821,-1.5,1.3598432823849211
1.0050251256281408,1.0820380791912159,0.04796099340493479,-0.7582666515309948,-0.7582666515309948,0.6537946250398216,-1.044169316311809,0.6885238287900148,-0.7582666515309948,0.6537946250398216,-1.044169316311809,0.6885238287900148,-0.7582666515309948,0.5410190395956079,0.09592198680986957,-0.6885238287900148,-0.6885238287900148,0.6116594306745382,-1.044169316311809,0.7582666515309948,-0.6885238287900148,0.6116594306745382,-1.044169316311809,0.7582666515309948,-0.6885238287900148,2.0,-0.2398049670246739,-1.5,1.623057118786824
1.105527638190955,1.2910784660473174,0.04930664671533899,-0.7265532398786162,-0.7265532398786162,0.6374649460084133,-0.9661601381950251,0.6648928703121877,-0.7265532398786162,0.6374649460084133,-0.9661601381950251,0.6648928703121877,-0.7265532398786162,0.6455392330236587,0.09861329343067798,-0.6648928703121877,-0.6648928703121877,0.5721645129678543,-0.9661601381950251,0.7265532398786162,-0.6648928703121877,0.5721645129678543,-0.9661601381950251,0.7265532398786162,-0.6648928703121877,2.0,-0.24653323357669493,-1.5,1.9366176990709758
