time,->1,2->1,->2,1->2,->3,4->3,"1,2,3->3",->4,5->4,"1,2,4->4",->5,3->5,"1,2,5->5"
0.0,2.0,-0.5,-1.5,0.3,3.0,-0.6000000000000001,-0.8,4.0,-0.8,-1.2000000000000002,4.5,-0.4,-1.6
0.10101010101010101,2.0,-0.4440092962474002,-1.5,0.3500939305724202,3.0,-0.716499997747288,-0.9609226052120552,4.0,-1.0023985798523178,-1.485017510655999,4.5,-0.4636315999840391,-2.077570758433449
0.20202020202020202,2.0,-0.39649248220938893,-1.5,0.41069012208790984,3.0,-0.8149376422808564,-1.1346592053317082,4.0,-1.1876059252951374,-1.7693442116807085,4.5,-0.5226097282150305,-2.5784594558640923
0.30303030303030304,2.0,-0.356454757523243,-1.5,0.48390605254670355,3.0,-0.8862898901667293,-1.3191049978666607,4.0,-1.3309697809262575,-2.0383558385386302,4.5,-0.5735551180876262,-3.061063940782569
0.40404040404040403,2.0,-0.32307861603187094,-1.5,0.5722890557825417,3.0,-0.9280806795966616,-1.5137099216301966,4.0,-1.4173750548413144,-2.2879583956585656,4.5,-0.6140168175454921,-3.4941953084623516
0.5050505050505051,2.0,-0.29571724477347866,-1.5,0.6788909106420218,3.0,-0.9429819472490101,-1.7194804502839032,4.0,-1.4442016836998637,-2.52417092805373,4.5,-0.6423649861602421,-3.865834245158474
0.6060606060606061,2.0,-0.2738964854189495,-1.5,0.8073501030708915,3.0,-0.9357395556307175,-1.9386933764546397,4.0,-1.4183303812710262,-2.7589389441434125,4.5,-0.6575397699317773,-4.181812023445847
0.7070707070707071,2.0,-0.25732882041135546,-1.5,0.961978021155527,3.0,-0.9107084346842639,-2.174727817792147,4.0,-1.3509155972352496,-3.0058802456698333,4.5,-0.6588895115362341,-4.4588260662201
0.8080808080808081,2.0,-0.24594543353123596,-1.5,1.1478408590706757,3.0,-0.8708139980633792,-2.432147871933098,4.0,-1.2533002936647941,-3.27781608161771,4.5,-0.6461462020755366,-4.717526207441222
0.9090909090909091,2.0,-0.23995712517817167,-1.5,1.3708206188159495,3.0,-0.8176197134970824,-2.7169370045402106,4.0,-1.1350779209886013,-3.585951150126908,4.5,-0.6194789505604872,-4.978272794870984
1.0101010101010102,2.0,-0.23996367260669332,-1.5,1.6376227729686919,3.0,-0.751943327926476,-3.0366931723184085,4.0,-1.0037773365345062,-3.9398820098136316,4.5,-0.5795658763884467,-5.259391397190022
1.1111111111111112,2.0,-0.24714811654032165,-1.5,1.9556678638203966,3.0,-0.6746407829485197,-3.4005680187177143,4.0,-0.8653548995043967,-4.347741677608986,4.5,-0.5276674744574695,-5.576804215800717
1.2121212121212122,2.0,-0.26362559780299444,-1.5,2.3327455097640324,3.0,-0.5873500186843142,-3.8186947229128836,4.0,-0.7249116459591296,-4.816046408359912,4.5,-0.46571611373163446,-5.943999349349087
1.3131313131313131,2.0,-0.29308317427492325,-1.5,2.776192387220942,3.0,-0.49304554541802625,-4.300760687291889,4.0,-0.5873080046263482,-5.3489214660175275,4.5,-0.3964296189895278,-6.371550097762917
1.4141414141414141,2.0,-0.3419825779556142,-1.5,3.291121412531763,3.0,-0.3962405859886099,-4.853220738858011,4.0,-0.4574904458486768,-5.946283070495119,4.5,-0.323402536794645,-6.86544435188537
1.5151515151515151,2.0,-0.4218688135395392,-1.5,3.876761562626469,3.0,-0.3026697342356137,-5.474354009562843,4.0,-0.34041258033873023,-6.600156666730662,4.5,-0.2510427186581914,-7.423194681938866
