time,1->1,2->1,3->1,4->1,5->1,1->2,2->2,3->2,4->2,5->2,1->3,2->3,3->3,4->3,5->3,1->4,2->4,3->4,4->4,5->4,1->5,2->5,3->5,4->5,5->5
0.0,1.4999999997655777,-0.500000000069889,0.0,0.0,0.0,0.29999999995311555,-1.1999999998124622,0.0,0.0,0.0,-1.5999999996019199,-1.5999999996019199,0.7999996003427157,-0.40000000023354687,0.0,-3.5999999994373866,-3.5999999994373866,0.0,0.7999995998986265,-0.5999999999062311,-6.399999998407679,-6.399999998407679,-0.7999999986907369,0.0,0.8999996019554146
0.10101010101010101,1.5559907038387166,-0.583489884187216,0.0,0.0,0.0,0.26640557782009466,-1.1499060694752927,0.0,0.0,0.0,-1.9088337985806447,-2.5084727321988964,0.3616543775564196,-0.46363159933449083,0.0,-4.558840999813185,-5.990950258549788,0.0,0.027565985050159725,-0.7164999997755217,-8.922836684632784,-11.7258467096093,-1.0023985836937754,0.0,-0.11877353145450797
0.20202020202020202,1.6035075178777447,-0.6844835365171775,0.0,0.0,0.0,0.23789548919683767,-1.0893098779662935,0.0,0.0,0.0,-2.1658078943609382,-3.738935575814395,-0.0842564875647156,-0.5226097274935171,0.0,-5.26639839559806,-9.091630138513551,0.0,-0.7262947825381616,-0.8149376427013522,-11.184322060486807,-19.308018851305064,-1.1876059247128978,0.0,-1.1795290770777456
0.30303030303030304,1.6435452425689334,-0.8065100876031295,0.0,0.0,0.0,0.21387285453755567,-1.0160939474257447,0.0,0.0,0.0,-2.3452261608269964,-5.306279456718244,-0.5245003458220765,-0.5735551185104271,0.0,-5.599973885939136,-12.670431057681952,0.0,-1.4076819176978006,-0.886289890367209,-12.629053451007621,-28.574338794662424,-1.3309697814989363,0.0,-2.1956834563852112
0.40404040404040403,1.6769213835310381,-0.9538150926857725,0.0,0.0,0.0,0.19384716953840808,-0.927710944287341,0.0,0.0,0.0,-2.436120363880079,-7.192083463891663,-0.9555010163087019,-0.6140168178347949,0.0,-5.565570301735434,-16.43106257653848,0.0,-1.9932923396304147,-0.9280806800848751,-12.98098892643651,-38.32337565023991,-1.4173750555457332,0.0,-3.1024079252262027
0.5050505050505051,1.704282755810027,-1.13148485114678,0.0,0.0,0.0,0.17743034691486415,-0.8211090893883721,0.0,0.0,0.0,-2.4404525504895247,-9.33775468991982,-1.3819433830608574,-0.6423649865361369,0.0,-5.259123920742237,-20.122664972505035,0.0,-2.4925440759160367,-0.9429819498862901,-12.335658591149102,-47.199177799703286,-1.4442016845403471,0.0,-3.8740340130155593
0.6060606060606061,1.726103515231614,-1.3455835041753517,0.0,0.0,0.0,0.1643378912952187,-0.6926498969384021,0.0,0.0,0.0,-2.368429741550493,-11.63549063826208,-1.8131268978427428,-0.6575397702990315,0.0,-4.796521903438489,-23.564087522576216,0.0,-2.9362088587170376,-0.935739554064341,-11.019737937711938,-54.13715908986205,-1.4183303820303195,0.0,-4.521164405524303
0.7070707070707071,1.7426711798051997,-1.60329670251258,0.0,0.0,0.0,0.15439729228461374,-0.5380219788575502,0.0,0.0,0.0,-2.2343109468692113,-13.92095672941851,-2.2601647302611383,-0.6588895119508109,0.0,-4.268518249750386,-26.5951603197756,0.0,-3.362676748608351,-0.9107084373294327,-9.392362735560766,-58.51946226442806,-1.350915598052893,0.0,-5.076542303861231
0.8080808080808081,1.754054566482921,-1.9130680986023663,0.0,0.0,0.0,0.14756726021691868,-0.3521591409039182,0.0,0.0,0.0,-2.053668545110021,-15.97430665578603,-2.735110496421278,-0.6461462024320852,0.0,-3.730092161813303,-29.014241958780218,0.0,-3.8089332083934835,-0.870813998687936,-7.726432982302356,-60.09947914087377,-1.2533002946568672,0.0,-5.581199370219281
0.9090909090909091,1.7600428758868247,-2.2847010310300675,0.0,0.0,0.0,0.14397427518936246,-0.12917938117806838,0.0,0.0,0.0,-1.8416909497442902,-17.535270967261596,-3.2514946013417756,-0.619478950802943,0.0,-3.2082363410346204,-30.546543987153285,0.0,-4.306981097101925,-0.8176197141551711,-6.183224260603026,-58.87226238510124,-1.1350779214325257,0.0,-6.076025415246988
1.0101010101010102,1.7600363282355147,-2.729371287202298,0.0,0.0,0.0,0.14397820354006274,0.1376227729554813,0.0,0.0,0.0,-1.6120596590951664,-18.335730992635746,-3.8253307215185828,-0.5795658770679779,0.0,-2.713599283055146,-30.864755044657244,0.0,-4.883542403799623,-0.7519433267155762,-4.835598869767921,-55.0005947861365,-1.0037773341409206,0.0,-6.598349722608532
1.1111111111111112,1.7528518849729835,-3.259446438974578,0.0,0.0,0.0,0.14828886998885515,0.4556678638023559,0.0,0.0,0.0,-1.3762836510444743,-18.150746637246584,-4.47577810946953,-0.5276674746035326,0.0,-2.2497407945465397,-29.670101175938157,0.0,-5.560839542617657,-0.6746407832380896,-3.7014834726178947,-48.816018901831626,-0.865354900625448,0.0,-7.181277194234781
1.2121212121212122,1.7363744024834205,-3.88790918393056,0.0,0.0,0.0,0.1581753586443746,0.8327455097711933,0.0,0.0,0.0,-1.1435630211664716,-16.86508898046668,-5.2247411042039005,-0.46571611411749814,0.0,-1.8189114117106442,-26.82502165640699,0.0,-6.357006102852836,-0.5873500192876691,-2.7706886589484725,-40.86168402928081,-0.7249116471541583,0.0,-7.853716451400317
1.3131313131313131,1.706916824772975,-4.626987312406072,0.0,0.0,0.0,0.1758499045267925,1.276192387211772,0.0,0.0,0.0,-0.9211981799595037,-14.543217337514847,-6.094569088954671,-0.3964296189096217,0.0,-1.4249346920180983,-22.495848731374224,0.0,-7.285153107439157,-0.4930455457241578,-2.02186764042267,-31.919798733071048,-0.587308005783882,0.0,-8.63953198404488
1.4141414141414141,1.6580174211355825,-5.485202354549301,0.0,0.0,0.0,0.2051895464649789,1.7911214125199137,0.0,0.0,0.0,-0.7153536900617041,-11.473858609889476,-7.102685064541703,-0.32340253719453926,0.0,-1.073870450341019,-17.224259657666607,0.0,-8.350059587769465,-0.39624058523202166,-1.4315220262517414,-22.96078367880483,-0.45749044552678697,0.0,-9.554294243763195
1.5151515151515151,1.578131183066489,-6.4612692725063425,0.0,0.0,0.0,0.2531212883738476,2.376761563116503,0.0,0.0,0.0,-0.5317440949781371,-8.14409995220089,-8.251382114021766,-0.2510427190571818,0.0,-0.772939332982503,-11.838204202696545,0.0,-9.540730275148235,-0.30266973460868485,-0.9777292753199163,-14.974731334049807,-0.3404125799022495,0.0,-10.59743644127309
1.6161616161616161,1.4461732646964265,-7.531801632154611,0.0,0.0,0.0,0.33229604001761004,3.0190809803265495,0.0,0.0,0.0,-0.3756882334116085,-5.109195876151773,-9.509877891389351,-0.18416701230705712,0.0,-0.5282327917299767,-7.18373521735316,0.0,-10.815346597414788,-0.21837892472120757,-0.6407229475868803,-8.71355219889125,-0.24051002611713557,0.0,-11.736055566480275
1.7171717171717171,1.2232059631855918,-8.627479537892668,0.0,0.0,0.0,0.4660764227892855,3.6764877249240158,0.0,0.0,0.0,-0.2512080858885213,-2.7900479548925716,-10.783508920919616,-0.127159516249975,0.0,-0.3420817589194769,-3.799338350596315,0.0,-12.072195115120365,-0.14838739792466527,-0.4019152135548154,-4.463879892391276,-0.16084193354970466,0.0,-12.87399250360366
