time,A_1_1,A_1_2,A_1_3,A_1_4,A_1_5,A_2_1,A_2_2,A_2_3,A_2_4,A_2_5,A_3_1,A_3_2,A_3_3,A_3_4,A_3_5,A_4_1,A_4_2,A_4_3,A_4_4,A_4_5,A_5_1,A_5_2,A_5_3,A_5_4,A_5_5
0.0,0.0,8.000000000000002,7.000000000000001,6.000000000000001,5.000000000000001,0.9999999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.10050251256281408,0.0,5.803514781181512,5.078075433533822,4.352636085886133,3.6271967382384447,1.8248560697758067,0.0,0.0,0.0,0.0,1.6715488520488784,0.0,0.0,0.0,0.0,1.5311210648852234,0.0,0.0,0.0,0.0,1.402490701151743,0.0,0.0,0.0,0.0
0.20100502512562815,0.0,3.3262971084476036,2.910509969891653,2.4947228313357024,2.078935692779752,2.6016046131770163,0.0,0.0,0.0,0.0,2.2512524385566905,0.0,0.0,0.0,0.0,1.948081433194527,0.0,0.0,0.0,0.0,1.685737797091514,0.0,0.0,0.0,0.0
0.30150753768844224,0.0,1.6396380237075363,1.4346832707440942,1.229728517780652,1.0247737648172102,2.9954443216565076,0.0,0.0,0.0,0.0,2.5149868054886033,0.0,0.0,0.0,0.0,2.111592812357017,0.0,0.0,0.0,0.0,1.7729016389020626,0.0,0.0,0.0,0.0
0.4020100502512563,0.0,0.7764486570639308,0.6793925749309394,0.5823364927979481,0.48528041066495675,3.042320031298828,0.0,0.0,0.0,0.0,2.5175635386396715,0.0,0.0,0.0,0.0,2.0833200215179626,0.0,0.0,0.0,0.0,1.7239772765527042,0.0,0.0,0.0,0.0
0.5025125628140704,0.0,0.3786602088336947,0.3313276827294828,0.28399515662527103,0.23666263052105918,2.9082878784130175,0.0,0.0,0.0,0.0,2.390027586846664,0.0,0.0,0.0,0.0,1.9641219027408001,0.0,0.0,0.0,0.0,1.6141131124005101,0.0,0.0,0.0,0.0
0.6030150753768845,0.0,0.19597128969468813,0.17147487848285212,0.1469784672710161,0.12248205605918008,2.704142599116791,0.0,0.0,0.0,0.0,2.2145736350903897,0.0,0.0,0.0,0.0,1.8136382429958606,0.0,0.0,0.0,0.0,1.4852898270227326,0.0,0.0,0.0,0.0
0.7035175879396985,0.0,0.10862504333383326,0.09504691291710408,0.08146878250037494,0.06789065208364578,2.482023028202233,0.0,0.0,0.0,0.0,2.0289126706181797,0.0,0.0,0.0,0.0,1.6585207377828775,0.0,0.0,0.0,0.0,1.355746400325422,0.0,0.0,0.0,0.0
0.8040201005025126,0.0,0.06449668896555873,0.05643460284486388,0.04837251672416904,0.0403104306034742,2.263770482663232,0.0,0.0,0.0,0.0,1.8485476783381796,0.0,0.0,0.0,0.0,1.5094854259979325,0.0,0.0,0.0,0.0,1.2326142776926772,0.0,0.0,0.0,0.0
0.9045226130653267,0.0,0.0408824151691347,0.03577211327299286,0.03066181137685102,0.025551509480709184,2.0579443796403654,0.0,0.0,0.0,0.0,1.6793869754341346,0.0,0.0,0.0,0.0,1.3704649493153647,0.0,0.0,0.0,0.0,1.118368912614054,0.0,0.0,0.0,0.0
1.0050251256281408,0.0,0.027535768554122892,0.02409379748485753,0.020651826415592166,0.017209855346326807,1.867466594285388,0.0,0.0,0.0,0.0,1.5233041584604579,0.0,0.0,0.0,0.0,1.2425687229100484,0.0,0.0,0.0,0.0,1.0135710779639906,0.0,0.0,0.0,0.0
1.105527638190955,0.0,0.019609133519713554,0.017157991829749357,0.014706850139785165,0.012255708449820971,1.6928550166227545,0.0,0.0,0.0,0.0,1.380469209828294,0.0,0.0,0.0,0.0,1.1257285701398014,0.0,0.0,0.0,0.0,0.9179957149293488,0.0,0.0,0.0,0.0
