time,x1,x2,x3,x4,x5
2.311557788944723857e+00,7.468982249214419812e-03,5.118373567146290437e-01,4.168726305174353941e-01,3.395273702466725108e-01,2.765325118894297329e-01
2.412060301507537918e+00,7.877572884630078612e-03,4.631821743938322467e-01,3.772157320814468195e-01,3.072046329561604061e-01,2.501875688087653038e-01
2.512562814070351980e+00,8.426118807383630241e-03,4.191682446604111933e-01,3.413428465648821741e-01,2.779670012889338127e-01,2.263579123565461759e-01
2.613065326633166041e+00,9.128180361908154114e-03,3.793557729487590513e-01,3.088949996896530603e-01,2.515214701879585069e-01,2.048043843637288308e-01
2.713567839195980103e+00,1.000310868384795236e-02,3.433463924092233222e-01,2.795470956452463795e-01,2.276027392482430356e-01,1.853104823792484923e-01
2.814070351758794164e+00,1.107650145500062300e-02,3.107793910553822703e-01,2.530048119383411787e-01,2.059706573606584490e-01,1.676802569707662172e-01
2.914572864321608225e+00,1.238098295370578146e-02,2.813282493250660599e-01,2.290017552193120420e-01,1.864078865727238909e-01,1.517363930091476520e-01
3.015075376884422287e+00,1.395730629607291190e-02,2.546974755616061015e-01,2.072968653622460078e-01,1.687177727262310634e-01,1.373184631108049780e-01
3.115577889447236348e+00,1.585580317570152442e-02,2.306197210373642503e-01,1.876720512685487730e-01,1.527224081370276154e-01,1.242813402015618129e-01
3.216080402010050410e+00,1.813822557233289376e-02,2.088531554522714273e-01,1.699300416808713354e-01,1.382608717424070044e-01,1.124937565493750596e-01
3.316582914572864471e+00,2.088004336806135314e-02,1.891790831996460198e-01,1.538924341314829858e-01,1.251876323033381255e-01,1.018369969861000063e-01
3.417085427135678533e+00,2.417328270071133350e-02,1.713997812733634163e-01,1.393979258252690256e-01,1.133711009661661356e-01,9.220371476027930391e-02
3.517587939698492594e+00,2.813001189702959287e-02,1.553365406172488583e-01,1.263007111445738628e-01,1.026923203210170082e-01,8.349685923270368237e-02
3.618090452261306655e+00,3.288660967035537258e-02,1.408278939914510419e-01,1.144690315953102583e-01,9.304377809700718760e-02,7.562870551189948554e-02
3.718592964824120717e+00,3.860897940979027970e-02,1.277280147677791189e-01,1.037838651217931479e-01,8.432833455663640843e-02,6.851997689743044573e-02
3.819095477386934778e+00,4.549891145874319920e-02,1.159052725644334342e-01,9.413774296270610575e-02,7.645825369243974823e-02,6.209905187351658779e-02
3.919597989949748840e+00,5.380183965924698053e-02,1.052409332062019531e-01,8.543368345987595314e-02,6.935432931164904613e-02,5.630124818116900853e-02
4.020100502512563345e+00,6.381629116385610645e-02,9.562799208753600122e-02,7.758423346519337238e-02,6.294509806186025791e-02,5.106817726439637911e-02
4.120603015075377407e+00,7.590539331854614935e-02,8.697013179922390147e-02,7.051060932506381107e-02,5.716613246026387707e-02,4.634716316027930744e-02
4.221105527638191468e+00,9.051087836880858384e-02,7.918079680724539327e-02,6.414193081076585701e-02,5.195940800122498399e-02,4.209072065146290953e-02
4.321608040201005529e+00,1.081701194629309803e-01,7.218238022193197712e-02,5.841454292579481566e-02,4.727273951295856563e-02,3.825608827978850546e-02
4.422110552763819591e+00,1.295368424730722334e-01,6.590552042999155147e-02,5.327142234394025011e-02,4.305928315368771908e-02,3.480481264459536761e-02
4.522613065326633652e+00,1.554062902239019550e-01,6.028850883898725921e-02,4.866166746310347097e-02,3.927710186493862249e-02,3.170238132568090061e-02
4.623115577889447714e+00,1.867457723175814377e-01,5.527681463884035612e-02,4.454007394542831844e-02,3.588879386705413899e-02,2.891790284625204294e-02
4.723618090452261775e+00,2.247317175902485142e-01,5.082273896380946204e-02,4.086680151031151648e-02,3.286118607664606506e-02,2.642383341770253649e-02
4.824120603015075837e+00,2.707945595093966262e-01,4.688522019568813065e-02,3.760714322956713873e-02,3.016509744759660050e-02,2.419575193242711267e-02
4.924623115577889898e+00,3.266730278757403738e-01,4.342982609918894649e-02,3.473141656506350400e-02,2.777518165660383676e-02,2.221218701699103140e-02
5.025125628140703959e+00,3.944796893196242382e-01,4.042898987511436143e-02,3.221500739778637712e-02,2.566986502801023307e-02,2.045450327910083160e-02
5.125628140703518021e+00,4.767798630722555053e-01,3.786258091299145312e-02,3.003861685319155275e-02,2.383140536648070337e-02,1.890685874709950587e-02
5.226130653266332082e+00,5.766863116068332573e-01,3.571895547813806748e-02,2.818879015860757675e-02,2.224611252995946711e-02,1.755625284374023529e-02
5.326633165829146144e+00,6.979723149165442120e-01,3.399672287322258457e-02,2.665885465680872812e-02,2.090479571586398647e-02,1.639269562148743670e-02
5.427135678391960205e+00,8.452057777025359098e-01,3.270761643831966020e-02,2.545047406441256280e-02,1.980354184969526990e-02,1.540954709349805565e-02
5.527638190954774267e+00,1.023906700411338910e+00,3.188112238927108544e-02,2.457616030436840862e-02,1.894499412799901736e-02,1.460410442096812637e-02
5.628140703517588328e+00,1.240729176274369294e+00,3.157203930475856180e-02,2.406334290632616488e-02,1.834042124646218311e-02,1.397856751888447609e-02
5.728643216080402389e+00,1.503666585193451422e+00,3.187295931364558105e-02,2.396099102759586402e-02,1.801304730780947660e-02,1.354158876108419070e-02
5.829145728643216451e+00,1.822272577745523314e+00,3.293556451479488084e-02,2.435068494142108783e-02,1.800351417589608066e-02,1.331077715120289676e-02
5.929648241206030512e+00,2.207878556650229918e+00,3.500797487903112987e-02,2.536555359418119979e-02,1.837899433807231933e-02,1.331677842491152397e-02
6.030150753768844574e+00,2.673762136281645052e+00,3.850290639106084684e-02,2.722382102289530939e-02,1.924884597656413218e-02,1.361006969972326612e-02
6.130653266331658635e+00,3.235166014627426812e+00,4.412741615711475440e-02,3.029048412939839424e-02,2.079236972982230827e-02,1.427255763448688659e-02
6.231155778894472697e+00,3.908944263884691406e+00,5.314201764425658531e-02,3.519561618518519258e-02,2.330983400943017689e-02,1.543795750841247920e-02
6.331658291457286758e+00,4.712332747741069916e+00,6.790612940970038036e-02,4.307196267046826954e-02,2.731998351742660064e-02,1.732871121663551173e-02
6.432160804020100819e+00,5.659671016595745563e+00,9.309234456258198842e-02,5.605547523815136018e-02,3.375376426150873688e-02,2.032480830261816640e-02
6.532663316582914881e+00,6.754250031854756031e+00,1.385443663489095423e-01,7.838854215895130206e-02,4.435232868205325057e-02,2.509460411433867000e-02
6.633165829145728942e+00,7.968346474519384159e+00,2.263235204292673164e-01,1.189309261570364179e-01,6.249712873525600093e-02,3.284168477299208994e-02
6.733668341708543004e+00,9.195089575656819392e+00,4.083083766426173211e-01,1.968181301332966593e-01,9.487288031387174081e-02,4.573189258704783017e-02
6.834170854271357065e+00,1.014273031759334032e+01,8.062586873847483737e-01,3.525003228791084853e-01,1.541149595297424124e-01,6.737987002607312426e-02
6.934673366834171127e+00,1.018508914213605365e+01,1.665751462316168885e+00,6.568215549921245788e-01,2.589910419142905651e-01,1.021226736558055875e-01
7.035175879396985188e+00,8.546691269782778377e+00,3.239545277835740755e+00,1.160796348838230907e+00,4.159375913862831120e-01,1.490391644477453981e-01
7.135678391959799249e+00,5.523970866239025668e+00,5.179429270487446502e+00,1.728316219781910856e+00,5.767195338999815402e-01,1.924448125014744382e-01
7.236180904522613311e+00,2.820305612556287755e+00,6.504346991519359023e+00,2.083165674819467572e+00,6.671816258802290012e-01,2.136802762234780995e-01
7.336683417085427372e+00,1.288024802024488435e+00,6.888046822280048609e+00,2.162960998342968288e+00,6.792058922935589882e-01,2.132820442630190549e-01
7.437185929648241434e+00,5.866029768054441540e-01,6.691228523310150500e+00,2.082458130135159902e+00,6.481072093829529646e-01,2.017053976076172150e-01
7.537688442211055495e+00,2.811773284241896875e-01,6.255815142461067069e+00,1.938880783527032525e+00,6.009224982428377215e-01,1.862455544387099926e-01
7.638190954773869557e+00,1.445780015002579577e-01,5.751267141435822516e+00,1.778852034564156748e+00,5.501945288788490096e-01,1.701738417948794324e-01
7.738693467336683618e+00,8.002951400006354243e-02,5.246912769941129540e+00,1.621088144213170823e+00,5.008521858790810910e-01,1.547435695756086416e-01
7.839195979899497679e+00,4.756947403432374571e-02,4.768947632385986957e+00,1.472497409780543220e+00,4.546599333573121404e-01,1.403844231352832372e-01
7.939698492462311741e+00,3.022003947893169007e-02,4.326165273737131223e+00,1.335269911628329975e+00,4.121308998720692451e-01,1.272041807160744498e-01
8.040201005025126690e+00,2.040989648623508373e-02,3.920342059845216554e+00,1.209710221579786360e+00,3.732835889456333489e-01,1.151851619051205977e-01
8.140703517587940752e+00,1.457678736539432494e-02,3.550411816346525029e+00,1.095369922912062588e+00,3.379426860165005708e-01,1.042618399451989974e-01
8.241206030150754813e+00,1.095389443500086740e-02,3.214193334380921030e+00,9.915142460027605020e-01,3.058623910745532082e-01,9.435247427097705197e-02
8.341708542713568875e+00,8.620368075352781087e-03,2.909130415299944428e+00,8.973209204373177039e-01,2.767786290103925739e-01,8.537238372649581797e-02
8.442211055276382936e+00,7.073974421151643308e-03,2.632617231111693989e+00,8.119668426682659090e-01,2.504315425306000154e-01,7.723957147138781065e-02
8.542713567839196998e+00,6.029382207266416500e-03,2.382141938203257592e+00,7.346656933262469824e-01,2.265750286209168574e-01,6.987702719340049828e-02
8.643216080402011059e+00,5.318613861625624828e-03,2.155347385112233116e+00,6.646832518544356638e-01,2.049804080320747901e-01,6.321353305111707122e-02
8.743718592964825120e+00,4.839800277713675845e-03,1.950052840141178301e+00,6.013422799026000298e-01,1.854373697261019749e-01,5.718378140462194309e-02
8.844221105527639182e+00,4.529788318154853027e-03,1.764257016917298415e+00,5.440224458770565041e-01,1.677536360839931018e-01,5.172817533975580806e-02
