time,->1,2->1,3->1,4->1,5->1,->2,1->2,->3,1->3,->4,1->4,->5,1->5
0.0,2.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1.0,8.000000000000002,-1.0,7.000000000000001,-1.0,6.000000000000001,-1.0,5.000000000000001
0.10050251256281408,2.0,-1.8248560697758067,-1.6715488520488784,-1.5311210648852234,-1.402490701151743,-1.0,5.803514781181512,-1.0,5.078075433533822,-1.0,4.352636085886133,-1.0,3.6271967382384447
0.20100502512562815,2.0,-2.6016046131770163,-2.2512524385566905,-1.948081433194527,-1.685737797091514,-1.0,3.3262971084476036,-1.0,2.910509969891653,-1.0,2.4947228313357024,-1.0,2.078935692779752
0.30150753768844224,2.0,-2.9954443216565076,-2.5149868054886033,-2.111592812357017,-1.7729016389020626,-1.0,1.6396380237075363,-1.0,1.4346832707440942,-1.0,1.229728517780652,-1.0,1.0247737648172102
0.4020100502512563,2.0,-3.042320031298828,-2.5175635386396715,-2.0833200215179626,-1.7239772765527042,-1.0,0.7764486570639308,-1.0,0.6793925749309394,-1.0,0.5823364927979481,-1.0,0.48528041066495675
0.5025125628140704,2.0,-2.9082878784130175,-2.390027586846664,-1.9641219027408001,-1.6141131124005101,-1.0,0.3786602088336947,-1.0,0.3313276827294828,-1.0,0.28399515662527103,-1.0,0.23666263052105918
0.6030150753768845,2.0,-2.704142599116791,-2.2145736350903897,-1.8136382429958606,-1.4852898270227326,-1.0,0.19597128969468813,-1.0,0.17147487848285212,-1.0,0.1469784672710161,-1.0,0.12248205605918008
0.7035175879396985,2.0,-2.482023028202233,-2.0289126706181797,-1.6585207377828775,-1.355746400325422,-1.0,0.10862504333383326,-1.0,0.09504691291710408,-1.0,0.08146878250037494,-1.0,0.06789065208364578
0.8040201005025126,2.0,-2.263770482663232,-1.8485476783381796,-1.5094854259979325,-1.2326142776926772,-1.0,0.06449668896555873,-1.0,0.05643460284486388,-1.0,0.04837251672416904,-1.0,0.0403104306034742
0.9045226130653267,2.0,-2.0579443796403654,-1.6793869754341346,-1.3704649493153647,-1.118368912614054,-1.0,0.0408824151691347,-1.0,0.03577211327299286,-1.0,0.03066181137685102,-1.0,0.025551509480709184
1.0050251256281408,2.0,-1.867466594285388,-1.5233041584604579,-1.2425687229100484,-1.0135710779639906,-1.0,0.027535768554122892,-1.0,0.02409379748485753,-1.0,0.020651826415592166,-1.0,0.017209855346326807
1.105527638190955,2.0,-1.6928550166227545,-1.380469209828294,-1.1257285701398014,-0.9179957149293488,-1.0,0.019609133519713554,-1.0,0.017157991829749357,-1.0,0.014706850139785165,-1.0,0.012255708449820971
1.206030150753769,2.0,-1.533601518634712,-1.2503365684593764,-1.0193922803446913,-0.8311047217370169,-1.0,0.014692830102469573,-1.0,0.012856226339660876,-1.0,0.011019622576852179,-1.0,0.009183018814043483
1.306532663316583,2.0,-1.3887761932457057,-1.132076405033035,-0.9228247180461171,-0.7522508730020825,-1.0,0.011530353117442282,-1.0,0.010089058977761996,-1.0,0.00864776483808171,-1.0,0.007206470698401426
1.407035175879397,2.0,-1.257300583463836,-1.0247685187018463,-0.8352422170740565,-0.6807679505437199,-1.0,0.009436687884545818,-1.0,0.008257101898977588,-1.0,0.0070775159134093615,-1.0,0.005897929927841135
1.5075376884422111,2.0,-1.1380739640521897,-0.9274911278824826,-0.755873368176511,-0.616010799523135,-1.0,0.008023007925426852,-1.0,0.0070201319347484945,-1.0,0.006017255944070139,-1.0,0.005014379953391782
