time,x1,x2,x3,x4,x5,x6,x7,x8,x9
1.206030150753768959e+00,1.389482723726314761e+00,3.264240044158137621e+00,3.518417584328037417e+00,2.527383237006702643e+00,3.322082339490611158e+00,5.699061690314544570e+00,2.216621257909864529e+00,3.062711123065792407e+00,2.161650805085783222e+00
1.306532663316583021e+00,1.483062817406683331e+00,3.962599710963008448e+00,3.164654749337934891e+00,2.656940354020132844e+00,4.355953291893735368e+00,4.715226579596190071e+00,1.760894233315038360e+00,2.900668263467284458e+00,2.101198454792072123e+00
1.407035175879397082e+00,1.705323364420346932e+00,4.548350356238556991e+00,2.751725132495929760e+00,3.166146127341292527e+00,4.916942652483830223e+00,3.467401218786235528e+00,1.560254628962183920e+00,2.883856519271629004e+00,2.113138665302181973e+00
1.507537688442211143e+00,2.047452175053788181e+00,4.887823057435668694e+00,2.442015296915897249e+00,3.972714700953794420e+00,4.624776276017810162e+00,2.489419575796158579e+00,1.556860091284212322e+00,2.978938826542673723e+00,2.114109580864067972e+00
1.608040201005025205e+00,2.470231959801833632e+00,4.940304700616396261e+00,2.311787027219424306e+00,4.776067009273189612e+00,3.700701098577795722e+00,1.921781614132055616e+00,1.703463727392825922e+00,3.175662862986481372e+00,2.013418112049355724e+00
1.708542713567839266e+00,2.888008139295216381e+00,4.762463134709218338e+00,2.350740293679910664e+00,5.204619427718112590e+00,2.668318431859262319e+00,1.679530700449071823e+00,1.987291961166963272e+00,3.459027911122246390e+00,1.823409981809449576e+00
1.809045226130653328e+00,3.194014836944866875e+00,4.466899914677330941e+00,2.492114723165284929e+00,5.114858978590028471e+00,1.868996860118359971e+00,1.670615971014430379e+00,2.419852373855351679e+00,3.772646341634349643e+00,1.630220743421501473e+00
1.909547738693467389e+00,3.329412219041528065e+00,4.161362646365697415e+00,2.643532906561389062e+00,4.636185534912328876e+00,1.362155747404581119e+00,1.867206713374819360e+00,3.002779174328560785e+00,3.997365058011099759e+00,1.499468232617183094e+00
2.010050251256281673e+00,3.331270201755089477e+00,3.899697799627460437e+00,2.722671386947321803e+00,3.993922525518858624e+00,1.085957409199971746e+00,2.311218028611810471e+00,3.654976548156659621e+00,4.000286100182830040e+00,1.452172253114531797e+00
2.110552763819095734e+00,3.293999197970790327e+00,3.673166089951910962e+00,2.692560284390824066e+00,3.368061835413403760e+00,9.817358149624076935e-01,3.094040745133082027e+00,4.134460127187309375e+00,3.761975904990275232e+00,1.476854335252580919e+00
2.211055276381909795e+00,3.281187082195822224e+00,3.441787880688460088e+00,2.571092742059782665e+00,2.855567794408405469e+00,1.037321824980703022e+00,4.259589754152317553e+00,4.113769907198784104e+00,3.439683014315724652e+00,1.523995322729813306e+00
2.311557788944723857e+00,3.276863816347710401e+00,3.179034781208035731e+00,2.408184491837789043e+00,2.495234440242838581e+00,1.302897371774608182e+00,5.587382627190639717e+00,3.501418022641947125e+00,3.248984448756431664e+00,1.512193198360348267e+00
2.412060301507537918e+00,3.205667662300808463e+00,2.897898013017300212e+00,2.255573791243053794e+00,2.310849258147678942e+00,1.893320060599638310e+00,6.497535800850775978e+00,2.629678942285623044e+00,3.309476471555119925e+00,1.402991515962994429e+00
2.512562814070351980e+00,2.994943592578787950e+00,2.643424298430518515e+00,2.154164035807532684e+00,2.349430849486434880e+00,2.901111422722093547e+00,6.424418716121521378e+00,1.923403887259698131e+00,3.609103197593411583e+00,1.257837780030110819e+00
2.613065326633166041e+00,2.635471101810238359e+00,2.467129816887433158e+00,2.142619281059253922e+00,2.696932107984339133e+00,4.108306325459017749e+00,5.360090669307810529e+00,1.551801603711937982e+00,4.037649093779966947e+00,1.163315904870635631e+00
2.713567839195980103e+00,2.195825001240909735e+00,2.412214243608609809e+00,2.275509044899855393e+00,3.415095142838755482e+00,4.835686061998136331e+00,3.946781372753167982e+00,1.489936900993056534e+00,4.428952231667506290e+00,1.138295522525330838e+00
2.814070351758794164e+00,1.779032393835115577e+00,2.523340007487639536e+00,2.625312726777379257e+00,4.330726280370841508e+00,4.591318605721764534e+00,2.853457550964475065e+00,1.678804095451532197e+00,4.618008339391251660e+00,1.129597786013786020e+00
2.914572864321608225e+00,1.467693703833266472e+00,2.872653207473112591e+00,3.210695362180866930e+00,4.918679930654931809e+00,3.696193170648097048e+00,2.262238710568272637e+00,2.066870010797213109e+00,4.504975903844238516e+00,1.090604750575730364e+00
3.015075376884422287e+00,1.309377757358333838e+00,3.567544555323542088e+00,3.816517029496164781e+00,4.771464475903700375e+00,2.797874816670249398e+00,2.064136760149820837e+00,2.574789918092010854e+00,4.098294687006177384e+00,1.041011896927860336e+00
3.115577889447236348e+00,1.344887994006697562e+00,4.651392071355981983e+00,3.965492044783655690e+00,4.113966154095431982e+00,2.202615590305671667e+00,2.139156789341563059e+00,3.064646162453429135e+00,3.517843193657571366e+00,1.007024101215443723e+00
3.216080402010050410e+00,1.650885664780290529e+00,5.843305432564267932e+00,3.413561572426503155e+00,3.463448024573533957e+00,1.892796988971916283e+00,2.416390800250850290e+00,3.374998508400671504e+00,2.944613008031967016e+00,9.649555749291002238e-01
3.316582914572864471e+00,2.348958197894301492e+00,6.468903016066460232e+00,2.529002150042938712e+00,3.084561610985863567e+00,1.776386124383306786e+00,2.836507136380418181e+00,3.411461455284410693e+00,2.544220308962305666e+00,8.913486557243476271e-01
3.417085427135678533e+00,3.466336487907961672e+00,6.007412760892909986e+00,1.810928224879461368e+00,2.971870322501205308e+00,1.788187283757775470e+00,3.315069958064789546e+00,3.207135802761585719e+00,2.433059159234316926e+00,8.180911212280550515e-01
3.517587939698492594e+00,4.619379093849671492e+00,4.682697364893342318e+00,1.424053248223359214e+00,3.044886117581230955e+00,1.888569479456411182e+00,3.748226404473777418e+00,2.897740325176336729e+00,2.694447966345875134e+00,7.903396586122938272e-01
