time,2->1,8->1,3->2,1->2,4->3,2->3,5->4,3->4,6->5,4->5,7->6,5->6,8->7,6->7,1->8,7->8,->9,1->9,3->9,5->9,7->9,2->9,4->9,6->9,8->9
0.0,4.0,-3.0,4.0,-1.0,4.0,-4.0,3.0,-4.0,3.0,-4.0,3.0,-3.0,3.0,-3.0,1.0,-3.0,2.0,0.6,2.4,1.7999999999999998,1.7999999999999998,-2.4,-2.4,-1.7999999999999998,-1.7999999999999998
0.10101010101010101,5.309032856612382,-2.480080855499251,3.6721584139674692,-1.2140226398503282,3.6098638528319724,-5.309032856612382,2.7706934872068576,-3.6721584139674692,3.0296361503071125,-3.6098638528319724,2.9145117437246237,-2.7706934872068576,2.480080855499251,-3.0296361503071125,1.2140226398503282,-2.9145117437246237,2.0,0.728413583910197,2.2032950483804816,1.6624160923241145,1.7487070462347742,-3.185419713967429,-2.1659183116991834,-1.8177816901842674,-1.4880485132995507
0.20202020202020202,6.398208471366343,-2.159831948856502,2.8762696845112106,-1.7465937077861444,3.4012843518461913,-6.398208471366343,2.6515145144086745,-2.8762696845112106,3.0636648042199024,-3.4012843518461913,2.702632517005033,-2.6515145144086745,2.159831948856502,-3.0636648042199024,1.7465937077861444,-2.702632517005033,2.0,1.0479562246716867,1.7257618107067263,1.5909087086452047,1.6215795102030197,-3.8389250828198054,-2.040770611107715,-1.8381988825319413,-1.295899169313901
0.30303030303030304,6.567504594184787,-2.0802155356916887,2.087025184217353,-2.7471916030508554,3.451179436228096,-6.567504594184787,2.561274817877605,-2.087025184217353,3.0541210941221375,-3.451179436228096,2.451487734627477,-2.561274817877605,2.0802155356916887,-3.0541210941221375,2.7471916030508554,-2.451487734627477,2.0,1.6483149618305133,1.2522151105304118,1.5367648907265627,1.470892640776486,-3.940502756510872,-2.0707076617368574,-1.8324726564732825,-1.248129321415013
0.40404040404040403,5.586254814457371,-2.3192486878203518,1.6055097995320544,-4.111118792811473,3.697783980299774,-5.586254814457371,2.4275418527205237,-1.6055097995320544,3.00575016986646,-3.697783980299774,2.246791902491993,-2.4275418527205237,2.3192486878203518,-3.00575016986646,4.111118792811473,-2.246791902491993,2.0,2.4666712756868834,0.9633058797192326,1.4565251116323141,1.348075141495196,-3.351752888674423,-2.218670388179864,-1.8034501019198759,-1.391549212692211
0.5050505050505051,4.0484029621415125,-2.9857886600037804,1.4561874910952521,-5.139753285069922,4.019012004047074,-4.0484029621415125,2.221914769364439,-1.4561874910952521,2.964152411512097,-4.019012004047074,2.1647884167659237,-2.221914769364439,2.9857886600037804,-2.964152411512097,5.139753285069922,-2.1647884167659237,2.0,3.083851971041953,0.8737124946571513,1.3331488616186635,1.2988730500595542,-2.4290417772849073,-2.411407202428244,-1.7784914469072584,-1.7914731960022683
0.6060606060606061,2.782205713431429,-4.044995546459288,1.5765043859954515,-5.0760465197614755,4.270848154265992,-2.782205713431429,1.9710844131950478,-1.5765043859954515,2.995995837639417,-4.270848154265992,2.2823194292519005,-1.9710844131950478,4.044995546459288,-2.995995837639417,5.0760465197614755,-2.2823194292519005,2.0,3.045627911856885,0.9459026315972708,1.1826506479170287,1.3693916575511402,-1.6693234280588574,-2.562508892559595,-1.7975975025836501,-2.4269973278755725
0.7070707070707071,2.0778866761001047,-5.0371669778814825,1.9162707991267836,-4.068230821475752,4.323035309946244,-2.0778866761001047,1.7381164746012798,-1.9162707991267836,3.1824785371055366,-4.323035309946244,2.656814403762817,-1.7381164746012798,5.0371669778814825,-3.1824785371055366,4.068230821475752,-2.656814403762817,2.0,2.440938492885451,1.1497624794760701,1.0428698847607678,1.5940886422576903,-1.2467320056600628,-2.5938211859677462,-1.9094871222633218,-3.0223001867288892
0.8080808080808081,1.8201294789330684,-5.319881696435712,2.4221687834726926,-2.9048728763602747,4.108814248536265,-1.8201294789330684,1.5931574614870136,-2.4221687834726926,3.6194426409649925,-4.108814248536265,3.2115328138099803,-1.5931574614870136,5.319881696435712,-3.6194426409649925,2.9048728763602747,-3.2115328138099803,2.0,1.7429237258161647,1.4533012700836154,0.9558944768922082,1.926919688285988,-1.092077687359841,-2.465288549121759,-2.1716655845789954,-3.1919290178614275
0.9090909090909091,1.866177970225613,-4.817364491384529,2.9887390962274845,-2.082392548468235,3.6677519553912337,-1.866177970225613,1.6038206708591467,-2.9887390962274845,4.367169513038449,-3.6677519553912337,3.606583754405308,-1.6038206708591467,4.817364491384529,-4.367169513038449,2.082392548468235,-3.606583754405308,2.0,1.249435529080941,1.7932434577364906,0.962292402515488,2.163950252643185,-1.1197067821353677,-2.20065117323474,-2.620301707823069,-2.8904186948307173
