time,R_energy
0.000000000000000000e+00,-2.482423470895836033e+02
1.005025125628140753e-01,-2.480181167297330944e+02
2.010050251256281506e-01,-2.454668494529974510e+02
3.015075376884422398e-01,-2.449950284939943117e+02
4.020100502512563012e-01,-2.403258172964877133e+02
5.025125628140704181e-01,-2.290685964399860950e+02
6.030150753768844796e-01,-2.192096545964013501e+02
7.035175879396985410e-01,-2.116696139230744791e+02
8.040201005025126024e-01,-2.040146302427818341e+02
9.045226130653266639e-01,-1.937675894540886645e+02
1.005025125628140836e+00,-1.817527389496038381e+02
1.105527638190954898e+00,-1.729782594558665494e+02
1.206030150753768959e+00,-1.651399816621532182e+02
1.306532663316583021e+00,-1.556057930026874487e+02
1.407035175879397082e+00,-1.519955549325608501e+02
1.507537688442211143e+00,-1.514020024525692634e+02
1.608040201005025205e+00,-1.516512818061082726e+02
1.708542713567839266e+00,-1.655361268463383340e+02
1.809045226130653328e+00,-1.867876287003315099e+02
1.909547738693467389e+00,-2.024045854062089518e+02
2.010050251256281673e+00,-2.133087386523151849e+02
2.110552763819095734e+00,-2.222110993281056039e+02
2.211055276381909795e+00,-2.297164504793413755e+02
2.311557788944723857e+00,-2.337190845030231969e+02
2.412060301507537918e+00,-2.356233629747733289e+02
2.512562814070351980e+00,-2.403512874874235195e+02
2.613065326633166041e+00,-2.431840453831327409e+02
2.713567839195980103e+00,-2.396229825944582785e+02
2.814070351758794164e+00,-2.360465920504653354e+02
2.914572864321608225e+00,-2.331483711611737135e+02
3.015075376884422287e+00,-2.248122587383763857e+02
3.115577889447236348e+00,-2.096454128161789470e+02
3.216080402010050410e+00,-1.933207925419343951e+02
3.316582914572864471e+00,-1.827997706796705586e+02
3.417085427135678533e+00,-1.725079694523932972e+02
3.517587939698492594e+00,-1.593769393375266077e+02
3.618090452261306655e+00,-1.530152992618826886e+02
3.718592964824120717e+00,-1.497382232633698322e+02
3.819095477386934778e+00,-1.498462736090962153e+02
3.919597989949748840e+00,-1.616657190537321185e+02
4.020100502512563345e+00,-1.761772740526832592e+02
4.120603015075377407e+00,-1.850078134761511137e+02
4.221105527638191468e+00,-1.916621975878632043e+02
4.321608040201005529e+00,-1.995656292544988162e+02
4.422110552763819591e+00,-2.088957705785827272e+02
4.522613065326633652e+00,-2.165723768757731875e+02
4.623115577889447714e+00,-2.209562195013828614e+02
4.723618090452261775e+00,-2.290713205107014119e+02
4.824120603015075837e+00,-2.392851610309039927e+02
4.924623115577889898e+00,-2.439828246379042582e+02
5.025125628140703959e+00,-2.463123307395126176e+02
5.125628140703518021e+00,-2.453400722709204160e+02
5.226130653266332082e+00,-2.371398195612061386e+02
5.326633165829146144e+00,-2.221194634911532830e+02
5.427135678391960205e+00,-2.063877795300279274e+02
5.527638190954774267e+00,-1.977590529606516441e+02
5.628140703517588328e+00,-1.882384852304824392e+02
5.728643216080402389e+00,-1.750647385850434148e+02
5.829145728643216451e+00,-1.670307774598615254e+02
5.929648241206030512e+00,-1.620883339800870715e+02
6.030150753768844574e+00,-1.613102469648337092e+02
6.130653266331658635e+00,-1.655093460212139007e+02
6.231155778894472697e+00,-1.676551790659275412e+02
6.331658291457286758e+00,-1.680764004997792824e+02
6.432160804020100819e+00,-1.713316281815187381e+02
6.532663316582914881e+00,-1.768691373788531678e+02
6.633165829145728942e+00,-1.864800155797074694e+02
6.733668341708543004e+00,-1.967103059705701185e+02
6.834170854271357065e+00,-2.027902967741376870e+02
6.934673366834171127e+00,-2.146200838792208287e+02
7.035175879396985188e+00,-2.310084322435532158e+02
7.135678391959799249e+00,-2.421746748444505783e+02
7.236180904522613311e+00,-2.474599534166999604e+02
7.336683417085427372e+00,-2.469797336888320274e+02
7.437185929648241434e+00,-2.423446629767046261e+02
7.537688442211055495e+00,-2.321509407137721439e+02
7.638190954773869557e+00,-2.205211424692690798e+02
7.738693467336683618e+00,-2.150233511634748425e+02
7.839195979899497679e+00,-2.080162765169442594e+02
7.939698492462311741e+00,-1.969731876283326812e+02
8.040201005025126690e+00,-1.879872810246610015e+02
8.140703517587940752e+00,-1.818260787436916814e+02
8.241206030150754813e+00,-1.775038009369487213e+02
8.341708542713568875e+00,-1.705649752565029189e+02
8.442211055276382936e+00,-1.600803168624006503e+02
8.542713567839196998e+00,-1.547758641454264819e+02
8.643216080402011059e+00,-1.559949909724911379e+02
8.743718592964825120e+00,-1.585075146223255445e+02
