time, Rtensor_laplacian
0.000000000000000000e+00,-2.424254505616746869e+01
1.005025125628140753e-01,-2.698785560264920491e+01
2.010050251256281506e-01,-2.678333506501514094e+01
3.015075376884422398e-01,-2.653068652852099163e+01
4.020100502512563012e-01,-2.626877613151859592e+01
5.025125628140704181e-01,-2.592116472247772307e+01
6.030150753768844796e-01,-2.549416169350618588e+01
7.035175879396985410e-01,-2.502495361048464773e+01
8.040201005025126024e-01,-2.453750083099527046e+01
9.045226130653266639e-01,-2.403140945183335475e+01
1.005025125628140836e+00,-2.351356855549097347e+01
1.105527638190954898e+00,-2.301778731477605788e+01
1.206030150753768959e+00,-2.259744965998124755e+01
1.306532663316583021e+00,-2.230684615972120000e+01
1.407035175879397082e+00,-2.217947367125529823e+01
1.507537688442211143e+00,-2.220775908751360461e+01
1.608040201005025205e+00,-2.233879376393592509e+01
1.708542713567839266e+00,-2.249861831787312738e+01
1.809045226130653328e+00,-2.262884475546888652e+01
1.909547738693467389e+00,-2.270465415379333152e+01
2.010050251256281673e+00,-2.272783429778060338e+01
2.110552763819095734e+00,-2.271202671001820761e+01
2.211055276381909795e+00,-2.267406049723470218e+01
2.311557788944723857e+00,-2.263474133978742842e+01
2.412060301507537918e+00,-2.263194677522603371e+01
2.512562814070351980e+00,-2.275675725406867400e+01
2.613065326633166041e+00,-2.319822185541545778e+01
2.713567839195980103e+00,-2.407565940618907518e+01
2.814070351758794164e+00,-2.501789621350371817e+01
2.914572864321608225e+00,-2.554327854869070080e+01
3.015075376884422287e+00,-2.575414759690450595e+01
3.115577889447236348e+00,-2.584441421231812441e+01
3.216080402010050410e+00,-2.590163949498976592e+01
3.316582914572864471e+00,-2.594971471980308664e+01
3.417085427135678533e+00,-2.599313716448814304e+01
3.517587939698492594e+00,-2.603250007105251029e+01
3.618090452261306655e+00,-2.606808230379589375e+01
3.718592964824120717e+00,-2.610032118355340103e+01
3.819095477386934778e+00,-2.612973274761436926e+01
3.919597989949748840e+00,-2.615682723191495995e+01
4.020100502512563345e+00,-2.618206456956943740e+01
4.120603015075377407e+00,-2.620584679409018136e+01
4.221105527638191468e+00,-2.622852011342576972e+01
4.321608040201005529e+00,-2.625037894906170877e+01
4.422110552763819591e+00,-2.627167674335256464e+01
4.522613065326633652e+00,-2.629262736465366146e+01
4.623115577889447714e+00,-2.631341027589376580e+01
4.723618090452261775e+00,-2.633417174914148617e+01
4.824120603015075837e+00,-2.635502388325002343e+01
4.924623115577889898e+00,-2.637604105331007176e+01
5.025125628140703959e+00,-2.639725294939212219e+01
5.125628140703518021e+00,-2.641863376487498272e+01
5.226130653266332082e+00,-2.644008345081458700e+01
