time,->1,3->1,1->2,3->2,2->2,->3,1->3,->4,2->4,4->4,->5,"2,3->5",5->5,->6,"4,5->6",5->6,6->6,->7,"4,5->7",5->7,7->7,6->8,7->8,8->8,->9,6->9,7->9,9->9,->10,"6,7->10",10->10
0.0,1.0,-0.49999999999999994,2.5000000000000004,1.9999999999999998,-1.9999999999999998,-1.5,4.000000000000001,20.0,-3.9999999999999996,-20.0,15.0,-0.19999999999999996,-15.0,12.0,9.0,15.0,-27.0,10.0,9.0,15.0,-27.0,8.1,10.8,-19.999999999999996,25.0,-5.4,-8.1,-7.999999999999999,30.0,-14.58,-8.0
0.10050251256281408,1.0,-0.6488373410316224,2.6103177986067454,2.5953493641264895,-2.5870051228237227,-1.5,4.176508477770793,20.0,-5.1740102456474455,-16.098212416689964,15.0,-0.335709105025626,-14.784547016904607,12.0,7.140143350880109,14.784547016904607,-34.0141637317282,10.0,7.140143350880109,14.784547016904607,-32.076493086051165,10.20424911951846,12.830597234420466,-22.344799673674522,25.0,-6.802832746345641,-9.62294792581535,-8.589861190945701,30.0,-21.821101755371842,-8.79139338415758
0.20100502512562815,1.0,-0.8543224177664454,2.677757094963666,3.4172896710657814,-3.382745992630073,-1.5,4.284411351941865,20.0,-6.765491985260146,-14.36824041639772,15.0,-0.5779911470226956,-14.585118583301941,12.0,6.286874709196572,14.585118583301941,-33.173599788095935,10.0,6.286874709196572,14.585118583301941,-31.19313806798201,9.95207993642878,12.477255227192805,-22.6164132404713,25.0,-6.634719957619187,-9.357941420394603,-8.71429921833388,30.0,-20.695773568041105,-8.783290008614467
0.30150753768844224,1.0,-1.1316633600238328,2.6814046504877993,4.526653440095331,-4.454649872406787,-1.5,4.290247440780479,20.0,-8.909299744813573,-12.609620146918134,15.0,-1.0082328084675205,-14.27265238711957,12.0,5.399181752717463,14.27265238711957,-32.06132080672755,10.0,5.399181752717463,14.27265238711957,-30.084544224892984,9.618396242018266,12.033817689957194,-21.995381404183163,25.0,-6.412264161345511,-9.025363267467895,-9.070149089759939,30.0,-19.291004474369533,-9.57437075454669
0.4020100502512563,1.0,-1.4901404755414724,2.6006921433956407,5.96056190216589,-5.8642892862444205,-1.5,4.1611074294330255,20.0,-11.728578572488841,-10.48184058825101,15.0,-1.7477229651434045,-13.742398858014031,12.0,4.321369023895975,13.742398858014031,-30.607064231550506,10.0,4.321369023895975,13.742398858014031,-28.640101267457684,9.18211926946515,11.456040506983074,-21.114659794182305,25.0,-6.121412846310101,-8.592030380237304,-9.615493112544092,30.0,-17.531788381823766,-10.952523641569188
0.5025125628140704,1.0,-1.9220505893691437,2.423777533224621,7.688202357476575,-7.62163839651902,-1.5,3.8780440531593943,20.0,-15.24327679303804,-7.995383541756043,15.0,-2.929834914397576,-12.88365074623214,12.0,3.090291874024722,12.88365074623214,-28.70800367725796,10.0,3.090291874024722,12.88365074623214,-26.755500097053137,8.612401103177387,10.702200038821255,-19.96081831047021,25.0,-5.741600735451592,-8.02665002911594,-10.381040993937717,30.0,-15.361939903461543,-12.912167535449605
0.6030150753768845,1.0,-2.3918230075746925,2.1579079537449912,9.56729203029877,-9.616707314013633,-1.5,3.452652725991986,20.0,-19.233414628027266,-5.399285964189943,15.0,-4.600292362153926,-11.631231941845313,12.0,1.884010421095294,11.631231941845313,-26.422827817567082,10.0,1.884010421095294,11.631231941845313,-24.487519004092864,7.926848345270124,9.795007601637145,-18.540464069312026,25.0,-5.284565563513417,-7.346255701227859,-11.389556951744842,30.0,-12.94058996649095,-15.36700056453027
0.7035175879396985,1.0,-2.836965679599195,1.8337819998055107,11.34786271839678,-11.590648824608229,-1.5,2.9340511996888172,20.0,-23.181297649216457,-3.121141890235789,15.0,-6.576454583940059,-10.061459826843764,12.0,0.9420973122745979,10.061459826843764,-23.994269354281496,10.0,0.9420973122745979,10.061459826843764,-22.074584382463968,7.1982808062844486,8.829833752985587,-16.96395247406804,25.0,-4.798853870856299,-6.62237531473919,-12.589175711486366,30.0,-10.593270471133122,-17.99262189917772
0.8040201005025126,1.0,-3.1886735210845183,1.4963931176876668,12.754694084338073,-13.221439235408175,-1.5,2.394228988300267,20.0,-26.44287847081635,-1.5212444123313218,15.0,-8.431770640114797,-8.422168871699832,12.0,0.3843653200735248,8.422168871699832,-21.74901680017986,10.0,0.3843653200735248,8.422168871699832,-19.837956615721037,6.5247050400539575,7.935182646288415,-15.413393721692252,25.0,-4.349803360035972,-5.951386984716311,-13.83279932577283,30.0,-8.62912103433112,-20.344350634210144
0.9045226130653267,1.0,-3.400756513013392,1.1866910029860431,13.603026052053568,-14.277516690432188,-1.5,1.8987056047776691,20.0,-28.555033380864376,-0.6388615288851449,15.0,-9.710871574928936,-7.013237854331375,12.0,0.13441463574159945,7.013237854331375,-19.929071995631862,10.0,0.13441463574159945,7.013237854331375,-18.01615660340327,5.9787215986895585,7.206462641361309,-14.053869266129226,25.0,-3.9858143991263724,-5.404846981020981,-14.94408808391009,30.0,-7.180905640676043,-22.144883292559054
