time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
4.020100502512563345e+00,9.621880078109480428e-01,1.533066398443257095e+00,3.361493020174369240e-01,1.685717813521242903e+01,1.494401161293271763e+01,3.448071712129702604e+01,3.247937254525552930e+01,2.331287922752362718e+01,8.411600942747650578e+00,7.750359963303091071e+00
4.120603015075377407e+00,1.046710570590710931e+00,1.479388709105913469e+00,3.134080342875618097e-01,1.697689980424777190e+01,1.495003854669899113e+01,3.454676990216751165e+01,3.254563713639495859e+01,2.336276931730020578e+01,8.371236559656326293e+00,7.642790961973585873e+00
4.221105527638191468e+00,1.139854381095109392e+00,1.435009874914944694e+00,2.942983580882893579e-01,1.707708156034510338e+01,1.495488859872053133e+01,3.460204097027144599e+01,3.260109918071736246e+01,2.340477202390080436e+01,8.336889803817788547e+00,7.550613067553515911e+00
4.321608040201005529e+00,1.242373627375369161e+00,1.399530748633821098e+00,2.785347672611502290e-01,1.715877316696951382e+01,1.495874754494928993e+01,3.464732692957534255e+01,3.264656199436327455e+01,2.343953213123682744e+01,8.308026255738075960e+00,7.472592422572430060e+00
4.422110552763819591e+00,1.355078893814650076e+00,1.372707560767940871e+00,2.659047918467136729e-01,1.722269586474989822e+01,1.496175620865698619e+01,3.468321889404491287e+01,3.268261947466498185e+01,2.346752624703790246e+01,8.284233769589238960e+00,7.407772797030324874e+00
4.522613065326633652e+00,1.478834925636531183e+00,1.354455881647437909e+00,2.562705460363207677e-01,1.726924495951728389e+01,1.496401731725953610e+01,3.471009941727307790e+01,3.270965831815711766e+01,2.348908903809206095e+01,8.265208213941365401e+00,7.355450404201341996e+00
4.623115577889447714e+00,1.614555559833833254e+00,1.344860010722204624e+00,2.495736769432826963e-01,1.729848109938039258e+01,1.496559960308602832e+01,3.472815271061353570e+01,3.272786663941204921e+01,2.350441338987636541e+01,8.250747411869749470e+00,7.315166038497020295e+00
4.723618090452261775e+00,1.763194398260331530e+00,1.344188561497006162e+00,2.458445941187866746e-01,1.731011004133534215e+01,1.496653966167160021e+01,3.473735988230779270e+01,3.273722941225427263e+01,2.351355054126460686e+01,8.240748743688554256e+00,7.286704870214157914e+00
4.824120603015075837e+00,1.925729477763093334e+00,1.352918930168726552e+00,2.452180723758939918e-01,1.730344652815901085e+01,1.496684104963132889e+01,3.473748397062615112e+01,3.273751379794381222e+01,2.351640349849231271e+01,8.235211658155881409e+00,7.270107664570995887e+00
4.924623115577889898e+00,2.103138730774472442e+00,1.371771991427273685e+00,2.479571200814903453e-01,1.727736064839401564e+01,1.496647034466536752e+01,3.472804394840525788e+01,3.272824351488052486e+01,2.351271259838279803e+01,8.234245032569639022e+00,7.265693888598365291e+00
