time,A_1_1,A_1_2,A_2_1,A_2_2
0.0,0.0,0.3,0.5,0.0
0.10040160642570281,0.0,0.3497626766738311,0.4443201657143646,0.0
0.20080321285140562,0.0,0.40988962839663073,0.39701867573621014,0.0
0.3012048192771084,0.0,0.48245671888440617,0.35711705231212787,0.0
0.40160642570281124,0.0,0.5699585297790488,0.32380991868040415,0.0
0.5020080321285141,0.0,0.6753806417732283,0.2964585596447861,0.0
0.6024096385542168,0.0,0.8022793140886583,0.2745926066420239,0.0
0.7028112449799196,0.0,0.9548651030227404,0.2579231848964693,0.0
0.8032128514056225,0.0,1.1380827580817068,0.24637335552001374,0.0
0.9036144578313253,0.0,1.3576716661493966,0.2401356996057057,0.0
1.0040160642570282,0.0,1.6201768193563957,0.2397756755633139,0.0
1.104417670682731,0.0,1.932851883445796,0.24641446295598363,0.0
1.2048192771084336,0.0,2.3033420603743653,0.26205577209709685,0.0
1.3052208835341366,0.0,2.7389269375674874,0.29018234353214256,0.0
1.4056224899598393,0.0,3.2448910456920363,0.33687068916273216,0.0
1.5060240963855422,0.0,3.8211621680866665,0.4129205339616477,0.0
1.606425702811245,0.0,4.455551095443005,0.5379513204444434,0.0
1.7068273092369477,0.0,5.110633078914322,0.7480608713156964,0.0
1.8072289156626506,0.0,5.700561085782642,1.1084348590235908,0.0
1.9076305220883534,0.0,6.060504003694226,1.7256857780071369,0.0
2.0080321285140563,0.0,5.946027764193627,2.7259219449387895,0.0
2.108433734939759,0.0,5.167791003425278,4.119677825993973,0.0
2.208835341365462,0.0,3.8733001258757307,5.593222090136591,0.0
2.3092369477911645,0.0,2.5495906845765925,6.62966936456182,0.0
2.4096385542168672,0.0,1.5646356564339328,6.987276948336302,0.0
2.5100401606425704,0.0,0.9538319519278233,6.801930647167037,0.0
2.610441767068273,0.0,0.602528638464168,6.315947780500339,0.0
2.710843373493976,0.0,0.40254038405495657,5.708781809628049,0.0
2.8112449799196786,0.0,0.2862999031815357,5.08082437565287,0.0
2.9116465863453813,0.0,0.2166292795669579,4.480930535591205,0.0
3.0120481927710845,0.0,0.17367848117390888,3.93005365948565,0.0
3.112449799196787,0.0,0.14675273632911215,3.4350530065629328,0.0
3.21285140562249,0.0,0.12995254154498237,2.9959243963797557,0.0
3.3132530120481927,0.0,0.11994100869226251,2.609472532580973,0.0
3.4136546184738954,0.0,0.11479794121241348,2.2711688362327647,0.0
3.5140562248995986,0.0,0.11342048020946693,1.9760908336726455,0.0
3.6144578313253013,0.0,0.11520239602882892,1.719391357543144,0.0
3.714859437751004,0.0,0.11985915241590903,1.496523456123845,0.0
3.8152610441767068,0.0,0.12733194539157006,1.3033367400600744,0.0
3.9156626506024095,0.0,0.13773635259836509,1.1361058695957957,0.0
4.016064257028113,0.0,0.1513375240825639,0.9915237374691416,0.0
4.116465863453815,0.0,0.1685422672208178,0.8666770971094238,0.0
4.216867469879518,0.0,0.18990287590915864,0.7590144398496026,0.0
4.317269076305221,0.0,0.21613001265049017,0.6663115940434601,0.0
4.417670682730924,0.0,0.2481134081852728,0.5866380340046111,0.0
4.518072289156627,0.0,0.2869499480940221,0.518325618517058,0.0
4.618473895582329,0.0,0.33397926205291406,0.4599406751088048,0.0
4.718875502008032,0.0,0.39082721960557376,0.4102600257295215,0.0
4.8192771084337345,0.0,0.45945785806791495,0.3682514345805672,0.0
4.919678714859438,0.0,0.542234179805572,0.33305907458795087,0.0
5.020080321285141,0.0,0.6419878500973365,0.303994957059044,0.0
5.120481927710843,0.0,0.7620969111622793,0.2805379174628969,0.0
5.220883534136546,0.0,0.9065688013561122,0.26234292314416435,0.0
5.3212851405622486,0.0,1.080122565370784,0.24926548726351083,0.0
5.421686746987952,0.0,1.2882572325620343,0.24140990455580247,0.0
5.522088353413655,0.0,1.5372822243673605,0.23921618587252091,0.0
5.622489959839357,0.0,1.8342607696498476,0.24361450816776264,0.0
5.72289156626506,0.0,2.1867750867206937,0.25629961474396584,0.0
5.823293172690763,0.0,2.6023325761669214,0.2802284633580648,0.0
5.923694779116466,0.0,3.0870602972350296,0.32054367793262906,0.0
6.024096385542169,0.0,3.642986406147151,0.3863273786818029,0.0
6.124497991967871,0.0,4.262532334361594,0.4939765093783122,0.0
6.224899598393574,0.0,4.917676738574574,0.6736058395747595,0.0
6.325301204819277,0.0,5.540049939893876,0.9801933934974139,0.0
6.42570281124498,0.0,5.9911002281771415,1.5076016635321934,0.0
6.526104417670683,0.0,6.044655079650479,2.383471315921773,0.0
6.626506024096385,0.0,5.468563267864708,3.675692632583115,0.0
6.7269076305220885,0.0,4.28534640546309,5.178883350273614,0.0
6.827309236947791,0.0,2.9172203854832586,6.390645943883531,0.0
6.927710843373494,0.0,1.8148060302475446,6.948447389920522,0.0
7.028112449799197,0.0,1.1024070909816894,6.898773171667941,0.0
7.128514056224899,0.0,0.6870125105331872,6.479382849565907,0.0
7.228915662650603,0.0,0.45088434361728935,5.894632602807755,0.0
7.329317269076305,0.0,0.3147253913492311,5.265973867020531,0.0
7.429718875502008,0.0,0.23387265558358514,4.654636608318421,0.0
7.530120481927711,0.0,0.18440333888403765,4.088025952223955,0.0
7.6305220883534135,0.0,0.15349244116906308,3.5762071488724243,0.0
7.730923694779117,0.0,0.1341191164995036,3.120714681919803,0.0
7.831325301204819,0.0,0.12234009036515991,2.7190481970807783,0.0
7.931726907630522,0.0,0.11589465314728294,2.366947109769172,0.0
8.032128514056225,0.0,0.11347979324553939,2.059541462989633,0.0
8.132530120481928,0.0,0.11436487816038038,1.7919301178367812,0.0
8.23293172690763,0.0,0.11818251496194872,1.5594625702897214,0.0
8.333333333333334,0.0,0.12481376068865106,1.3578653657048463,0.0
8.433734939759036,0.0,0.13432592839789764,1.1832864346230414,0.0
8.534136546184738,0.0,0.146941189351332,1.0322963972522092,0.0
8.634538152610443,0.0,0.16302432477461778,0.901868121957111,0.0
8.734939759036145,0.0,0.18308343107331287,0.789346186421385,0.0
8.835341365461847,0.0,0.20778029615312102,0.6924127506668687,0.0
8.93574297188755,0.0,0.2379488441650706,0.6090534410824796,0.0
9.036144578313253,0.0,0.27462104115157626,0.5375252355592773,0.0
9.136546184738956,0.0,0.31906021811253266,0.47632748803431013,0.0
9.236947791164658,0.0,0.37280216625719365,0.4241767303812194,0.0
9.337349397590362,0.0,0.4377045064111363,0.3799857517914101,0.0
9.437751004016064,0.0,0.5160048183770364,0.34284750055287927,0.0
9.538152610441767,0.0,0.610387736636916,0.3120246061659645,0.0
9.638554216867469,0.0,0.7240604572900666,0.2869459023297727,0.0
9.738955823293173,0.0,0.8608346283178279,0.2672122767170152,0.0
9.839357429718875,0.0,1.0252097033205254,0.2526159453306329,0.0
9.939759036144578,0.0,1.2224475508138295,0.24318027361748434,0.0
10.040160642570282,0.0,1.4586173928940405,0.2392332490056109,0.0
10.140562248995984,0.0,1.7405725655646502,0.2415375666055661,0.0
10.240963855421686,0.0,2.075782091989607,0.25152164380596104,0.0
10.34136546184739,0.0,2.471870385837663,0.2716956238859355,0.0
10.441767068273093,0.0,2.9355758935876453,0.306417962395308,0.0
10.542168674698795,0.0,3.4705573860805785,0.3633418685310263,0.0
10.642570281124497,0.0,4.072917457193847,0.4561933676053919,0.0
10.742971887550201,0.0,4.722301317493297,0.6100881682609014,0.0
10.843373493975903,0.0,5.365079891498708,0.8711469602523662,0.0
10.943775100401606,0.0,5.886863971305555,1.3205163050670876,0.0
11.04417670682731,0.0,6.08597738478094,2.0797206295714497,0.0
11.144578313253012,0.0,5.712364023064684,3.2529748962540617,0.0
11.244979919678714,0.0,4.680932197993613,4.737642344201057,0.0
11.345381526104418,0.0,3.311095485247322,6.0905489372009916,0.0
11.44578313253012,0.0,2.100851103232895,6.854814880731494,0.0
11.546184738955823,0.0,1.2772167860244867,6.9633910744492065,0.0
11.646586345381525,0.0,0.7870139689920822,6.628827486308203,0.0
11.74698795180723,0.0,0.5078182081356514,6.07700835573948,0.0
11.847389558232932,0.0,0.3478992046680803,5.4528702143801535,0.0
11.947791164658634,0.0,0.2538160741470621,4.832401350634679,0.0
12.048192771084338,0.0,0.19672988152378504,4.250889314520256,0.0
12.14859437751004,0.0,0.1612312818709775,3.72235936364204,0.0
12.248995983935743,0.0,0.1389455424718949,3.2502679039715425,0.0
12.349397590361447,0.0,0.12520404723811768,2.8330033762528064,0.0
12.449799196787149,0.0,0.11734366247701397,2.466671313788803,0.0
12.550200803212851,0.0,0.11382823338437596,2.146503577906753,0.0
12.650602409638553,0.0,0.11378478885561691,1.8675690248219354,0.0
12.751004016064257,0.0,0.11675320850095834,1.6251242969803017,0.0
12.85140562248996,0.0,0.12254905282436866,1.4147765497855622,0.0
12.951807228915662,0.0,0.13118868082959548,1.2325469492677839,0.0
13.052208835341366,0.0,0.1428502390637277,1.074881972959652,0.0
13.152610441767068,0.0,0.1578565667114123,0.9386378659232196,0.0
13.25301204819277,0.0,0.17667248962329174,0.8210522561637855,0.0
13.353413654618473,0.0,0.19991255122159216,0.7197106140196606,0.0
13.453815261044177,0.0,0.22835716284718358,0.6325118673955284,0.0
13.55421686746988,0.0,0.2629763065705028,0.5576355584226764,0.0
13.654618473895582,0.0,0.30496064061217154,0.49351183939871957,0.0
13.755020080321286,0.0,0.35576023427644327,0.43879510132115096,0.0
13.855421686746988,0.0,0.41713142237063167,0.39234173300895403,0.0
13.95582329317269,0.0,0.4911922935565861,0.35319252081707736,0.0
14.056224899598394,0.0,0.5804871280949169,0.3205603955900607,0.0
14.156626506024097,0.0,0.688059537280142,0.2938246783834667,0.0
14.257028112449799,0.0,0.8175328062566565,0.2725338339224188,0.0
14.357429718875501,0.0,0.97319357248057,0.25642018312260223,0.0
14.457831325301205,0.0,1.160070602212779,0.24543259100593254,0.0
14.558232931726907,0.0,1.3839915047709352,0.23979815466388743,0.0
14.65863453815261,0.0,1.6515857802561196,0.24013192257030014,0.0
14.759036144578314,0.0,1.9701704038862793,0.247631716761339,0.0
14.859437751004016,0.0,2.347398411687336,0.2644265156742267,0.0
14.959839357429718,0.0,2.790433192725632,0.29421412267396607,0.0
15.060240963855422,0.0,3.3041827669770476,0.3434561933378736,0.0
15.160642570281125,0.0,3.8876693098590427,0.42366432641865437,0.0
15.261044176706827,0.0,4.526747046607992,0.555795610039977,0.0
15.36144578313253,0.0,5.180058760893332,0.7784107293687993,0.0
15.461847389558233,0.0,5.754645945420873,1.1607570951476334,0.0
15.562248995983936,0.0,6.075764441214,1.8138747535297153,0.0
15.662650602409638,0.0,5.894813382835931,2.860618027294016,0.0
15.763052208835342,0.0,5.045109888768958,4.285013111689931,0.0
15.863453815261044,0.0,3.721503289613239,5.735169694996491,0.0
15.963855421686747,0.0,2.4230515464543196,6.701357107552204,0.0
16.06425702811245,0.0,1.4817609017730418,6.989010576505527,0.0
16.164658634538153,0.0,0.9053583289728806,6.759712336169784,0.0
16.265060240963855,0.0,0.5750130834466596,6.253459637749036,0.0
16.365461847389557,0.0,0.3867236346010391,5.640346858070251,0.0
16.46586345381526,0.0,0.2769393262340428,5.013734298154379,0.0
16.566265060240962,0.0,0.21091712051746014,4.418491378104922,0.0
16.666666666666668,0.0,0.17011273695141782,3.873521112922188,0.0
16.76706827309237,0.0,0.14451330254863884,3.3846712890452095,0.0
16.867469879518072,0.0,0.12857986597312185,2.9514565077559825,0.0
16.967871485943775,0.0,0.11917191728962816,2.5704685008948482,0.0
17.068273092369477,0.0,0.11448048664890928,2.237101549184543,0.0
17.16867469879518,0.0,0.1134687972651568,1.9464243932488252,0.0
17.269076305220885,0.0,0.11557222235827731,1.693614617557222,0.0
17.369477911646587,0.0,0.120534385545095,1.4741652986447955,0.0
17.46987951807229,0.0,0.12831732928987377,1.2839716914091472,0.0
17.570281124497992,0.0,0.13905372324478898,1.1193546589052499,0.0
17.670682730923694,0.0,0.15302425206015657,0.9770512721167639,0.0
17.771084337349397,0.0,0.1706511686657403,0.8541892242188034,0.0
17.8714859437751,0.0,0.1925032013990472,0.7482542539335939,0.0
17.971887550200805,0.0,0.21930933881558107,0.6570556901568753,0.0
18.072289156626507,0.0,0.25198033056231234,0.578692978853449,0.0
18.17269076305221,0.0,0.29163758041793636,0.5115247413051829,0.0
18.27309236947791,0.0,0.33964957123807,0.45414126338905686,0.0
18.373493975903614,0.0,0.39767624858191614,0.4053409800309767,0.0
18.473895582329316,0.0,0.4677218989100699,0.364111430217037,0.0
18.57429718875502,0.0,0.5521969234247474,0.32961532093710144,0.0
18.674698795180724,0.0,0.6539884704515,0.30118268456963065,0.0
18.775100401606426,0.0,0.7765389036781207,0.2783108246928429,0.0
18.87550200803213,0.0,0.9239291082441015,0.2606749878609128,0.0
18.97590361445783,0.0,1.1009600136306072,0.24815483989520776,0.0
19.076305220883533,0.0,1.3132182442951366,0.24088605855202544,0.0
19.176706827309236,0.0,1.5671000782638824,0.23935286307707232,0.0
19.277108433734938,0.0,1.8697409961610092,0.24455233417084096,0.0
19.377510040160644,0.0,2.2287527216979184,0.2582868769975185,0.0
19.477911646586346,0.0,2.651573514515088,0.2836958004417517,0.0
19.57831325301205,0.0,3.144051672309107,0.3262444121455844,0.0
19.67871485943775,0.0,3.7075068978292123,0.3956064948955299,0.0
19.779116465863453,0.0,4.332791809050569,0.5092881653485796,0.0
19.879518072289155,0.0,4.988662855731727,0.6994706021462616,0.0
19.97991967871486,0.0,5.600687044916535,1.0247088753829305,0.0
20.080321285140563,0.0,6.020895974202873,1.5835817025639995,0.0
