time,->1,2->1,->2,1->2
0.0,2.0,-0.5,-1.5,0.3
0.10040160642570281,2.0,-0.4443201657143646,-1.5,0.3497626766738311
0.20080321285140562,2.0,-0.39701867573621014,-1.5,0.40988962839663073
0.3012048192771084,2.0,-0.35711705231212787,-1.5,0.48245671888440617
0.40160642570281124,2.0,-0.32380991868040415,-1.5,0.5699585297790488
0.5020080321285141,2.0,-0.2964585596447861,-1.5,0.6753806417732283
0.6024096385542168,2.0,-0.2745926066420239,-1.5,0.8022793140886583
0.7028112449799196,2.0,-0.2579231848964693,-1.5,0.9548651030227404
0.8032128514056225,2.0,-0.24637335552001374,-1.5,1.1380827580817068
0.9036144578313253,2.0,-0.2401356996057057,-1.5,1.3576716661493966
1.0040160642570282,2.0,-0.2397756755633139,-1.5,1.6201768193563957
1.104417670682731,2.0,-0.24641446295598363,-1.5,1.932851883445796
1.2048192771084336,2.0,-0.26205577209709685,-1.5,2.3033420603743653
1.3052208835341366,2.0,-0.29018234353214256,-1.5,2.7389269375674874
1.4056224899598393,2.0,-0.33687068916273216,-1.5,3.2448910456920363
1.5060240963855422,2.0,-0.4129205339616477,-1.5,3.8211621680866665
1.606425702811245,2.0,-0.5379513204444434,-1.5,4.455551095443005
1.7068273092369477,2.0,-0.7480608713156964,-1.5,5.110633078914322
1.8072289156626506,2.0,-1.1084348590235908,-1.5,5.700561085782642
1.9076305220883534,2.0,-1.7256857780071369,-1.5,6.060504003694226
2.0080321285140563,2.0,-2.7259219449387895,-1.5,5.946027764193627
2.108433734939759,2.0,-4.119677825993973,-1.5,5.167791003425278
2.208835341365462,2.0,-5.593222090136591,-1.5,3.8733001258757307
2.3092369477911645,2.0,-6.62966936456182,-1.5,2.5495906845765925
2.4096385542168672,2.0,-6.987276948336302,-1.5,1.5646356564339328
2.5100401606425704,2.0,-6.801930647167037,-1.5,0.9538319519278233
2.610441767068273,2.0,-6.315947780500339,-1.5,0.602528638464168
2.710843373493976,2.0,-5.708781809628049,-1.5,0.40254038405495657
2.8112449799196786,2.0,-5.08082437565287,-1.5,0.2862999031815357
2.9116465863453813,2.0,-4.480930535591205,-1.5,0.2166292795669579
3.0120481927710845,2.0,-3.93005365948565,-1.5,0.17367848117390888
3.112449799196787,2.0,-3.4350530065629328,-1.5,0.14675273632911215
3.21285140562249,2.0,-2.9959243963797557,-1.5,0.12995254154498237
3.3132530120481927,2.0,-2.609472532580973,-1.5,0.11994100869226251
