time,x1,x2
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.004016064257028107e-01,1.167639740052114350e+00,8.893107202159677982e-01
2.008032128514056214e-01,1.368855608616404984e+00,7.945533459503184570e-01
3.012048192771084043e-01,1.611777461743365780e+00,7.146549991647459521e-01
4.016064257028112428e-01,1.903898312720407660e+00,6.481913986323396548e-01
5.020080321285140812e-01,2.255785982623106367e+00,5.936484212209844902e-01
6.024096385542168086e-01,2.679931377196876685e+00,5.500125693093678159e-01
7.028112449799196471e-01,3.189790388065477877e+00,5.167674786151539301e-01
8.032128514056224855e-01,3.802155867659869237e+00,4.938299475080961121e-01
9.036144578313253239e-01,4.535908482994040369e+00,4.815936358039802356e-01
1.004016064257028162e+00,5.412668616486317141e+00,4.811301147546808155e-01
1.104417670682730890e+00,6.455986364805969657e+00,4.948410731444257693e-01
1.204819277108433617e+00,7.692266684308644464e+00,5.265976280070532312e-01
1.305220883534136567e+00,9.144813472516919006e+00,5.837734338977992321e-01
1.405622489959839294e+00,1.083168379353588406e+01,6.783407510921175554e-01
1.506024096385542244e+00,1.275097223356248399e+01,8.323795324468563628e-01
1.606425702811244971e+00,1.486014361542712514e+01,1.085752788392544410e+00
1.706827309236947698e+00,1.703409717492015929e+01,1.510551812556877760e+00
1.807228915662650648e+00,1.898133340840492167e+01,2.238410936803871376e+00
1.907630522088353375e+00,2.015436181338975530e+01,3.480285957597069935e+00
2.008032128514056325e+00,1.975283559093993802e+01,5.480453352066898987e+00
2.108433734939759052e+00,1.714417719696612252e+01,8.263469171439931316e+00
2.208835341365461780e+00,1.283815214321294107e+01,1.119325347488642386e+01
2.309236947791164507e+00,8.443578576235029942e+00,1.324898564394706568e+01
2.409638554216867234e+00,5.181934113096486882e+00,1.394772588803538405e+01
2.510040160642570406e+00,3.163780229514098430e+00,1.356701155911618706e+01
2.610441767068273133e+00,2.003705077856283712e+00,1.259185876241265412e+01
2.710843373493975861e+00,1.342856177944341978e+00,1.137924293951915189e+01
2.811244979919678588e+00,9.575706110474383470e-01,1.012771698807358511e+01
2.911646586345381316e+00,7.261887499751177311e-01,8.932616315922624395e+00
3.012048192771084487e+00,5.833146140355678355e-01,7.835255342069209483e+00
3.112449799196787215e+00,4.935891793137666128e-01,6.849217600572228726e+00
3.212851405622489942e+00,4.376120906835501700e-01,5.974372077096110623e+00
3.313253012048192669e+00,4.043465485877443810e-01,5.204375499018335738e+00
3.413654618473895397e+00,3.873374189821440217e-01,4.530286699328404332e+00
3.514056224899598568e+00,3.829464583905636821e-01,3.942278065245845564e+00
3.614457831325301296e+00,3.891728054006562409e-01,3.430706409748678798e+00
3.714859437751004023e+00,4.051533169856388894e-01,2.986596636778219516e+00
3.815261044176706751e+00,4.305902590849888245e-01,2.601586760247188490e+00
3.915662650602409478e+00,4.659223325793105941e-01,2.268277040738639450e+00
4.016064257028112650e+00,5.120690598982997610e-01,1.980110883909628861e+00
4.116465863453814933e+00,5.704146201271673711e-01,1.731282620924500248e+00
4.216867469879518104e+00,6.427954345633997146e-01,1.516620028648242080e+00
4.317269076305221276e+00,7.316668637890836324e-01,1.331674212969647275e+00
4.417670682730923559e+00,8.399583677787914038e-01,1.172727987222275337e+00
4.518072289156626731e+00,9.714517231729986602e-01,1.036410816414378822e+00
4.618473895582329014e+00,1.130741201360941917e+00,9.198648599544041460e-01
4.718875502008032186e+00,1.323223116114993436e+00,8.209751969334115884e-01
4.819277108433734469e+00,1.555775180123591950e+00,7.374512578384373462e-01
4.919678714859437640e+00,1.836168482077944475e+00,6.675329736074799847e-01
5.020080321285140812e+00,2.173811953907327066e+00,6.098765474982031920e-01
5.120481927710843095e+00,2.580540343908989787e+00,5.634421236657072285e-01
5.220883534136546267e+00,3.069339232213340818e+00,5.275858171567028299e-01
5.321285140562248550e+00,3.656369735711421765e+00,5.021356179585042545e-01
5.421686746987951722e+00,4.360203132858868180e+00,4.873392802979564231e-01
5.522088353413654893e+00,5.201440173710817128e+00,4.840375190467965383e-01
5.622489959839357176e+00,6.203606535552853352e+00,4.946175942195101261e-01
5.722891566265060348e+00,7.392479731095570550e+00,5.221746863095041435e-01
5.823293172690762631e+00,8.791987770003910185e+00,5.731282384897140592e-01
