time,R_norm
4.518072289156626731e+00,-3.641066815491201147e+00
4.618473895582329014e+00,-4.172644487626029353e+00
4.718875502008032186e+00,-5.243828841147751163e+00
4.819277108433734469e+00,-7.021537204713220959e+00
4.919678714859437640e+00,-9.761885745580395124e+00
5.020080321285140812e+00,-1.384472871408527617e+01
5.120481927710843095e+00,-1.982839200941798907e+01
5.220883534136546267e+00,-2.849170919286172321e+01
5.321285140562248550e+00,-4.093370256145997388e+01
5.421686746987951722e+00,-5.865305714508307489e+01
5.522088353413654893e+00,-8.361421798731544186e+01
5.622489959839357176e+00,-1.182541696102900914e+02
5.722891566265060348e+00,-1.653883174512099004e+02
5.823293172690762631e+00,-2.273644695515194485e+02
5.923694779116465803e+00,-3.043637726170603628e+02
6.024096385542168974e+00,-3.900895591942954184e+02
6.124497991967871258e+00,-4.639446959338628176e+02
6.224899598393574429e+00,-4.832595414900696937e+02
6.325301204819276712e+00,-3.960754004059076578e+02
6.425702811244979884e+00,-2.707743189957941468e+02
6.526104417670683056e+00,-5.877084083877347211e+02
6.626506024096385339e+00,-1.880768415813895672e+03
6.726907630522088510e+00,-2.837103151136823271e+03
6.827309236947790794e+00,-1.996882675313244590e+03
6.927710843373493965e+00,-8.331484166913617173e+02
7.028112449799197137e+00,-3.306166974812834951e+02
7.128514056224899420e+00,-2.099410674106944157e+02
7.228915662650602592e+00,-1.834301714263912686e+02
7.329317269076304875e+00,-1.638219314216566147e+02
7.429718875502008046e+00,-1.396587070434001987e+02
7.530120481927711218e+00,-1.142408187064685876e+02
7.630522088353413501e+00,-9.083986810252666544e+01
7.730923694779116673e+00,-7.088718088013156660e+01
7.831325301204818956e+00,-5.462452917750971437e+01
7.931726907630522128e+00,-4.173121149329529800e+01
8.032128514056225299e+00,-3.169028715546528829e+01
8.132530120481927582e+00,-2.396729551091347687e+01
8.232931726907629866e+00,-1.808014223077344695e+01
8.333333333333333925e+00,-1.362899624380037444e+01
8.433734939759036209e+00,-1.029290757347654583e+01
8.534136546184738492e+00,-7.822627453255216246e+00
8.634538152610442552e+00,-6.030555766058594891e+00
8.734939759036144835e+00,-4.781293284832602630e+00
8.835341365461847118e+00,-3.984522830752053490e+00
8.935742971887549402e+00,-3.591977296406962950e+00
9.036144578313253461e+00,-3.595093872730494855e+00
9.136546184738955745e+00,-4.028432714231811929e+00
9.236947791164658028e+00,-4.978521925976607143e+00
9.337349397590362088e+00,-6.593057509870252630e+00
9.437751004016064371e+00,-9.107321204379715596e+00
