time,->1,1->1,2->1,3->1,->2,2->2,3->2,4->2,->3,3->3,4->3,1->3,->4,4->4,1->4,2->4,->5,8->5,5->5,->6,8->6,6->6,->7,8->7,7->7,2->8,4->9
0.0,8.0,-7.0,-0.9999999999999999,-1.0,8.0,-0.9999999999999999,-1.0,-1.0,8.0,-1.0,-1.0,-7.0,8.0,-1.0,-7.0,-0.9999999999999999,12.0,0.3,-14.0,16.0,0.3,-12.0,14.0,0.3,-13.0,0.009999999999999997,0.01
0.10077519379844961,8.0,-6.372092117893469,-1.620615541348669,-0.941686209880298,8.0,-1.620615541348669,-0.941686209880298,-0.911227032840295,8.0,-0.941686209880298,-0.911227032840295,-6.372092117893469,8.0,-0.911227032840295,-6.372092117893469,-1.620615541348669,12.0,0.30068852882527675,-12.748415900233418,16.0,0.30068852882527675,-15.243515644954124,14.0,0.30068852882527675,-13.969644602047987,0.04256376121790562,0.007566234298467612
0.20155038759689922,8.0,-5.7425852092352505,-2.4650615984985103,-0.9536073969296609,8.0,-2.4650615984985103,-0.9536073969296609,-0.8272319554300546,8.0,-0.9536073969296609,-0.8272319554300546,-5.7425852092352505,8.0,-0.8272319554300546,-5.7425852092352505,-2.4650615984985103,12.0,0.3033324155012716,-12.42798018505014,16.0,0.3033324155012716,-16.086006928472557,14.0,0.3033324155012716,-14.221972015777363,0.14979017512069467,0.00566085339634486
0.3023255813953488,8.0,-5.02469222351641,-3.4314653758534157,-1.037524107962833,8.0,-3.4314653758534157,-1.037524107962833,-0.7389721495575108,8.0,-1.037524107962833,-0.7389721495575108,-5.02469222351641,8.0,-0.7389721495575108,-5.02469222351641,-3.4314653758534157,12.0,0.3114625923014556,-12.342153014220981,16.0,0.3114625923014556,-16.26444838790716,14.0,0.3114625923014556,-14.287315945781579,0.40405349100268767,0.004035377915850802
0.40310077519379844,8.0,-4.25492707140063,-4.324575860964885,-1.2126266132593089,8.0,-4.324575860964885,-1.2126266132593089,-0.6528919816573089,8.0,-1.2126266132593089,-0.6528919816573089,-4.25492707140063,8.0,-0.6528919816573089,-4.25492707140063,-4.324575860964885,12.0,0.3308013063020525,-12.327752149142375,16.0,0.3308013063020525,-16.311271268340256,14.0,0.3308013063020525,-14.313957364149582,0.808780291018312,0.002783069198758122
0.5038759689922481,8.0,-3.5142671580275504,-4.962890745182232,-1.5070845307288736,8.0,-4.962890745182232,-1.5070845307288736,-0.5806120710416192,8.0,-1.5070845307288736,-0.5806120710416192,-3.5142671580275504,8.0,-0.5806120710416192,-3.5142671580275504,-4.962890745182232,12.0,0.3667356734029695,-12.344229641965867,16.0,0.3667356734029695,-16.344164606658314,14.0,0.3667356734029695,-14.342621465751169,1.2223741123752856,0.001957303541823732
0.6046511627906976,8.0,-2.8620167746903618,-5.266039557052875,-1.9490386493155623,8.0,-5.266039557052875,-1.9490386493155623,-0.5315408320110823,8.0,-1.9490386493155623,-0.5315408320110823,-2.8620167746903618,8.0,-0.5315408320110823,-2.8620167746903618,-5.266039557052875,12.0,0.4206686873761428,-12.382397204339988,16.0,0.4206686873761428,-16.388846394675014,14.0,0.4206686873761428,-14.385478504111866,1.4603345196166422,0.0015017923771355117
0.7054263565891473,8.0,-2.316583883492258,-5.2466919953457305,-2.549301155261559,8.0,-5.2466919953457305,-2.549301155261559,-0.5115426129796222,8.0,-2.549301155261559,-0.5115426129796222,-2.316583883492258,8.0,-0.5115426129796222,-2.316583883492258,-5.2466919953457305,12.0,0.48798523889950113,-12.43810766544446,16.0,0.48798523889950113,-16.44843438743023,14.0,0.48798523889950113,-14.44371616353173,1.4442976667954393,0.0013385834545073712
0.8062015503875969,8.0,-1.8716203498695265,-4.965902173119637,-3.277338960139916,8.0,-4.965902173119637,-3.277338960139916,-0.5258300610542493,8.0,-3.277338960139916,-0.5258300610542493,-1.8716203498695265,8.0,-0.5258300610542493,-1.8716203498695265,-4.965902173119637,12.0,0.5589338605604085,-12.504507823615096,16.0,0.5589338605604085,-16.516994025322838,14.0,0.5589338605604085,-14.511483488440241,1.224600632667015,0.0014539056748327783
0.9069767441860465,8.0,-1.5149071167591885,-4.507066433474594,-4.049407619346246,8.0,-4.507066433474594,-4.049407619346246,-0.5825172398003796,8.0,-4.049407619346246,-0.5825172398003796,-1.5149071167591885,8.0,-0.5825172398003796,-1.5149071167591885,-4.507066433474594,12.0,0.6227332690281062,-12.571835140130208,16.0,0.6227332690281062,-16.58456790915062,14.0,0.6227332690281062,-14.579050945525882,0.9155496030194797,0.0019766343986043354
1.0077519379844961,8.0,-1.2361485676157105,-3.960809745631179,-4.751295255724635,8.0,-3.960809745631179,-4.751295255724635,-0.695524351951268,8.0,-4.751295255724635,-0.695524351951268,-1.2361485676157105,8.0,-0.695524351951268,-1.2361485676157105,-3.960809745631179,12.0,0.6725823800946386,-12.630975492523511,16.0,0.6725823800946386,-16.64224784854255,14.0,0.6725823800946386,-14.637439681484203,0.6213723811137392,0.0033646277370821165
