time,->1,2->1,3->1,4->1,->2,1->2,->3,1->3,->4,1->4
0.0,1.2,-0.39999999999999997,-0.18,-0.08000000000000002,-0.5,1.0999999999999999,-0.6,0.9999999999999999,-0.4,0.8999999999999999
0.10050251256281408,1.2,-0.42613240092421906,-0.18789261250430625,-0.08432845631454354,-0.5,1.1591709276237288,-0.6,1.0537917523852078,-0.4,0.948412577146687
0.20100502512562815,1.2,-0.4566411419428762,-0.19717933053008793,-0.08931848330916901,-0.5,1.216439573429541,-0.6,1.105854157663219,-0.4,0.9952687418968972
0.30150753768844224,1.2,-0.49208223037528537,-0.20798122369343225,-0.09503826128576737,-0.5,1.2703545017180324,-0.6,1.1548677288345748,-0.4,1.0393809559511173
0.4020100502512563,1.2,-0.5330282041207005,-0.22041046137285594,-0.10155385756664395,-0.5,1.3192312568778046,-0.6,1.199301142616186,-0.4,1.0793710283545674
0.5025125628140704,1.2,-0.5800321910415974,-0.23455723031709858,-0.10892361815492689,-0.5,1.361184175561765,-0.6,1.2374401596016045,-0.4,1.113696143641444
0.6030150753768845,1.2,-0.6335741407819994,-0.2504721723536661,-0.11719047801891092,-0.5,1.3941932642215937,-0.6,1.2674484220196305,-0.4,1.1407035798176675
0.7035175879396985,1.2,-0.6939865767358326,-0.26814430988608173,-0.1263720967902192,-0.5,1.4162144872408364,-0.6,1.2874677156734875,-0.4,1.1587209441061388
0.8040201005025126,1.2,-0.7613615215462282,-0.2874759425592002,-0.13644935837520564,-0.5,1.4253365327628158,-0.6,1.2957604843298325,-0.4,1.1661844358968492
0.9045226130653267,1.2,-0.8354449691259911,-0.3082574539424661,-0.1473543789062647,-0.5,1.4199802012869351,-0.6,1.2908910920790317,-0.4,1.1618019828711286
1.0050251256281408,1.2,-0.9155352285569127,-0.33014729642102236,-0.15896022364487725,-0.5,1.3991182751857025,-0.6,1.271925704714275,-0.4,1.1447331342428475
1.105527638190955,1.2,-1.000407345830341,-0.35266359085382,-0.17107507343774286,-0.5,1.3624838922544376,-0.6,1.2386217202313068,-0.4,1.1147595482081762
1.206030150753769,1.2,-1.088291882962816,-0.3751940660866736,-0.1834438757517945,-0.5,1.3107197197267704,-0.6,1.1915633815697912,-0.4,1.0724070434128121
1.306532663316583,1.2,-1.1769327166372832,-0.3970287556794247,-0.19575970399062645,-0.5,1.245420718260475,-0.6,1.1322006529640682,-0.4,1.0189805876676614
1.407035175879397,1.2,-1.2637337799593178,-0.41741467088597806,-0.20768501032222386,-0.5,1.169039805614448,-0.6,1.0627634596494981,-0.4,0.9564871136845483
1.5075376884422111,1.2,-1.3459815291654944,-0.4356252561965212,-0.21888028135998613,-0.5,1.0846580217113977,-0.6,0.9860527470103615,-0.4,0.8874474723093254
1.6080402010050252,1.2,-1.421105537998035,-0.4510318762073606,-0.2290351200850998,-0.5,0.9956585639687141,-0.6,0.9051441490624673,-0.4,0.8146297341562206
1.7085427135678393,1.2,-1.4869255563552137,-0.463162985057131,-0.23789576131306853,-0.5,0.9053718073958228,-0.6,0.8230652794507479,-0.4,0.7407587515056732
1.8090452261306533,1.2,-1.5418357575488641,-0.4717395227770403,-0.24528385097041894,-0.5,0.8167635531254044,-0.6,0.7425123210230948,-0.4,0.6682610889207854
1.9095477386934674,1.2,-1.5848957662771885,-0.4766818268403896,-0.25110382535077375,-0.5,0.7322207334356853,-0.6,0.6656552122142593,-0.4,0.5990896909928334
2.0100502512562817,1.2,-1.6158249693047844,-0.478090814721559,-0.2553392769981066,-0.5,0.6534550166936629,-0.6,0.5940500151760572,-0.4,0.5346450136584514
2.1105527638190957,1.2,-1.6349189319859372,-0.4762113518206207,-0.25804099548938614,-0.5,0.5815136757705179,-0.6,0.5286487961550163,-0.4,0.47578391653951463
2.21105527638191,1.2,-1.6429200536781785,-0.47138792211052805,-0.25931057036818256,-0.5,0.516865615710272,-0.6,0.46987783246388365,-0.4,0.4228900492174953
2.311557788944724,1.2,-1.6408731837283412,-0.46402085691110273,-0.2592829997759389,-0.5,0.45952653110019803,-0.6,0.4177513919092709,-0.4,0.37597625271834384
2.412060301507538,1.2,-1.629991297097496,-0.4545291255579048,-0.25811099993857906,-0.5,0.4091913822422754,-0.6,0.3719921656747958,-0.4,0.3347929491073162
2.512562814070352,1.2,-1.6115449673027002,-0.4433221751597903,-0.25595236941949867,-0.5,0.36535367573886945,-0.6,0.332139705217154,-0.4,0.29892573469543865
2.613065326633166,1.2,-1.586780753840139,-0.43078106361183116,-0.2529608234269166,-0.5,0.32740134917770447,-0.6,0.2976375901615495,-0.4,0.26787383114539454
2.71356783919598,1.2,-1.5568671693668286,-0.41724763267535847,-0.24928003292572717,-0.5,0.2946871046906622,-0.6,0.267897367900602,-0.4,0.2411076311105418
