time,R_norm
0.000000000000000000e+00,-6.374999999999999289e+01
1.010101010101010083e-01,-2.221257979948553540e+01
2.020202020202020166e-01,-1.096352916707829017e+01
3.030303030303030387e-01,-9.678024249058877260e+00
4.040404040404040331e-01,-1.316084456725942431e+01
5.050505050505050830e-01,-1.737826497196552467e+01
6.060606060606060774e-01,-1.848383688279932358e+01
7.070707070707070718e-01,-1.547553202905409719e+01
8.080808080808080662e-01,-1.074259807249931420e+01
9.090909090909090606e-01,-7.333737207563263638e+00
1.010101010101010166e+00,-6.605819173857054416e+00
1.111111111111111160e+00,-8.127976330252810300e+00
1.212121212121212155e+00,-1.058333488000840106e+01
1.313131313131313149e+00,-1.248911898055292191e+01
1.414141414141414144e+00,-1.278372553944974221e+01
1.515151515151515138e+00,-1.126535568572883506e+01
1.616161616161616132e+00,-8.766784909624643518e+00
1.717171717171717127e+00,-6.791259350731021271e+00
1.818181818181818121e+00,-6.755480696956130515e+00
1.919191919191919116e+00,-9.189241668115721851e+00
2.020202020202020332e+00,-1.320490393116557826e+01
2.121212121212121104e+00,-1.664042196733424461e+01
2.222222222222222321e+00,-1.728604245592729427e+01
2.323232323232323093e+00,-1.461834420108524313e+01
2.424242424242424310e+00,-1.055753079803678141e+01
2.525252525252525082e+00,-8.311598542659265121e+00
2.626262626262626299e+00,-1.001986270667270595e+01
2.727272727272727071e+00,-1.486683437352665571e+01
2.828282828282828287e+00,-1.928093122258522030e+01
2.929292929292929060e+00,-1.973176019128971603e+01
3.030303030303030276e+00,-1.594625978885554929e+01
3.131313131313131048e+00,-1.080209118167955751e+01
3.232323232323232265e+00,-7.331361191385293630e+00
3.333333333333333481e+00,-6.681418170443903293e+00
3.434343434343434254e+00,-8.284770930614847373e+00
3.535353535353535470e+00,-1.077566848372479669e+01
3.636363636363636243e+00,-1.267616276984362145e+01
3.737373737373737459e+00,-1.292320640578520674e+01
3.838383838383838231e+00,-1.133894227234141283e+01
3.939393939393939448e+00,-8.797329047053779050e+00
4.040404040404040664e+00,-6.822590517843318381e+00
4.141414141414140992e+00,-6.840764648150122085e+00
4.242424242424242209e+00,-9.355542021873505476e+00
4.343434343434343425e+00,-1.343370953984326377e+01
4.444444444444444642e+00,-1.686217979446331228e+01
4.545454545454544970e+00,-1.742535117927986121e+01
4.646464646464646187e+00,-1.465156837302007808e+01
4.747474747474747403e+00,-1.054746482505086114e+01
4.848484848484848619e+00,-8.377440384912514304e+00
4.949494949494949836e+00,-1.021588276529643480e+01
5.050505050505050164e+00,-1.516843757402337900e+01
5.151515151515151381e+00,-1.954797138959080272e+01
5.252525252525252597e+00,-1.982139003611004568e+01
5.353535353535353813e+00,-1.579135358655923049e+01
5.454545454545454142e+00,-1.054977992221792782e+01
5.555555555555555358e+00,-7.194872827831536810e+00
5.656565656565656575e+00,-6.695639037468231081e+00
5.757575757575757791e+00,-8.397906510255651824e+00
5.858585858585858119e+00,-1.092360429778558384e+01
5.959595959595959336e+00,-1.280925159380815792e+01
6.060606060606060552e+00,-1.299823400815937013e+01
6.161616161616161769e+00,-1.135179102267589890e+01
6.262626262626262097e+00,-8.769915272697838660e+00
6.363636363636363313e+00,-6.815609290491038585e+00
6.464646464646464530e+00,-6.908784676734277319e+00
6.565656565656565746e+00,-9.526096063982443241e+00
6.666666666666666963e+00,-1.368140841683268505e+01
6.767676767676767291e+00,-1.711951387065700914e+01
6.868686868686868507e+00,-1.761062428106452060e+01
6.969696969696969724e+00,-1.472889317206483639e+01
7.070707070707070940e+00,-1.056063162881023310e+01
7.171717171717171269e+00,-8.416833834342842380e+00
7.272727272727272485e+00,-1.037534292909350597e+01
7.373737373737373701e+00,-1.545061953810284017e+01
7.474747474747474918e+00,-1.986640826283544570e+01
7.575757575757575246e+00,-2.007683443300887660e+01
7.676767676767676463e+00,-1.602700458863920474e+01
7.777777777777777679e+00,-1.076300452573174660e+01
7.878787878787878896e+00,-7.324943846747534515e+00
7.979797979797979224e+00,-6.787423512249615598e+00
8.080808080808081328e+00,-8.506802660324922272e+00
8.181818181818181657e+00,-1.106357253240659588e+01
8.282828282828281985e+00,-1.296442919576783126e+01
8.383838383838384090e+00,-1.314602086471097131e+01
8.484848484848484418e+00,-1.146483732177584969e+01
8.585858585858586522e+00,-8.845385848554744967e+00
8.686868686868686851e+00,-6.864076201153761048e+00
8.787878787878787179e+00,-6.952146003229109361e+00
8.888888888888889284e+00,-9.595276544854471013e+00
8.989898989898989612e+00,-1.379794667321674595e+01
9.090909090909089940e+00,-1.727466199028996741e+01
9.191919191919192045e+00,-1.776784971879590458e+01
9.292929292929292373e+00,-1.485061970949405286e+01
9.393939393939394478e+00,-1.063733552497694390e+01
9.494949494949494806e+00,-8.476700624657404148e+00
9.595959595959595134e+00,-1.045192728330182241e+01
9.696969696969697239e+00,-1.557528115790828416e+01
9.797979797979797567e+00,-2.000773514566224165e+01
9.898989898989899672e+00,-2.016723091426345960e+01
1.000000000000000000e+01,-1.600682369313305742e+01
