time,1->1,2->1,3->1,4->1,1->2,2->2,3->2,4->2,1->3,2->3,3->3,4->3,1->4,2->4,3->4,4->4
0.0,-1.500001000076523,-2.000000000279556,0.0,-1.000000000139778,0.0,-5.50000100041359,-4.000000000559112,-2.000000000279556,-6.000000000838668,0.0,-3.5000010005781235,-3.000000000419334,5.249999999179522,3.500000000489223,1.7499999986902992,-8.000002001296025
0.10101010101010101,-0.1935328972635375,-2.0486271233854936,0.0,-1.0243135621923471,0.0,-3.977045807346258,-2.971206812141247,-1.4856034060706236,-5.832140031580835,0.0,-3.0544661202003276,-2.916070017067174,4.760546942872423,3.173697963099187,1.586848982881861,-7.21468509290446
0.20202020202020202,0.346489976488229,-2.314537968395314,0.0,-1.157268984641746,0.0,-3.100863852800728,-2.384181086334536,-1.192090543167268,-5.761891800404317,0.0,-3.0312207371929745,-2.8809459002299143,4.43218495149722,2.954789968478977,1.4773949856827784,-6.450694903348264
0.30303030303030304,0.40577456417167923,-2.7389588530546405,0.0,-1.369479427193454,0.0,-2.47001609943176,-2.011452084893506,-1.005726042446753,-5.6147495173242135,0.0,-3.197522869147207,-2.8073747586621067,4.265720246476867,2.8438134960229178,1.4219067480114589,-5.911623431109625
0.40404040404040403,0.12491640966061368,-3.2819248003690404,0.0,-1.6409624001845202,0.0,-1.896589673089366,-1.7744753184611994,-0.8872376592305997,-5.303430882008797,0.0,-3.4040391558853855,-2.6517154423366662,4.228023707350537,2.818682469887812,1.409341234950845,-5.600192908961077
0.5050505050505051,-0.3884696564426804,-3.8865958424949554,0.0,-1.9432979212474777,0.0,-1.3187174247031308,-1.6437282421843946,-0.8218641210921973,-4.816843611088473,0.0,-3.561585025124714,-2.4084218055442363,4.28721685774569,2.8581445701281183,1.4290722850640591,-5.491558384806972
0.6060606060606061,-1.021724317151751,-4.473652992054156,0.0,-2.236826496027078,0.0,-0.7544892478353327,-1.606875216053627,-0.8034376080268135,-4.20641792064913,0.0,-3.6212670240232114,-2.103208960324565,4.411792672187609,2.9411951147917392,1.4705975573958696,-5.5545006162338595
0.7070707070707071,-1.6620750105111881,-4.958295353407749,0.0,-2.4791476773700083,0.0,-0.26059522673094193,-1.658601858245401,-0.8293009293169895,-3.5568155709597704,0.0,-3.560288721615734,-1.7784077854798852,4.567765195861995,3.0451767980554934,1.5225883975844567,-5.743482854647652
0.8080808080808081,-2.2211788155424017,-5.276328952197318,0.0,-2.6381644759876366,0.0,0.10569076436262037,-1.7973652197689205,-0.8986826102175272,-2.949459370960028,0.0,-3.3732729676216877,-1.474729685480014,4.721225473458546,3.147483646159799,1.5737418245231893,-5.996642417516185
0.9090909090909091,-2.6532237244469847,-5.399627016317021,0.0,-2.6998135087552555,0.0,0.30892314795138986,-2.023504184656133,-1.0117520923280665,-2.4374801461668483,0.0,-3.067199682682542,-1.2187400728613795,4.845137280162781,3.2300915210337067,1.6150457591290746,-6.249525692059166
1.0101010101010102,-2.9528774362352905,-5.333030270615602,0.0,-2.6665151359184236,0.0,0.3387215763428486,-2.3366837034188848,-1.1683418517094424,-2.041431258925641,0.0,-2.6576249911869354,-1.0207156295738429,4.9247436944566125,3.2831624620088817,1.641581229561151,-6.454179477366484
1.1111111111111112,-3.1387614385369744,-5.101497830839463,0.0,-2.5507489160858654,0.0,0.20334149075651453,-2.7321909676913947,-1.3660954838456973,-1.7593949024341526,0.0,-2.165965372835643,-0.8796974513280986,4.957607461705815,3.305071640161139,1.652535818616463,-6.588220977224446
1.2121212121212122,-3.235690244629552,-4.739434624312366,0.0,-2.3697173126002724,0.0,-0.07620876418812372,-3.196615772527167,-1.5983078869297174,-1.5799531457583171,0.0,-1.619027615973323,-0.7899765728236474,4.9494582740894355,3.299638846460118,1.6498194246872266,-6.650685243303478
1.3131313131313131,-3.2634307500778448,-4.286068018721778,0.0,-2.1430340098049783,0.0,-0.4688145178732839,-3.7043957066273947,-1.8521978533136974,-1.4914517869057953,0.0,-1.050486831688513,-0.7457258934528976,4.909449041190506,3.27296602359306,1.6364830118242857,-6.65225429108407
1.4141414141414141,-3.2322836132081534,-3.7837770663351478,0.0,-1.8918885333896185,0.0,-0.9352253682592959,-4.217168015685502,-2.108584007842751,-1.4867188204426007,0.0,-0.5018344185481194,-0.7433594105266117,4.847006297103995,3.2313375323278493,1.6156687676072146,-6.607255616353225
1.5151515151515151,-3.142757212248881,-3.275397995938789,0.0,-1.63769899774735,0.0,-1.4320260031119858,-4.687138845493877,-2.3435694225248938,-1.5646667842483808,0.0,-0.020285153445875892,-0.7823333925127685,4.770329061987155,3.180219376508475,1.59010968547868,-6.529594878679212
1.6161616161616161,-2.987183428615481,-2.799500014916134,0.0,-1.399750007458067,0.0,-1.9176866674630588,-5.063839838781448,-2.5319199199458353,-1.7300032557621137,0.0,0.34665315529203156,-0.8650016278810568,4.685763861145276,3.1238425750590437,1.5619212888617895,-6.431326554978689
1.7171717171717171,-2.752701183883488,-2.3856047766113164,0.0,-1.1928023884166805,0.0,-2.3584509892815575,-5.30206452664661,-2.6510322633788164,-1.9913545821204082,0.0,0.5580087583112459,-0.9956772915042933,4.597546323314994,3.0650308830981743,1.5325154428813548,-6.322051040896781
1.8181818181818181,-2.426100862873426,-2.051918331913427,0.0,-1.0259591658456912,0.0,-2.731567038533056,-5.368924468535097,-2.6844622348642933,-2.3573845071567234,0.0,0.5854390998649706,-1.1786922535783617,4.507885592808236,3.005257062760336,1.5026285300479003,-6.208283140352044
1.9191919191919191,-2.0010540580095437,-1.806549585592343,0.0,-0.9032747928516827,0.0,-3.024936619411278,-5.249456531020158,-2.6247282660651905,-2.8304321473271443,0.0,0.41797032634960374,-1.4152160736635722,4.4175704105864355,2.945046941316143,1.4725234692702927,-6.092941272961561
2.0202020202020203,-1.4870454331239458,-1.6512648719491096,0.0,-0.8256324359745548,0.0,-3.2340095075245046,-4.9510131021612835,-2.475506551524731,-3.3982289475709138,0.0,0.0657387211333571,-1.6991144740075015,4.327149691008003,2.884766462374344,1.442383228633659,-5.975555396831034
2.121212121212121,-0.9170790674917217,-1.586021073293753,0.0,-0.7930105366399376,0.0,-3.357446934693087,-4.505433067514275,-2.2527165337571375,-4.02638894048124,0.0,-0.43803494254035513,-2.0131944711287986,4.2384358907021635,2.825623930502452,1.4128119627532243,-5.853668137434376
2.2222222222222223,-0.34944084831289857,-1.6127913545771477,0.0,-0.8063956774551073,0.0,-3.3928658540460788,-3.966120516007976,-1.9830602582260326,-4.656216360920951,0.0,-1.039536695390808,-2.3281081804604753,4.155791966220512,2.7705279782574976,1.3852639879630146,-5.725406048484594
2.323232323232323,0.13995774195141308,-1.7376967460513981,0.0,-0.8688483732477437,0.0,-3.333716081854732,-3.3979400657635495,-1.6989700331038193,-5.211370571078788,0.0,-1.6734727630307589,-2.6056852857614388,4.086606668729509,2.724404444209849,1.3622022221326802,-5.592534550624695
2.4242424242424243,0.4732730514156458,-1.9705428928595836,0.0,-0.985271446873881,0.0,-3.1685737966746785,-2.8624063728166504,-1.4312031861862806,-5.612389742726265,0.0,-2.2767103180498793,-2.8061948713631324,4.040665023102852,2.6937766804679963,1.3468883402201204,-5.462900938918436
2.525252525252525,0.5887581164820688,-2.320596461657942,0.0,-1.1602982312730603,0.0,-2.884540368341959,-2.4049347024934775,-1.2024673514687834,-5.793894945149702,0.0,-2.800202129060736,-2.896947473907119,4.028564580364769,2.685709719445206,1.3428548585325828,-5.351452442049765
