time,->1,1->1,2->1,4->1,->2,2->2,3->2,4->2,->3,1->3,3->3,4->3,->4,1->4,2->4,3->4,4->4
0.0,8.0,-1.0,-4.0,-3.5,8.0,-2.0,-5.999999999999999,-3.5,8.0,-2.0,-2.9999999999999996,-3.5,1.0,1.5,2.0,1.4999999999999998,-7.0
0.10101010101010101,8.0,-1.02431356204862,-2.971206811620005,-3.1736979623316763,8.0,-1.4856034058100025,-5.832140033372508,-3.1736979623316763,8.0,-2.04862712409724,-2.916070016686254,-3.1736979623316763,1.0,1.5364703430729298,1.4856034058100025,1.458035008343127,-6.347395924663353
0.20202020202020202,8.0,-1.1572689845454571,-2.384181086209053,-2.954789968070103,8.0,-1.1920905431045266,-5.7618917995948005,-2.954789968070103,8.0,-2.3145379690909142,-2.8809458997974002,-2.954789968070103,1.0,1.7359034768181858,1.1920905431045266,1.4404729498987001,-5.909579936140206
0.30303030303030304,8.0,-1.3694794270273125,-2.0114520847872073,-2.8438134980987795,8.0,-1.0057260423936036,-5.614749516702966,-2.8438134980987795,8.0,-2.738958854054625,-2.807374758351483,-2.8438134980987795,1.0,2.054219140540969,1.0057260423936036,1.4036873791757416,-5.687626996197559
0.40404040404040403,8.0,-1.6409623999016805,-1.7744753182115174,-2.818682472006423,8.0,-0.8872376591057587,-5.303430883540958,-2.818682472006423,8.0,-3.281924799803361,-2.651715441770479,-2.818682472006423,1.0,2.4614435998525206,0.8872376591057587,1.3258577208852396,-5.637364944012846
0.5050505050505051,8.0,-1.9432979209919996,-1.6437282419541124,-2.8581445722663097,8.0,-0.8218641209770562,-4.816843610320818,-2.8581445722663097,8.0,-3.886595841983999,-2.408421805160409,-2.8581445722663097,1.0,2.9149468814879995,0.8218641209770562,1.2042109025802046,-5.716289144532619
0.6060606060606061,8.0,-2.236826495722045,-1.6068752158302986,-2.941195111767514,8.0,-0.8034376079151493,-4.206417920125071,-2.941195111767514,8.0,-4.47365299144409,-2.1032089600625357,-2.941195111767514,1.0,3.355239743583067,0.8034376079151493,1.0516044800312678,-5.882390223535028
0.7070707070707071,8.0,-2.479147676871862,-1.658601858397207,-3.045176797742577,8.0,-0.8293009291986035,-3.556815570519571,-3.045176797742577,8.0,-4.958295353743724,-1.7784077852597855,-3.045176797742577,1.0,3.718721515307793,0.8293009291986035,0.8892038926298927,-6.090353595485154
0.8080808080808081,8.0,-2.6381644757912492,-1.7973652202711525,-3.147483645773201,8.0,-0.8986826101355763,-2.949459370312192,-3.147483645773201,8.0,-5.2763289515824985,-1.474729685156096,-3.147483645773201,1.0,3.9572467136868736,0.8986826101355763,0.737364842578048,-6.294967291546402
0.9090909090909091,8.0,-2.6998135083760766,-2.0235041843370944,-3.2300915205936938,8.0,-1.0117520921685472,-2.4374801458116226,-3.2300915205936938,8.0,-5.399627016752153,-1.2187400729058113,-3.2300915205936938,1.0,4.049720262564115,1.0117520921685472,0.6093700364529057,-6.4601830411873875
1.0101010101010102,8.0,-2.6665151355633174,-2.33668370324939,-3.2831624615364503,8.0,-1.168341851624695,-2.041431258741336,-3.2831624615364503,8.0,-5.333030271126635,-1.020715629370668,-3.2831624615364503,1.0,3.999772703344976,1.168341851624695,0.510357814685334,-6.566324923072901
1.1111111111111112,8.0,-2.550748915639871,-2.732190967029906,-3.305071639697856,8.0,-1.366095483514953,-1.7593949020602604,-3.305071639697856,8.0,-5.101497831279742,-0.8796974510301302,-3.305071639697856,1.0,3.8261233734598066,1.366095483514953,0.4398487255150651,-6.610143279395712
1.2121212121212122,8.0,-2.369717312312015,-3.1966157735891345,-3.299638846008261,8.0,-1.5983078867945673,-1.579953145547781,-3.299638846008261,8.0,-4.73943462462403,-0.7899765727738906,-3.299638846008261,1.0,3.5545759684680225,1.5983078867945673,0.3949882863869453,-6.599277692016522
1.3131313131313131,8.0,-2.143034009429376,-3.704395706343593,-3.2729660260325937,8.0,-1.8521978531717964,-1.491451786690085,-3.2729660260325937,8.0,-4.286068018858752,-0.7457258933450425,-3.2729660260325937,1.0,3.214551014144064,1.8521978531717964,0.37286294667252123,-6.545932052065187
1.4141414141414141,8.0,-1.891888532841096,-4.217168015184745,-3.231337531882108,8.0,-2.1085840075923725,-1.4867188208912563,-3.231337531882108,8.0,-3.783777065682192,-0.7433594104456281,-3.231337531882108,1.0,2.837832799261644,2.1085840075923725,0.37167970522281407,-6.462675063764216
1.5151515151515151,8.0,-1.637698997689666,-4.687138845065572,-3.1802193732547375,8.0,-2.343569422532786,-1.5646667847621811,-3.1802193732547375,8.0,-3.275397995379332,-0.7823333923810906,-3.1802193732547375,1.0,2.456548496534499,2.343569422532786,0.3911666961905453,-6.360438746509475
1.6161616161616161,8.0,-1.3997500072441158,-5.063839839239324,-3.123842574625535,8.0,-2.531919919619662,-1.7300032556185394,-3.123842574625535,8.0,-2.7995000144882316,-0.8650016278092697,-3.123842574625535,1.0,2.099625010866174,2.531919919619662,0.43250081390463485,-6.24768514925107
1.7171717171717171,8.0,-1.1928023880773304,-5.302064525946487,-3.0650308826916577,8.0,-2.6510322629732435,-1.9913545827353911,-3.0650308826916577,8.0,-2.385604776154661,-0.9956772913676956,-3.0650308826916577,1.0,1.7892035821159955,2.6510322629732435,0.4978386456838478,-6.130061765383315
1.8181818181818181,8.0,-1.0259591657901055,-5.3689244689761075,-3.0052570623389716,8.0,-2.6844622344880538,-2.3573845068262993,-3.0052570623389716,8.0,-2.051918331580211,-1.1786922534131496,-3.0052570623389716,1.0,1.5389387486851582,2.6844622344880538,0.5893461267065748,-6.010514124677943
1.9191919191919191,8.0,-0.9032747926911854,-5.249456531548919,-2.9450469408978757,8.0,-2.6247282657744595,-2.8304321466359235,-2.9450469408978757,8.0,-1.8065495853823708,-1.4152160733179617,-2.9450469408978757,1.0,1.3549121890367781,2.6247282657744595,0.7076080366589809,-5.890093881795751
2.0202020202020203,8.0,-0.8256324358574854,-4.951013102612463,-2.884766459469777,8.0,-2.4755065513062315,-3.398228947235317,-2.884766459469777,8.0,-1.6512648717149707,-1.6991144736176584,-2.884766459469777,1.0,1.238448653786228,2.4755065513062315,0.8495572368088292,-5.769532918939554
2.121212121212121,8.0,-0.7930105365373515,-4.5054330667511975,-2.8256239275585897,8.0,-2.2527165333755987,-4.026388941824484,-2.8256239275585897,8.0,-1.586021073074703,-2.013194470912242,-2.8256239275585897,1.0,1.1895158048060273,2.2527165333755987,1.006597235456121,-5.651247855117179
2.2222222222222223,8.0,-0.8063956773569642,-3.966120515601038,-2.770527977895358,8.0,-1.983060257800519,-4.656216360181925,-2.770527977895358,8.0,-1.6127913547139283,-2.3281081800909624,-2.770527977895358,1.0,1.2095935160354463,1.983060257800519,1.1640540900454812,-5.541055955790716
2.323232323232323,8.0,-0.8688483731146642,-3.3979400655400185,-2.7244044462142347,8.0,-1.6989700327700092,-5.211370570207128,-2.7244044462142347,8.0,-1.7376967462293285,-2.605685285103564,-2.7244044462142347,1.0,1.3032725596719963,1.6989700327700092,1.302842642551782,-5.448808892428469
2.4242424242424243,8.0,-0.9852714467295973,-2.862406372480221,-2.6937766824850766,8.0,-1.4312031862401104,-5.612389741816806,-2.6937766824850766,8.0,-1.9705428934591946,-2.806194870908403,-2.6937766824850766,1.0,1.477907170094396,1.4312031862401104,1.4030974354542014,-5.387553364970153
2.525252525252525,8.0,-1.160298231343553,-2.404934702474539,-2.685709719070356,8.0,-1.2024673512372694,-5.79389494691657,-2.685709719070356,8.0,-2.320596462687106,-2.896947473458285,-2.685709719070356,1.0,1.7404473470153294,1.2024673512372694,1.4484737367291425,-5.371419438140712
2.6262626262626263,8.0,-1.3938711967900341,-2.049922635008529,-2.7063140554060423,8.0,-1.0249613175042644,-5.719686289522595,-2.7063140554060423,8.0,-2.7877423935800683,-2.8598431447612973,-2.7063140554060423,1.0,2.0908067951850513,1.0249613175042644,1.4299215723806487,-5.412628110812085
2.727272727272727,8.0,-1.6753098999789053,-1.8039953760953495,-2.7588606075127013,8.0,-0.9019976880476748,-5.393715399722226,-2.7588606075127013,8.0,-3.3506197999578107,-2.696857699861113,-2.7588606075127013,1.0,2.512964849968358,0.9019976880476748,1.3484288499305566,-5.517721215025403
2.8282828282828283,8.0,-1.9791502079002252,-1.6633823661254807,-2.84161616231271,8.0,-0.8316911830627404,-4.864196358121768,-2.84161616231271,8.0,-3.9583004158004504,-2.432098179060884,-2.84161616231271,1.0,2.9687253118503376,0.8316911830627404,1.216049089530442,-5.68323232462542
2.929292929292929,8.0,-2.267547123630037,-1.6210343894264396,-2.9462081043138126,8.0,-0.8105171947132198,-4.215029226082199,-2.9462081043138126,8.0,-4.535094247260074,-2.1075146130410993,-2.9462081043138126,1.0,3.4013206854450555,0.8105171947132198,1.0537573065205497,-5.892416208627625
3.0303030303030303,8.0,-2.500710806488185,-1.6711686783632025,-3.0581631047627114,8.0,-0.8355843391816012,-3.5424134545941253,-3.0581631047627114,8.0,-5.00142161297637,-1.7712067272970626,-3.0581631047627114,1.0,3.7510662097322776,0.8355843391816012,0.8856033636485313,-6.116326209525423
3.131313131313131,8.0,-2.6496073622504737,-1.8109155822142697,-3.1606489426915,8.0,-0.9054577911071349,-2.9266581418498623,-3.1606489426915,8.0,-5.299214724500947,-1.4633290709249311,-3.1606489426915,1.0,3.9744110433757105,0.9054577911071349,0.7316645354624656,-6.321297885383
3.2323232323232323,8.0,-2.7024389406337743,-2.0395883732528337,-3.2398820377454065,8.0,-1.0197941866264169,-2.4152526408740025,-3.2398820377454065,8.0,-5.404877881267549,-1.2076263204370012,-3.2398820377454065,1.0,4.0536584109506615,1.0197941866264169,0.6038131602185006,-6.479764075490813
3.3333333333333335,8.0,-2.6624988820713154,-2.356113708615144,-3.2888183418323647,8.0,-1.178056854307572,-2.023660872258613,-3.2888183418323647,8.0,-5.324997764142631,-1.0118304361293065,-3.2888183418323647,1.0,3.9937483231069733,1.178056854307572,0.5059152180646532,-6.577636683664729
3.4343434343434343,8.0,-2.5421388982851933,-2.7550931273035704,-3.3072426416721363,8.0,-1.3775465636517852,-1.7470140206719327,-3.3072426416721363,8.0,-5.084277796570387,-0.8735070103359663,-3.3072426416721363,1.0,3.81320834742779,1.3775465636517852,0.43675350516798317,-6.614485283344273
3.5353535353535355,8.0,-2.358130664322784,-3.2223380887008495,-3.2993730115422726,8.0,-1.6111690443504247,-1.5727149098405,-3.2993730115422726,8.0,-4.716261328645568,-0.78635745492025,-3.2993730115422726,1.0,3.5371959964841757,1.6111690443504247,0.393178727460125,-6.598746023084545
3.6363636363636362,8.0,-2.129771727707383,-3.731441206908681,-3.271195286651633,8.0,-1.8657206034543405,-1.4889087774157952,-3.271195286651633,8.0,-4.259543455414766,-0.7444543887078976,-3.271195286651633,1.0,3.1946575915610746,1.8657206034543405,0.3722271943539488,-6.542390573303266
3.7373737373737375,8.0,-1.8781021881177815,-4.243300949346973,-3.2287301004915814,8.0,-2.1216504746734866,-1.4886311622255468,-3.2287301004915814,8.0,-3.756204376235563,-0.7443155811127734,-3.2287301004915814,1.0,2.8171532821766725,2.1216504746734866,0.3721577905563867,-6.457460200983163
3.8383838383838382,8.0,-1.6244305350368882,-4.709705662350526,-3.1772022542468594,8.0,-2.354852831175263,-1.5711128543159425,-3.1772022542468594,8.0,-3.2488610700737763,-0.7855564271579712,-3.1772022542468594,1.0,2.4366458025553324,2.354852831175263,0.3927782135789856,-6.354404508493719
3.9393939393939394,8.0,-1.3878591495333226,-5.08021925085995,-3.120663420356857,8.0,-2.540109625429975,-1.741341225587176,-3.120663420356857,8.0,-2.775718299066645,-0.870670612793588,-3.120663420356857,1.0,2.081788724299984,2.540109625429975,0.435335306396794,-6.241326840713714
4.040404040404041,8.0,-1.1828830479511454,-5.31010817539934,-3.0618110104806204,8.0,-2.65505408769967,-2.0080726203654766,-3.0618110104806204,8.0,-2.365766095902291,-1.0040363101827383,-3.0618110104806204,1.0,1.774324571926718,2.65505408769967,0.5020181550913692,-6.123622020961241
4.141414141414141,8.0,-1.0183250078280779,-5.367309620874281,-3.002035552262011,8.0,-2.6836548104371407,-2.379823920467787,-3.002035552262011,8.0,-2.0366500156561558,-1.1899119602338935,-3.002035552262011,1.0,1.527487511742117,2.6836548104371407,0.5949559801169467,-6.004071104524022
4.242424242424242,8.0,-0.8980267384168636,-5.23795764670288,-2.9418283280403767,8.0,-2.61897882335144,-2.858379993916428,-2.9418283280403767,8.0,-1.7960534768337273,-1.429189996958214,-2.9418283280403767,1.0,1.3470401076252956,2.61897882335144,0.714594998479107,-5.8836566560807535
4.343434343434343,8.0,-0.8227710862949129,-4.9306915195006304,-2.881576302505341,8.0,-2.4653457597503152,-3.4304637943220286,-2.881576302505341,8.0,-1.6455421725898258,-1.7152318971610143,-2.881576302505341,1.0,1.2341566294423694,2.4653457597503152,0.8576159485805072,-5.763152605010682
