time,A_1_1,A_1_2,A_1_3,A_1_4,A_1_5,A_1_6,A_1_7,A_1_8,A_1_9,A_1_10,A_2_1,A_2_2,A_2_3,A_2_4,A_2_5,A_2_6,A_2_7,A_2_8,A_2_9,A_2_10,A_3_1,A_3_2,A_3_3,A_3_4,A_3_5,A_3_6,A_3_7,A_3_8,A_3_9,A_3_10,A_4_1,A_4_2,A_4_3,A_4_4,A_4_5,A_4_6,A_4_7,A_4_8,A_4_9,A_4_10,A_5_1,A_5_2,A_5_3,A_5_4,A_5_5,A_5_6,A_5_7,A_5_8,A_5_9,A_5_10,A_6_1,A_6_2,A_6_3,A_6_4,A_6_5,A_6_6,A_6_7,A_6_8,A_6_9,A_6_10,A_7_1,A_7_2,A_7_3,A_7_4,A_7_5,A_7_6,A_7_7,A_7_8,A_7_9,A_7_10,A_8_1,A_8_2,A_8_3,A_8_4,A_8_5,A_8_6,A_8_7,A_8_8,A_8_9,A_8_10,A_9_1,A_9_2,A_9_3,A_9_4,A_9_5,A_9_6,A_9_7,A_9_8,A_9_9,A_9_10,A_10_1,A_10_2,A_10_3,A_10_4,A_10_5,A_10_6,A_10_7,A_10_8,A_10_9,A_10_10
0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,2.9999999999999996,2.9999999999999996,2.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0,17.0,0.0,14.450000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999996
0.10101010101010101,3.393102673475502,0.0,3.393102673475502,3.393102673475502,0.0,0.0,0.0,0.0,0.0,0.0,0.9636092414048606,0.9636092414048606,0.0,0.9636092414048606,0.0,0.0,0.0,0.04642713850604255,0.0,0.0,2.3120418989743974,2.3120418989743974,2.3120418989743974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.553522053417285,4.553522053417285,4.553522053417285,0.0,0.0,0.0,0.0,1.0367281545478784,0.0,0.0,0.0,0.0,0.0,27.227802811265402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.040684453125905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.119576769356556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.501751081311923,19.501751081311923,19.501751081311923,19.501751081311923,0.0,19.015914761872537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.496506485196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9732769220936697
0.20202020202020202,3.8703053883894403,0.0,3.8703053883894403,3.8703053883894403,0.0,0.0,0.0,0.0,0.0,0.0,1.0226225921842333,1.0226225921842333,0.0,1.0226225921842333,0.0,0.0,0.0,0.05228784830228004,0.0,0.0,1.8786419241594343,1.8786419241594343,1.8786419241594343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.132707111218134,4.132707111218134,4.132707111218134,0.0,0.0,0.0,0.0,0.8539634033556468,0.0,0.0,0.0,0.0,0.0,27.78907003369369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.79994500257661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.793561671759118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.889403282192884,19.889403282192884,19.889403282192884,19.889403282192884,0.0,19.779418146085256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.830885074339523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.770166085497314
0.30303030303030304,4.321997111151146,0.0,4.321997111151146,4.321997111151146,0.0,0.0,0.0,0.0,0.0,0.0,1.1636622272132047,1.1636622272132047,0.0,1.1636622272132047,0.0,0.0,0.0,0.0677054889521398,0.0,0.0,1.5763495107644339,1.5763495107644339,1.5763495107644339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.696601336172823,3.696601336172823,3.696601336172823,0.0,0.0,0.0,0.0,0.6832430719297351,0.0,0.0,0.0,0.0,0.0,27.91878113923696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.922591192476055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.920835282268367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.93189731185559,19.93189731185559,19.93189731185559,19.93189731185559,0.0,19.864026522517804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.077839410557688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.553103044550269
0.40404040404040403,4.666922567218211,0.0,4.666922567218211,4.666922567218211,0.0,0.0,0.0,0.0,0.0,0.0,1.394272778394074,1.394272778394074,0.0,1.394272778394074,0.0,0.0,0.0,0.09719982902853654,0.0,0.0,1.3622580546364986,1.3622580546364986,1.3622580546364986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2570882890481063,3.2570882890481063,3.2570882890481063,0.0,0.0,0.0,0.0,0.5304312061327161,0.0,0.0,0.0,0.0,0.0,27.922826080744848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.922667291719726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.92277333988616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.916652499965437,19.916652499965437,19.916652499965437,19.916652499965437,0.0,19.833652340218975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.276714379001074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.741104067198322
0.5050505050505051,4.85371294498524,0.0,4.85371294498524,4.85371294498524,0.0,0.0,0.0,0.0,0.0,0.0,1.7270717354758238,1.7270717354758238,0.0,1.7270717354758238,0.0,0.0,0.0,0.1491388389739737,0.0,0.0,1.218515277467519,1.218515277467519,1.218515277467519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8359536920835318,2.8359536920835318,2.8359536920835318,0.0,0.0,0.0,0.0,0.4021316671821108,0.0,0.0,0.0,0.0,0.0,27.892330433803743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.89077252777112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.891514148699397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.87701178846966,19.87701178846966,19.87701178846966,19.87701178846966,0.0,19.754779881948092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.441413143728816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.327415784037042
0.6060606060606061,4.861551024943918,0.0,4.861551024943918,4.861551024943918,0.0,0.0,0.0,0.0,0.0,0.0,2.167618193501397,2.167618193501397,0.0,2.167618193501397,0.0,0.0,0.0,0.23492843163991306,0.0,0.0,1.1370782905208603,1.1370782905208603,1.1370782905208603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4494256132176075,2.4494256132176075,2.4494256132176075,0.0,0.0,0.0,0.0,0.2999842917343227,0.0,0.0,0.0,0.0,0.0,27.834632999594877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.83179170698464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.833132323868384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.80836756236089,19.80836756236089,19.80836756236089,19.80836756236089,0.0,19.618571274279557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.575873953827992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.53125345843643
0.7070707070707071,4.696581015625352,0.0,4.696581015625352,4.696581015625352,0.0,0.0,0.0,0.0,0.0,0.0,2.7006914437840552,2.7006914437840552,0.0,2.7006914437840552,0.0,0.0,0.0,0.36468671372642025,0.0,0.0,1.1156991115395674,1.1156991115395674,1.1156991115395674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.10623314466195,2.10623314466195,2.10623314466195,0.0,0.0,0.0,0.0,0.22181090298362835,0.0,0.0,0.0,0.0,0.0,27.74132128052819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.73678556300694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.738921064822552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.700590360035296,19.700590360035296,19.700590360035296,19.700590360035296,0.0,19.405663026695784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.682458887713404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.515521659459722
0.8080808080808081,4.387969094716505,0.0,4.387969094716505,4.387969094716505,0.0,0.0,0.0,0.0,0.0,0.0,3.280432448988818,3.280432448988818,0.0,3.280432448988818,0.0,0.0,0.0,0.5380618526189387,0.0,0.0,1.1572635119872448,1.1572635119872448,1.1572635119872448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.810783033207243,1.810783033207243,1.810783033207243,0.0,0.0,0.0,0.0,0.16394675966756117,0.0,0.0,0.0,0.0,0.0,27.605315118757638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.598801725943495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.601861543579236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.54892936190939,19.54892936190939,19.54892936190939,19.54892936190939,0.0,19.108031959846155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.764324920938742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.359109855221975
0.9090909090909091,3.9820078105642858,0.0,3.9820078105642858,3.9820078105642858,0.0,0.0,0.0,0.0,0.0,0.0,3.8347809661404577,3.8347809661404577,0.0,3.8347809661404577,0.0,0.0,0.0,0.7352772529136571,0.0,0.0,1.2696953997881872,1.2696953997881872,1.2696953997881872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.565967595252891,1.565967595252891,1.565967595252891,0.0,0.0,0.0,0.0,0.12261272546910613,0.0,0.0,0.0,0.0,0.0,27.431252553367738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.423067117396776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.426900607248907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.363729806812024,19.363729806812024,19.363729806812024,19.363729806812024,0.0,18.747701601561022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.825248503194715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.103892275225991
