time,->1,1->1,2->1,3->1,->2,2->2,3->2,4->2,->3,3->3,4->3,1->3,->4,4->4,1->4,2->4,->5,8->5,5->5,->6,8->6,6->6,->7,8->7,7->7,->8,2->8,8->8,->9,4->9,9->9,8->10,10->10,->10
0.0,8.0,-3.0,-1.0,-2.9999999999999996,8.0,-1.0,-2.9999999999999996,-5.0,8.0,-2.9999999999999996,-5.0,-3.0,8.0,-5.0,-3.0,-1.0,8.0,17.0,-30.0,12.0,17.0,-30.0,10.0,17.0,-30.0,20.0,-0.05,-17.0,10.0,-1.25,-7.999999999999999,14.450000000000001,-1.9999999999999996,-11.0
0.10101010101010101,8.0,-3.393102673475502,-0.9636092414048606,-2.3120418989743974,8.0,-0.9636092414048606,-2.3120418989743974,-4.553522053417285,8.0,-2.3120418989743974,-4.553522053417285,-3.393102673475502,8.0,-4.553522053417285,-3.393102673475502,-0.9636092414048606,8.0,19.501751081311923,-27.227802811265402,12.0,19.501751081311923,-31.040684453125905,10.0,19.501751081311923,-29.119576769356556,20.0,-0.04642713850604255,-19.501751081311923,10.0,-1.0367281545478784,-8.496506485196,19.015914761872537,-2.9732769220936697,-11.0
0.20202020202020202,8.0,-3.8703053883894403,-1.0226225921842333,-1.8786419241594343,8.0,-1.0226225921842333,-1.8786419241594343,-4.132707111218134,8.0,-1.8786419241594343,-4.132707111218134,-3.8703053883894403,8.0,-4.132707111218134,-3.8703053883894403,-1.0226225921842333,8.0,19.889403282192884,-27.78907003369369,12.0,19.889403282192884,-31.79994500257661,10.0,19.889403282192884,-29.793561671759118,20.0,-0.05228784830228004,-19.889403282192884,10.0,-0.8539634033556468,-8.830885074339523,19.779418146085256,-4.770166085497314,-11.0
0.30303030303030304,8.0,-4.321997111151146,-1.1636622272132047,-1.5763495107644339,8.0,-1.1636622272132047,-1.5763495107644339,-3.696601336172823,8.0,-1.5763495107644339,-3.696601336172823,-4.321997111151146,8.0,-3.696601336172823,-4.321997111151146,-1.1636622272132047,8.0,19.93189731185559,-27.91878113923696,12.0,19.93189731185559,-31.922591192476055,10.0,19.93189731185559,-29.920835282268367,20.0,-0.0677054889521398,-19.93189731185559,10.0,-0.6832430719297351,-9.077839410557688,19.864026522517804,-6.553103044550269,-11.0
0.40404040404040403,8.0,-4.666922567218211,-1.394272778394074,-1.3622580546364986,8.0,-1.394272778394074,-1.3622580546364986,-3.2570882890481063,8.0,-1.3622580546364986,-3.2570882890481063,-4.666922567218211,8.0,-3.2570882890481063,-4.666922567218211,-1.394272778394074,8.0,19.916652499965437,-27.922826080744848,12.0,19.916652499965437,-31.922667291719726,10.0,19.916652499965437,-29.92277333988616,20.0,-0.09719982902853654,-19.916652499965437,10.0,-0.5304312061327161,-9.276714379001074,19.833652340218975,-7.741104067198322,-11.0
0.5050505050505051,8.0,-4.85371294498524,-1.7270717354758238,-1.218515277467519,8.0,-1.7270717354758238,-1.218515277467519,-2.8359536920835318,8.0,-1.218515277467519,-2.8359536920835318,-4.85371294498524,8.0,-2.8359536920835318,-4.85371294498524,-1.7270717354758238,8.0,19.87701178846966,-27.892330433803743,12.0,19.87701178846966,-31.89077252777112,10.0,19.87701178846966,-29.891514148699397,20.0,-0.1491388389739737,-19.87701178846966,10.0,-0.4021316671821108,-9.441413143728816,19.754779881948092,-8.327415784037042,-11.0
0.6060606060606061,8.0,-4.861551024943918,-2.167618193501397,-1.1370782905208603,8.0,-2.167618193501397,-1.1370782905208603,-2.4494256132176075,8.0,-1.1370782905208603,-2.4494256132176075,-4.861551024943918,8.0,-2.4494256132176075,-4.861551024943918,-2.167618193501397,8.0,19.80836756236089,-27.834632999594877,12.0,19.80836756236089,-31.83179170698464,10.0,19.80836756236089,-29.833132323868384,20.0,-0.23492843163991306,-19.80836756236089,10.0,-0.2999842917343227,-9.575873953827992,19.618571274279557,-8.53125345843643,-11.0
0.7070707070707071,8.0,-4.696581015625352,-2.7006914437840552,-1.1156991115395674,8.0,-2.7006914437840552,-1.1156991115395674,-2.10623314466195,8.0,-1.1156991115395674,-2.10623314466195,-4.696581015625352,8.0,-2.10623314466195,-4.696581015625352,-2.7006914437840552,8.0,19.700590360035296,-27.74132128052819,12.0,19.700590360035296,-31.73678556300694,10.0,19.700590360035296,-29.738921064822552,20.0,-0.36468671372642025,-19.700590360035296,10.0,-0.22181090298362835,-9.682458887713404,19.405663026695784,-8.515521659459722,-11.0
0.8080808080808081,8.0,-4.387969094716505,-3.280432448988818,-1.1572635119872448,8.0,-3.280432448988818,-1.1572635119872448,-1.810783033207243,8.0,-1.1572635119872448,-1.810783033207243,-4.387969094716505,8.0,-1.810783033207243,-4.387969094716505,-3.280432448988818,8.0,19.54892936190939,-27.605315118757638,12.0,19.54892936190939,-31.598801725943495,10.0,19.54892936190939,-29.601861543579236,20.0,-0.5380618526189387,-19.54892936190939,10.0,-0.16394675966756117,-9.764324920938742,19.108031959846155,-8.359109855221975,-11.0
0.9090909090909091,8.0,-3.9820078105642858,-3.8347809661404577,-1.2696953997881872,8.0,-3.8347809661404577,-1.2696953997881872,-1.565967595252891,8.0,-1.2696953997881872,-1.565967595252891,-3.9820078105642858,8.0,-1.565967595252891,-3.9820078105642858,-3.8347809661404577,8.0,19.363729806812024,-27.431252553367738,12.0,19.363729806812024,-31.423067117396776,10.0,19.363729806812024,-29.426900607248907,20.0,-0.7352772529136571,-19.363729806812024,10.0,-0.12261272546910613,-9.825248503194715,18.747701601561022,-8.103892275225991,-11.0
